"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Zion Turner","QB","13","90","262","2.9","1","20.2","2","12","6.0","1","0.9","92","274","3.0","2","","connecticut","2022"
"2","Robert Burns","RB","13","74","374","5.1","2","28.8","5","28","5.6","0","2.2","79","402","5.1","2","","connecticut","2022"
"3","Kevens Clercius","WR","13","0","0","","0","0.0","24","288","12.0","1","22.2","24","288","12.0","1","","connecticut","2022"
"4","Aaron Turner","WR","13","14","53","3.8","0","4.1","57","527","9.2","3","40.5","71","580","8.2","3","","connecticut","2022"
"5","Jacob Flynn","WR","13","0","0","","0","0.0","5","32","6.4","1","2.5","5","32","6.4","1","","connecticut","2022"
"6","Justin Joly","TE","12","1","12","12.0","0","1.0","18","250","13.9","2","20.8","19","262","13.8","2","","connecticut","2022"
"7","Victor Rosa","RB","12","140","636","4.5","11","53.0","5","15","3.0","0","1.3","145","651","4.5","11","","connecticut","2022"
"8","Dajon Harrison","WR","12","4","4","1.0","0","0.3","6","18","3.0","0","1.5","10","22","2.2","0","","connecticut","2022"
"9","Cale Millen","QB","12","17","100","5.9","1","8.3","0","0","","0","0.0","17","100","5.9","1","","connecticut","2022"
"10","Brandon Niemenski","TE","12","0","0","","0","0.0","3","17","5.7","1","1.4","3","17","5.7","1","","connecticut","2022"
"11","Bo Estes","TE","11","0","0","","0","0.0","1","6","6.0","0","0.5","1","6","6.0","0","","connecticut","2022"
"12","Devontae Houston","RB","10","84","578","6.9","3","57.8","10","48","4.8","0","4.8","94","626","6.7","3","","connecticut","2022"
"13","Russell Dixon","TE","6","0","0","","0","0.0","3","28","9.3","0","4.7","3","28","9.3","0","","connecticut","2022"
"14","Keelan Marion","WR","5","0","0","","0","0.0","4","89","22.3","1","17.8","4","89","22.3","1","","connecticut","2022"
"15","Nate Carter","RB","5","65","405","6.2","1","81.0","5","39","7.8","0","7.8","70","444","6.3","1","","connecticut","2022"
"16","Brian Brewton","RB","5","20","85","4.3","0","17.0","5","25","5.0","0","5.0","25","110","4.4","0","","connecticut","2022"
"17","Cameron Ross","WR","3","0","0","","0","0.0","2","21","10.5","0","7.0","2","21","10.5","0","","connecticut","2022"
"18","Nigel Fitzgerald","WR","3","0","0","","0","0.0","2","12","6.0","0","4.0","2","12","6.0","0","","connecticut","2022"
"19","Camryn Edwards","RB","1","1","2","2.0","0","2.0","0","0","","0","0.0","1","2","2.0","0","","connecticut","2022"
"20","Ta'Quan Roberson","QB","1","3","8","2.7","1","8.0","0","0","","0","0.0","3","8","2.7","1","","connecticut","2022"
