"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Cole Finney","TE","13","0","0","","0","0.0","4","47","11.8","0","3.6","4","47","11.8","0","","duke","2022"
"2","Shamir Hagans","WR","13","0","0","","0","0.0","31","400","12.9","5","30.8","31","400","12.9","5","","duke","2022"
"3","Riley Leonard","QB","13","124","699","5.6","13","53.8","0","0","","0","0.0","124","699","5.6","13","","duke","2022"
"4","Jalon Calhoun","WR","13","0","0","","0","0.0","62","873","14.1","4","67.2","62","873","14.1","4","","duke","2022"
"5","Jordan Moore","QB","13","4","33","8.3","0","2.5","60","656","10.9","5","50.5","64","689","10.8","5","","duke","2022"
"6","Jordan Waters","RB","13","123","566","4.6","8","43.5","16","106","6.6","0","8.2","139","672","4.8","8","","duke","2022"
"7","Jontavis Robertson","WR","12","0","0","","0","0.0","14","191","13.6","1","15.9","14","191","13.6","1","","duke","2022"
"8","Jaquez Moore","RB","11","79","508","6.4","5","46.2","7","81","11.6","0","7.4","86","589","6.8","5","","duke","2022"
"9","Malik Bowen-Sims","WR","11","0","0","","0","0.0","2","18","9.0","0","1.6","2","18","9.0","0","","duke","2022"
"10","Nicky Dalmolin","TE","10","0","0","","0","0.0","21","170","8.1","4","17.0","21","170","8.1","4","","duke","2022"
"11","Darrell Harding Jr.","WR","9","0","0","","0","0.0","3","21","7.0","0","2.3","3","21","7.0","0","","duke","2022"
"12","Rashawn Allen","RB","9","3","9","3.0","0","1.0","0","0","","0","0.0","3","9","3.0","0","","duke","2022"
"13","Jaylen Coleman","RB","9","102","480","4.7","4","53.3","6","49","8.2","1","5.4","108","529","4.9","5","","duke","2022"
"14","Eli Pancol","WR","9","0","0","","0","0.0","23","347","15.1","0","38.6","23","347","15.1","0","","duke","2022"
"15","Terry Moore","RB","8","29","128","4.4","0","16.0","4","26","6.5","0","3.3","33","154","4.7","0","","duke","2022"
"16","Luca Diamont","WR","3","0","0","","0","0.0","1","18","18.0","0","6.0","1","18","18.0","0","","duke","2022"
"17","Nick Lampert","WR","2","0","0","","0","0.0","1","7","7.0","0","3.5","1","7","7.0","0","","duke","2022"
"18","Eric Weatherly","RB","2","2","16","8.0","1","8.0","0","0","","0","0.0","2","16","8.0","1","","duke","2022"
"19","Henry Belvin IV","QB","1","3","-16","-5.3","0","-16.0","0","0","","0","0.0","3","-16","-5.3","0","","duke","2022"
