"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Brandon Robinson","WR","12","0","0","","0","0.0","37","481","13.0","3","40.1","37","481","13.0","3","","florida-atlantic","2021"
"2","Zaire Mitchell-Paden","TE","12","0","1","","1","0.1","9","90","10.0","1","7.5","9","91","10.1","2","","florida-atlantic","2021"
"3","Willie Wright","WR","12","1","1","1.0","0","0.1","6","104","17.3","0","8.7","7","105","15.0","0","","florida-atlantic","2021"
"4","James Charles","RB","12","47","168","3.6","2","14.0","7","83","11.9","0","6.9","54","251","4.6","2","","florida-atlantic","2021"
"5","T.J. Chase","WR","12","0","0","","0","0.0","14","200","14.3","2","16.7","14","200","14.3","2","","florida-atlantic","2021"
"6","Je'Quan Burton","WR","12","2","-11","-5.5","0","-0.9","27","483","17.9","3","40.3","29","472","16.3","3","","florida-atlantic","2021"
"7","John Mitchell","WR","12","0","0","","0","0.0","19","257","13.5","4","21.4","19","257","13.5","4","","florida-atlantic","2021"
"8","N'Kosi Perry","QB","12","107","148","1.4","4","12.3","1","20","20.0","1","1.7","108","168","1.6","5","","florida-atlantic","2021"
"9","LaJohntay Wester","WR","12","5","29","5.8","0","2.4","65","702","10.8","4","58.5","70","731","10.4","4","","florida-atlantic","2021"
"10","Kelvin Dean Jr.","RB","11","21","131","6.2","2","11.9","1","11","11.0","0","1.0","22","142","6.5","2","","florida-atlantic","2021"
"11","Larry McCammon III","RB","11","32","140","4.4","1","12.7","8","119","14.9","0","10.8","40","259","6.5","1","","florida-atlantic","2021"
"12","Austin Evans","TE","11","0","0","","0","0.0","1","8","8.0","0","0.7","1","8","8.0","0","","florida-atlantic","2021"
"13","Johnny Ford","RB","11","131","831","6.3","5","75.5","23","282","12.3","2","25.6","154","1113","7.2","7","","florida-atlantic","2021"
"14","Malcolm Davidson","RB","10","62","274","4.4","1","27.4","2","10","5.0","0","1.0","64","284","4.4","1","","florida-atlantic","2021"
"15","Javion Posey","QB","10","12","40","3.3","0","4.0","4","14","3.5","0","1.4","16","54","3.4","0","","florida-atlantic","2021"
"16","D'Marcus Adams","CB","10","0","0","","0","0.0","3","94","31.3","0","9.4","3","94","31.3","0","","florida-atlantic","2021"
"17","Nick Tronti","QB","6","17","37","2.2","2","6.2","0","0","","0","0.0","17","37","2.2","2","","florida-atlantic","2021"
"18","Jahmal Edrine","WR","2","0","0","","0","0.0","1","9","9.0","0","4.5","1","9","9.0","0","","florida-atlantic","2021"
"19","Zuberi Mobley","RB","2","8","33","4.1","0","16.5","2","17","8.5","0","8.5","10","50","5.0","0","","florida-atlantic","2021"
