"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyrese Chambers","WR","12","0","0","","0","0.0","45","1074","23.9","9","89.5","45","1074","23.9","9","","florida-international","2021"
"2","Tommy Zozus","LS","12","0","0","","0","0.0","1","13","13.0","0","1.1","1","13","13.0","0","","florida-international","2021"
"3","Max Bortenschlager","QB","12","50","-250","-5.0","1","-20.8","0","0","","0","0.0","50","-250","-5.0","1","","florida-international","2021"
"4","Eric Wilson Jr.","RB","12","42","239","5.7","0","19.9","8","93","11.6","1","7.8","50","332","6.6","1","","florida-international","2021"
"5","Lexington Joseph","RB","12","57","273","4.8","1","22.8","8","56","7.0","0","4.7","65","329","5.1","1","","florida-international","2021"
"6","Benny McCray","DB","11","0","0","","0","0.0","1","20","20.0","0","1.8","1","20","20.0","0","","florida-international","2021"
"7","Sterling Palmer","TE","11","0","0","","0","0.0","7","99","14.1","1","9.0","7","99","14.1","1","","florida-international","2021"
"8","Shaun Peterson Jr.","","11","58","217","3.7","2","19.7","3","22","7.3","0","2.0","61","239","3.9","2","","florida-international","2021"
"9","Shaun Peterson Jr.","RB","11","58","217","3.7","2","19.7","3","22","7.3","0","2.0","61","239","3.9","2","","florida-international","2021"
"10","Bryce Singleton","WR","11","0","0","","0","0.0","46","840","18.3","3","76.4","46","840","18.3","3","","florida-international","2021"
"11","Kris Mitchell","WR","10","0","0","","0","0.0","9","158","17.6","1","15.8","9","158","17.6","1","","florida-international","2021"
"12","Carson Kaleo","WR","10","0","0","","0","0.0","4","25","6.3","0","2.5","4","25","6.3","0","","florida-international","2021"
"13","Randall St. Felix","WR","10","0","0","","0","0.0","20","273","13.7","2","27.3","20","273","13.7","2","","florida-international","2021"
"14","Rivaldo Fairweather","TE","9","0","0","","0","0.0","16","247","15.4","1","27.4","16","247","15.4","1","","florida-international","2021"
"15","D'Vonte Price","RB","9","129","682","5.3","6","75.8","10","83","8.3","0","9.2","139","765","5.5","6","","florida-international","2021"
"16","Jackson McDonald","TE","9","0","0","","0","0.0","3","23","7.7","0","2.6","3","23","7.7","0","","florida-international","2021"
"17","Caleb Lynum","WR","8","0","0","","0","0.0","4","38","9.5","0","4.8","4","38","9.5","0","","florida-international","2021"
"18","Kamareon Williams","TE","7","0","0","","0","0.0","2","9","4.5","1","1.3","2","9","4.5","1","","florida-international","2021"
"19","Nate Jefferson","WR","6","3","19","6.3","0","3.2","5","33","6.6","1","5.5","8","52","6.5","1","","florida-international","2021"
"20","Maleek Williams","RB","6","13","64","4.9","1","10.7","0","0","","0","0.0","13","64","4.9","1","","florida-international","2021"
"21","Grayson James","QB","6","5","12","2.4","0","2.0","0","0","","0","0.0","5","12","2.4","0","","florida-international","2021"
"22","Dean Patterson","WR","3","0","0","","0","0.0","3","34","11.3","0","11.3","3","34","11.3","0","","florida-international","2021"
"23","Shermar Thornton","WR","2","0","0","","0","0.0","5","27","5.4","0","13.5","5","27","5.4","0","","florida-international","2021"
"24","Kaylan Wiggins","QB","2","6","24","4.0","0","12.0","0","0","","0","0.0","6","24","4.0","0","","florida-international","2021"
"25","Artez Hooker","WR","2","0","0","","0","0.0","1","4","4.0","0","2.0","1","4","4.0","0","","florida-international","2021"
"26","Kejon Owens","RB","1","0","0","","0","0.0","1","4","4.0","0","4.0","1","4","4.0","0","","florida-international","2021"
