"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Lawrance Toafili","RB","13","93","457","4.9","5","35.2","24","268","11.2","1","20.6","117","725","6.2","6","","florida-state","2022"
"2","Wyatt Rector","TE","13","2","4","2.0","0","0.3","0","0","","0","0.0","2","4","2.0","0","","florida-state","2022"
"3","Trey Benson","RB","13","154","990","6.4","9","76.2","13","144","11.1","0","11.1","167","1134","6.8","9","","florida-state","2022"
"4","Preston Daniel","TE","13","0","0","","0","0.0","3","15","5.0","1","1.2","3","15","5.0","1","","florida-state","2022"
"5","Mycah Pittman","WR","13","7","35","5.0","0","2.7","32","330","10.3","3","25.4","39","365","9.4","3","","florida-state","2022"
"6","Markeston Douglas","TE","13","0","0","","0","0.0","14","190","13.6","2","14.6","14","190","13.6","2","","florida-state","2022"
"7","Malik McClain","WR","13","1","6","6.0","0","0.5","17","206","12.1","3","15.8","18","212","11.8","3","","florida-state","2022"
"8","Kentron Poitier","WR","13","0","0","","0","0.0","14","283","20.2","4","21.8","14","283","20.2","4","","florida-state","2022"
"9","Jordan Travis","QB","13","82","417","5.1","7","32.1","1","2","2.0","1","0.2","83","419","5.0","8","","florida-state","2022"
"10","Johnny Wilson","WR","13","0","0","","0","0.0","43","897","20.9","5","69.0","43","897","20.9","5","","florida-state","2022"
"11","DJ Lundy","LB","13","3","2","0.7","2","0.2","1","2","2.0","1","0.2","4","4","1.0","3","","florida-state","2022"
"12","Camren McDonald","TE","13","0","0","","0","0.0","21","312","14.9","1","24.0","21","312","14.9","1","","florida-state","2022"
"13","Deuce Spann","WR","12","5","28","5.6","0","2.3","8","64","8.0","0","5.3","13","92","7.1","0","","florida-state","2022"
"14","Ontaria Wilson","WR","12","0","0","","0","0.0","30","495","16.5","4","41.3","30","495","16.5","4","","florida-state","2022"
"15","Brian Courtney","TE","12","0","0","","0","0.0","1","12","12.0","0","1.0","1","12","12.0","0","","florida-state","2022"
"16","Treshaun Ward","RB","10","95","628","6.6","7","62.8","6","19","3.2","0","1.9","101","647","6.4","7","","florida-state","2022"
"17","Ja'khi Douglas","RB","7","1","8","8.0","0","1.1","10","123","12.3","2","17.6","11","131","11.9","2","","florida-state","2022"
"18","Tate Rodemaker","QB","7","10","14","1.4","0","2.0","0","0","","0","0.0","10","14","1.4","0","","florida-state","2022"
"19","CJ Campbell","RB","6","18","64","3.6","2","10.7","1","3","3.0","0","0.5","19","67","3.5","2","","florida-state","2022"
"20","Darion Williamson","WR","5","2","-2","-1.0","0","-0.4","8","131","16.4","0","26.2","10","129","12.9","0","","florida-state","2022"
"21","Rodney Hill","RB","4","27","144","5.3","1","36.0","0","0","","0","0.0","27","144","5.3","1","","florida-state","2022"
"22","AJ Duffy","QB","3","1","5","5.0","0","1.7","0","0","","0","0.0","1","5","5.0","0","","florida-state","2022"
"23","Mike Roussos","WR","2","0","0","","0","0.0","2","16","8.0","0","8.0","2","16","8.0","0","","florida-state","2022"
"24","Gino English","QB","1","1","-5","-5.0","0","-5.0","0","0","","0","0.0","1","-5","-5.0","0","","florida-state","2022"
