"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Bula Schmidt","OL","14","0","0","","0","0.0","1","4","4.0","0","0.3","1","4","4.0","0","","fresno-state","2022"
"2","Erik Brooks","WR","14","0","0","","0","0.0","37","391","10.6","3","27.9","37","391","10.6","3","","fresno-state","2022"
"3","Jake Boust","TE","14","1","3","3.0","0","0.2","5","23","4.6","0","1.6","6","26","4.3","0","","fresno-state","2022"
"4","Zane Pope","WR","14","0","0","","0","0.0","50","623","12.5","4","44.5","50","623","12.5","4","","fresno-state","2022"
"5","Jalen Cropper","WR","14","7","19","2.7","0","1.4","83","1086","13.1","5","77.6","90","1105","12.3","5","","fresno-state","2022"
"6","Jordan Mims","RB","14","261","1372","5.3","18","98.0","21","126","6.0","1","9.0","282","1498","5.3","19","","fresno-state","2022"
"7","Raymond Pauwels","TE","14","0","0","","0","0.0","21","185","8.8","2","13.2","21","185","8.8","2","","fresno-state","2022"
"8","Nikko Remigio","WR","14","6","42","7.0","2","3.0","74","852","11.5","6","60.9","80","894","11.2","8","","fresno-state","2022"
"9","Mac Dalena","WR","14","1","1","1.0","0","0.1","11","99","9.0","1","7.1","12","100","8.3","1","","fresno-state","2022"
"10","Malik Sherrod","RB","14","80","428","5.4","2","30.6","7","51","7.3","0","3.6","87","479","5.5","2","","fresno-state","2022"
"11","Elijah Gilliam","RB","12","17","101","5.9","1","8.4","0","0","","0","0.0","17","101","5.9","1","","fresno-state","2022"
"12","Ty Jones","WR","12","1","-3","-3.0","0","-0.3","6","61","10.2","0","5.1","7","58","8.3","0","","fresno-state","2022"
"13","Logan Fife","QB","11","32","35","1.1","3","3.2","0","0","","0","0.0","32","35","1.1","3","","fresno-state","2022"
"14","Jake Haener","QB","10","46","-123","-2.7","2","-12.3","0","0","","0","0.0","46","-123","-2.7","2","","fresno-state","2022"
"15","Tre Watson","TE","8","0","0","","0","0.0","8","80","10.0","0","10.0","8","80","10.0","0","","fresno-state","2022"
"16","Josh Kelly","WR","6","0","0","","0","0.0","12","207","17.3","0","34.5","12","207","17.3","0","","fresno-state","2022"
"17","Jaylen Henderson","QB","2","2","-2","-1.0","0","-1.0","0","0","","0","0.0","2","-2","-1.0","0","","fresno-state","2022"
