"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Khaleb Hood","WR","13","3","23","7.7","0","1.8","101","948","9.4","5","72.9","104","971","9.3","5","","georgia-southern","2023"
"2","Alex Smith","P","13","2","27","13.5","0","2.1","0","0","","0","0.0","2","27","13.5","0","","georgia-southern","2023"
"3","Davis Brin","QB","13","74","-60","-0.8","1","-4.6","0","0","","0","0.0","74","-60","-0.8","1","","georgia-southern","2023"
"4","DeAndre Buchannon","WR","13","0","0","","0","0.0","4","31","7.8","0","2.4","4","31","7.8","0","","georgia-southern","2023"
"5","Derwin Burgess Jr.","WR","13","0","0","","0","0.0","74","813","11.0","6","62.5","74","813","11.0","6","","georgia-southern","2023"
"6","Ethan Dirrim","TE","13","0","0","","0","0.0","3","4","1.3","0","0.3","3","4","1.3","0","","georgia-southern","2023"
"7","Evan Lester","TE","12","0","0","","0","0.0","2","22","11.0","1","1.8","2","22","11.0","1","","georgia-southern","2023"
"8","Joshua Thompson","WR","12","0","0","","0","0.0","2","84","42.0","0","7.0","2","84","42.0","0","","georgia-southern","2023"
"9","Jjay Mcafee","TE","12","0","0","","0","0.0","37","378","10.2","4","31.5","37","378","10.2","4","","georgia-southern","2023"
"10","Dalen Cobb","WR","12","7","51","7.3","0","4.3","40","601","15.0","2","50.1","47","652","13.9","2","","georgia-southern","2023"
"11","Anthony Queeley","WR","12","0","0","","0","0.0","28","275","9.8","3","22.9","28","275","9.8","3","","georgia-southern","2023"
"12","Jalen White","RB","11","160","889","5.6","9","80.8","17","69","4.1","1","6.3","177","958","5.4","10","","georgia-southern","2023"
"13","David Mbadinga","RB","11","22","112","5.1","2","10.2","6","30","5.0","0","2.7","28","142","5.1","2","","georgia-southern","2023"
"14","Josh Dallas","WR","11","0","0","","0","0.0","4","40","10.0","0","3.6","4","40","10.0","0","","georgia-southern","2023"
"15","Beau Johnson","TE","11","0","0","","0","0.0","3","25","8.3","0","2.3","3","25","8.3","0","","georgia-southern","2023"
"16","Marcus Sanders Jr.","WR","11","0","0","","0","0.0","6","91","15.2","1","8.3","6","91","15.2","1","","georgia-southern","2023"
"17","OJ Arnold","RB","10","75","411","5.5","4","41.1","11","124","11.3","0","12.4","86","535","6.2","4","","georgia-southern","2023"
"18","JC French","QB","10","14","48","3.4","0","4.8","0","0","","0","0.0","14","48","3.4","0","","georgia-southern","2023"
"19","Keaton Upshaw","TE","10","0","0","","0","0.0","16","173","10.8","2","17.3","16","173","10.8","2","","georgia-southern","2023"
"20","Jaylon Barden","WR","9","0","0","","0","0.0","16","183","11.4","1","20.3","16","183","11.4","1","","georgia-southern","2023"
"21","KD Dorsey","WR","8","1","0","0.0","0","0.0","5","31","6.2","0","3.9","6","31","5.2","0","","georgia-southern","2023"
"22","Terrance Gibbs","RB","7","9","23","2.6","0","3.3","0","0","","0","0.0","9","23","2.6","0","","georgia-southern","2023"
"23","Elijah Walton","TE","2","0","0","","0","0.0","1","7","7.0","0","3.5","1","7","7.0","0","","georgia-southern","2023"
"24","Terron Dixon II","RB","1","5","12","2.4","0","12.0","0","0","","0","0.0","5","12","2.4","0","","georgia-southern","2023"
