"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Ahmon Green","TE","12","0","0","","0","0.0","13","107","8.2","0","8.9","13","107","8.2","0","","georgia-state","2022"
"2","Darren Grainger","QB","12","164","734","4.5","6","61.2","0","0","","0","0.0","164","734","4.5","6","","georgia-state","2022"
"3","Jamari Thrash","WR","12","2","5","2.5","0","0.4","61","1122","18.4","7","93.5","63","1127","17.9","7","","georgia-state","2022"
"4","Marcus Carroll","RB","12","127","622","4.9","6","51.8","5","29","5.8","0","2.4","132","651","4.9","6","","georgia-state","2022"
"5","Tucker Gregg","RB","12","172","705","4.1","12","58.8","6","67","11.2","0","5.6","178","772","4.3","12","","georgia-state","2022"
"6","Antoine Lane","RB","11","11","53","4.8","0","4.8","0","0","","0","0.0","11","53","4.8","0","","georgia-state","2022"
"7","Ja'Cyais Credle","WR","11","0","0","","0","0.0","28","359","12.8","2","32.6","28","359","12.8","2","","georgia-state","2022"
"8","Kris Byrd","TE","11","0","0","","0","0.0","10","110","11.0","3","10.0","10","110","11.0","3","","georgia-state","2022"
"9","Tailique Williams","WR","10","0","0","","0","0.0","15","163","10.9","0","16.3","15","163","10.9","0","","georgia-state","2022"
"10","Robert Lewis","WR","9","1","8","8.0","0","0.9","22","379","17.2","6","42.1","23","387","16.8","6","","georgia-state","2022"
"11","Jamyest Williams","RB","8","85","447","5.3","2","55.9","4","27","6.8","0","3.4","89","474","5.3","2","","georgia-state","2022"
"12","Cadarrius Thompson","WR","7","0","0","","0","0.0","5","52","10.4","0","7.4","5","52","10.4","0","","georgia-state","2022"
"13","Lamarcus Brand","WR","7","1","0","0.0","0","0.0","4","25","6.3","0","3.6","5","25","5.0","0","","georgia-state","2022"
"14","KZ Adams","RB","4","2","5","2.5","0","1.3","0","0","","0","0.0","2","5","2.5","0","","georgia-state","2022"
"15","Aubry Payne","TE","3","0","0","","0","0.0","1","3","3.0","0","1.0","1","3","3.0","0","","georgia-state","2022"
"16","Mikele Colasurdo","QB","3","1","13","13.0","0","4.3","0","0","","0","0.0","1","13","13.0","0","","georgia-state","2022"
