"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Dontae Smith","RB","12","87","420","4.8","5","35.0","19","125","6.6","0","10.4","106","545","5.1","5","","georgia-tech","2022"
"2","E.J. Jenkins","WR","12","0","0","","0","0.0","17","316","18.6","3","26.3","17","316","18.6","3","","georgia-tech","2022"
"3","Hassan Hall","RB","12","116","521","4.5","1","43.4","28","165","5.9","0","13.8","144","686","4.8","1","","georgia-tech","2022"
"4","David Shanahan","P","12","1","-13","-13.0","0","-1.1","0","0","","0","0.0","1","-13","-13.0","0","","georgia-tech","2022"
"5","Luke Benson","TE","12","0","0","","0","0.0","9","85","9.4","0","7.1","9","85","9.4","0","","georgia-tech","2022"
"6","Malik Rutherford","WR","12","1","4","4.0","0","0.3","23","225","9.8","0","18.8","24","229","9.5","0","","georgia-tech","2022"
"7","Ryan King","WR","11","1","-3","-3.0","0","-0.3","4","38","9.5","0","3.5","5","35","7.0","0","","georgia-tech","2022"
"8","Nate McCollum","WR","11","6","56","9.3","1","5.1","60","655","10.9","3","59.5","66","711","10.8","4","","georgia-tech","2022"
"9","Malachi Carter","WR","11","2","36","18.0","0","3.3","23","342","14.9","2","31.1","25","378","15.1","2","","georgia-tech","2022"
"10","Dylan Leonard","TE","9","0","0","","0","0.0","11","90","8.2","0","10.0","11","90","8.2","0","","georgia-tech","2022"
"11","Peje' Harris","TE","9","0","0","","0","0.0","6","62","10.3","0","6.9","6","62","10.3","0","","georgia-tech","2022"
"12","Dylan McDuffie","RB","8","22","45","2.0","1","5.6","5","33","6.6","0","4.1","27","78","2.9","1","","georgia-tech","2022"
"13","Leo Blackburn","WR","7","0","0","","0","0.0","5","81","16.2","1","11.6","5","81","16.2","1","","georgia-tech","2022"
"14","Jeff Sims","QB","7","87","288","3.3","1","41.1","1","1","1.0","0","0.1","88","289","3.3","1","","georgia-tech","2022"
"15","Zach Gibson","QB","6","23","-14","-0.6","0","-2.3","0","0","","0","0.0","23","-14","-0.6","0","","georgia-tech","2022"
"16","Jamie Felix","RB","5","23","80","3.5","0","16.0","6","41","6.8","1","8.2","29","121","4.2","1","","georgia-tech","2022"
"17","Kalani Norris","WR","4","0","0","","0","0.0","2","47","23.5","0","11.8","2","47","23.5","0","","georgia-tech","2022"
"18","Zach Pyron","QB","3","35","127","3.6","2","42.3","0","0","","0","0.0","35","127","3.6","2","","georgia-tech","2022"
"19","Taisun Phommachanh","QB","2","15","56","3.7","2","28.0","0","0","","0","0.0","15","56","3.7","2","","georgia-tech","2022"
