"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Zamir White","RB","15","160","856","5.4","11","57.1","9","75","8.3","0","5.0","169","931","5.5","11","","georgia","2021"
"2","Brock Bowers","TE","15","4","56","14.0","1","3.7","56","882","15.8","13","58.8","60","938","15.6","14","","georgia","2021"
"3","Ladd McConkey","WR","15","4","44","11.0","1","2.9","31","447","14.4","5","29.8","35","491","14.0","6","","georgia","2021"
"4","Daijun Edwards","RB","15","49","215","4.4","3","14.3","2","42","21.0","0","2.8","51","257","5.0","3","","georgia","2021"
"5","Kearis Jackson","WR","15","1","37","37.0","0","2.5","16","194","12.1","1","12.9","17","231","13.6","1","","georgia","2021"
"6","Jordan Davis","DL","15","2","2","1.0","1","0.1","0","0","","0","0.0","2","2","1.0","1","H-9,Bednarik,AA","georgia","2021"
"7","John FitzPatrick","TE","15","0","0","","0","0.0","6","83","13.8","0","5.5","6","83","13.8","0","","georgia","2021"
"8","James Cook","RB","15","113","728","6.4","7","48.5","27","284","10.5","4","18.9","140","1012","7.2","11","","georgia","2021"
"9","Adonai Mitchell","WR","15","0","0","","0","0.0","29","426","14.7","4","28.4","29","426","14.7","4","","georgia","2021"
"10","Stetson Bennett","QB","14","56","259","4.6","1","18.5","0","0","","1","0.0","56","259","4.6","2","","georgia","2021"
"11","Kenny McIntosh","RB","14","58","328","5.7","3","23.4","22","242","11.0","2","17.3","80","570","7.1","5","","georgia","2021"
"12","Jermaine Burton","WR","14","0","0","","0","0.0","26","497","19.1","4","35.5","26","497","19.1","4","","georgia","2021"
"13","Jaylen Johnson","WR","13","1","6","6.0","0","0.5","3","29","9.7","0","2.2","4","35","8.8","0","","georgia","2021"
"14","Marcus Rosemy-Jacksaint","WR","13","0","0","","0","0.0","7","94","13.4","0","7.2","7","94","13.4","0","","georgia","2021"
"15","Darnell Washington","TE","11","0","0","","0","0.0","10","154","15.4","1","14.0","10","154","15.4","1","","georgia","2021"
"16","Brett Seither","TE","10","0","0","","0","0.0","3","42","14.0","1","4.2","3","42","14.0","1","","georgia","2021"
"17","Jackson Meeks","WR","9","0","0","","0","0.0","3","44","14.7","0","4.9","3","44","14.7","0","","georgia","2021"
"18","Justin Robinson","WR","8","0","0","","0","0.0","2","18","9.0","1","2.3","2","18","9.0","1","","georgia","2021"
"19","Kendall Milton","RB","8","56","264","4.7","1","33.0","2","5","2.5","0","0.6","58","269","4.6","1","","georgia","2021"
"20","JT Daniels","QB","6","4","-18","-4.5","0","-3.0","0","0","","0","0.0","4","-18","-4.5","0","","georgia","2021"
"21","Sevaughn Clark","RB","6","14","46","3.3","0","7.7","0","0","","0","0.0","14","46","3.3","0","","georgia","2021"
"22","George Pickens","WR","4","0","0","","0","0.0","5","107","21.4","0","26.8","5","107","21.4","0","","georgia","2021"
"23","Dominick Blaylock","WR","4","0","0","","0","0.0","2","11","5.5","0","2.8","2","11","5.5","0","","georgia","2021"
"24","Carson Beck","QB","4","5","15","3.0","0","3.8","0","0","","0","0.0","5","15","3.0","0","","georgia","2021"
"25","Arian Smith","WR","4","1","15","15.0","0","3.8","3","102","34.0","2","25.5","4","117","29.3","2","","georgia","2021"
"26","Cash Jones","RB","2","1","6","6.0","0","3.0","0","0","","0","0.0","1","6","6.0","0","","georgia","2021"
"27","Anthony Summey","RB","2","5","16","3.2","0","8.0","0","0","","0","0.0","5","16","3.2","0","","georgia","2021"
