"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Dalton Carnes","WR","12","0","0","","0","0.0","20","263","13.2","1","21.9","20","263","13.2","1","","houston","2023"
"2","Donovan Smith","QB","12","138","428","3.1","6","35.7","1","28","28.0","1","2.3","139","456","3.3","7","","houston","2023"
"3","Matt Byrnes","TE","12","0","0","","0","0.0","6","44","7.3","0","3.7","6","44","7.3","0","","houston","2023"
"4","Stephon Johnson Jr.","WR","12","1","13","13.0","0","1.1","24","277","11.5","3","23.1","25","290","11.6","3","","houston","2023"
"5","Mike O'Laughlin","TE","12","0","0","","0","0.0","12","94","7.8","0","7.8","12","94","7.8","0","","houston","2023"
"6","Parker Jenkins","RB","12","99","464","4.7","3","38.7","15","81","5.4","0","6.8","114","545","4.8","3","","houston","2023"
"7","Stacy Sneed","RB","12","48","282","5.9","1","23.5","13","95","7.3","1","7.9","61","377","6.2","2","","houston","2023"
"8","Sam Brown","WR","12","0","0","","0","0.0","62","815","13.1","3","67.9","62","815","13.1","3","","houston","2023"
"9","Bryan Henry","TE","11","0","0","","0","0.0","1","6","6.0","1","0.5","1","6","6.0","1","","houston","2023"
"10","Josh Cobbs","WR","11","0","0","","0","0.0","8","71","8.9","0","6.5","8","71","8.9","0","","houston","2023"
"11","Tony Mathis","RB","10","41","170","4.1","0","17.0","11","79","7.2","1","7.9","52","249","4.8","1","","houston","2023"
"12","Joseph Manjack IV","WR","10","2","-3","-1.5","0","-0.3","46","577","12.5","6","57.7","48","574","12.0","6","","houston","2023"
"13","Matthew Golden","WR","9","0","0","","0","0.0","38","404","10.6","6","44.9","38","404","10.6","6","","houston","2023"
"14","Peyton Sawyer","WR","7","0","0","","0","0.0","1","1","1.0","0","0.1","1","1","1.0","0","","houston","2023"
"15","Brandon Campbell","RB","5","18","46","2.6","0","9.2","1","3","3.0","0","0.6","19","49","2.6","0","","houston","2023"
"16","Jonah Wilson","WR","3","0","0","","0","0.0","2","60","30.0","1","20.0","2","60","30.0","1","","houston","2023"
"17","Ui Ale","QB","3","8","31","3.9","0","10.3","0","0","","0","0.0","8","31","3.9","0","","houston","2023"
