"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Isaiah Williams","WR","13","7","5","0.7","0","0.4","82","715","8.7","5","55.0","89","720","8.1","5","","illinois","2022"
"2","Tommy Devito","QB","13","73","35","0.5","6","2.7","0","13","","0","1.0","73","48","0.7","6","","illinois","2022"
"3","Tip Reiman","TE","13","0","0","","0","0.0","19","174","9.2","1","13.4","19","174","9.2","1","","illinois","2022"
"4","Reggie Love III","RB","13","70","316","4.5","2","24.3","4","16","4.0","0","1.2","74","332","4.5","2","","illinois","2022"
"5","Miles Scott","WR","13","0","0","","0","0.0","4","29","7.3","0","2.2","4","29","7.3","0","","illinois","2022"
"6","Michael Marchese","TE","13","0","0","","0","0.0","9","142","15.8","2","10.9","9","142","15.8","2","","illinois","2022"
"7","Hugh Robertson","P","13","1","23","23.0","0","1.8","0","0","","0","0.0","1","23","23.0","0","","illinois","2022"
"8","Casey Washington","WR","13","0","0","","0","0.0","31","306","9.9","0","23.5","31","306","9.9","0","","illinois","2022"
"9","Luke Ford","TE","12","0","0","","0","0.0","10","88","8.8","0","7.3","10","88","8.8","0","","illinois","2022"
"10","Chase Brown","RB","12","328","1643","5.0","10","136.9","27","240","8.9","3","20.0","355","1883","5.3","13","","illinois","2022"
"11","Pat Bryant","WR","12","0","0","","0","0.0","34","453","13.3","2","37.8","34","453","13.3","2","","illinois","2022"
"12","Brian Hightower","WR","12","0","0","","0","0.0","37","452","12.2","2","37.7","37","452","12.2","2","","illinois","2022"
"13","Hank Beatty","WR","12","0","0","","0","0.0","7","25","3.6","0","2.1","7","25","3.6","0","","illinois","2022"
"14","Griffin Moore","TE","6","0","0","","0","0.0","1","17","17.0","0","2.8","1","17","17.0","0","","illinois","2022"
"15","Chase Hayden","RB","6","22","87","4.0","0","14.5","2","12","6.0","0","2.0","24","99","4.1","0","","illinois","2022"
"16","Jonah Morris","WR","6","0","0","","0","0.0","4","55","13.8","0","9.2","4","55","13.8","0","","illinois","2022"
"17","Josh McCray","RB","4","19","56","2.9","0","14.0","4","19","4.8","0","4.8","23","75","3.3","0","","illinois","2022"
"18","Artur Sitkowski","QB","3","5","18","3.6","0","6.0","0","0","","0","0.0","5","18","3.6","0","","illinois","2022"
"19","Aidan Laughery","RB","1","3","9","3.0","0","9.0","0","0","","0","0.0","3","9","3.0","0","","illinois","2022"
