"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Stevo Klotz","TE","13","0","0","","0","0.0","7","60","8.6","1","4.6","7","60","8.6","1","","iowa-state","2023"
"2","Rocco Becht","QB","13","62","63","1.0","3","4.8","0","0","","0","0.0","62","63","1.0","3","","iowa-state","2023"
"3","Benjamin Brahmer","TE","13","0","0","","0","0.0","28","352","12.6","2","27.1","28","352","12.6","2","","iowa-state","2023"
"4","Carson Hansen","RB","13","22","67","3.0","0","5.2","11","115","10.5","0","8.8","33","182","5.5","0","","iowa-state","2023"
"5","Chase Contreraz","K","13","1","6","6.0","0","0.5","0","0","","0","0.0","1","6","6.0","0","","iowa-state","2023"
"6","Daniel Jackson","WR","13","0","0","","0","0.0","16","260","16.3","2","20.0","16","260","16.3","2","","iowa-state","2023"
"7","Easton Dean","TE","13","0","0","","0","0.0","16","171","10.7","3","13.2","16","171","10.7","3","","iowa-state","2023"
"8","Jayden Higgins","WR","13","0","0","","0","0.0","53","983","18.5","6","75.6","53","983","18.5","6","","iowa-state","2023"
"9","Gabe Burkle","TE","13","0","0","","0","0.0","2","9","4.5","0","0.7","2","9","4.5","0","","iowa-state","2023"
"10","Abu Sama","RB","12","84","614","7.3","6","51.2","7","51","7.3","0","4.3","91","665","7.3","6","","iowa-state","2023"
"11","Jaylin Noel","WR","12","1","-1","-1.0","0","-0.1","66","820","12.4","7","68.3","67","819","12.2","7","","iowa-state","2023"
"12","Dimitri Stanley","WR","12","0","0","","0","0.0","15","139","9.3","0","11.6","15","139","9.3","0","","iowa-state","2023"
"13","Tyler Moore","TE","11","0","0","","0","0.0","4","25","6.3","1","2.3","4","25","6.3","1","","iowa-state","2023"
"14","Cartevious Norton","RB","11","87","343","3.9","3","31.2","3","20","6.7","0","1.8","90","363","4.0","3","","iowa-state","2023"
"15","Aidan Bitter","WR","11","0","0","","0","0.0","5","79","15.8","0","7.2","5","79","15.8","0","","iowa-state","2023"
"16","Eli Sanders","RB","9","102","477","4.7","4","53.0","5","43","8.6","1","4.8","107","520","4.9","5","","iowa-state","2023"
"17","Arlen Harris","RB","6","1","6","6.0","0","1.0","0","0","","0","0.0","1","6","6.0","0","","iowa-state","2023"
"18","Greg Gaines","WR","5","0","0","","0","0.0","2","12","6.0","0","2.4","2","12","6.0","0","","iowa-state","2023"
"19","J.J. Kohl","QB","3","6","32","5.3","0","10.7","0","0","","0","0.0","6","32","5.3","0","","iowa-state","2023"
"20","Beni Ngoyi","WR","2","0","0","","0","0.0","1","46","46.0","0","23.0","1","46","46.0","0","","iowa-state","2023"
"21","Tanner Hughes","QB","1","2","4","2.0","0","4.0","0","0","","0","0.0","2","4","2.0","0","","iowa-state","2023"
