"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Kaleb Johnson","RB","13","151","779","5.2","6","59.9","4","27","6.8","0","2.1","155","806","5.2","6","","iowa","2022"
"2","Tory Taylor","P","13","1","4","4.0","0","0.3","0","0","","0","0.0","1","4","4.0","0","","iowa","2022"
"3","Luke Lachey","TE","13","0","0","","0","0.0","28","398","14.2","4","30.6","28","398","14.2","4","","iowa","2022"
"4","Addison Ostrenga","TE","13","0","0","","0","0.0","1","6","6.0","0","0.5","1","6","6.0","0","","iowa","2022"
"5","Leshon Williams","RB","12","116","412","3.6","2","34.3","11","78","7.1","0","6.5","127","490","3.9","2","","iowa","2022"
"6","Monte Pottebaum","FB","12","3","6","2.0","0","0.5","3","37","12.3","0","3.1","6","43","7.2","0","","iowa","2022"
"7","Nick Dejong","OL","12","0","0","","0","0.0","1","-4","-4.0","0","-0.3","1","-4","-4.0","0","","iowa","2022"
"8","Sam Laporta","TE","12","2","6","3.0","0","0.5","58","657","11.3","1","54.8","60","663","11.1","1","","iowa","2022"
"9","Spencer Petras","QB","12","57","-182","-3.2","3","-15.2","0","-3","","0","-0.3","57","-185","-3.2","3","","iowa","2022"
"10","Brady Brecht","WR","11","1","4","4.0","0","0.4","9","87","9.7","0","7.9","10","91","9.1","0","","iowa","2022"
"11","Gavin Williams","RB","11","43","138","3.2","0","12.5","9","44","4.9","0","4.0","52","182","3.5","0","","iowa","2022"
"12","Arland Bruce IV","WR","11","12","47","3.9","1","4.3","19","187","9.8","1","17.0","31","234","7.5","2","","iowa","2022"
"13","Nico Ragaini","WR","11","2","17","8.5","0","1.5","34","386","11.4","1","35.1","36","403","11.2","1","","iowa","2022"
"14","Alec Wick","WR","10","0","0","","0","0.0","2","31","15.5","0","3.1","2","31","15.5","0","","iowa","2022"
"15","Diante Vines","WR","7","1","2","2.0","0","0.3","10","94","9.4","0","13.4","11","96","8.7","0","","iowa","2022"
"16","Jaziun Patterson","RB","3","14","47","3.4","0","15.7","1","1","1.0","0","0.3","15","48","3.2","0","","iowa","2022"
"17","Keagan Johnson","WR","2","0","0","","0","0.0","2","11","5.5","0","5.5","2","11","5.5","0","","iowa","2022"
"18","Alex Padilla","QB","2","9","-35","-3.9","0","-17.5","0","0","","0","0.0","9","-35","-3.9","0","","iowa","2022"
"19","Joey Labas","QB","1","4","11","2.8","0","11.0","0","0","","0","0.0","4","11","2.8","0","","iowa","2022"
