"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Quinton Lane","WR","13","0","0","","0","0.0","30","342","11.4","1","26.3","30","342","11.4","1","","jacksonville-state","2023"
"2","Jack Dawson","P","13","2","21","10.5","0","1.6","0","0","","0","0.0","2","21","10.5","0","","jacksonville-state","2023"
"3","Jamarye Joiner","WR","13","0","0","","0","0.0","10","93","9.3","0","7.2","10","93","9.3","0","","jacksonville-state","2023"
"4","Sterling Galban","WR","13","6","23","3.8","0","1.8","11","126","11.5","1","9.7","17","149","8.8","1","","jacksonville-state","2023"
"5","Perry Carter","WR","13","6","40","6.7","0","3.1","38","672","17.7","4","51.7","44","712","16.2","4","","jacksonville-state","2023"
"6","Michael Pettway","WR","13","0","0","","0","0.0","17","196","11.5","1","15.1","17","196","11.5","1","","jacksonville-state","2023"
"7","Sean Brown","TE","13","0","0","","0","0.0","19","294","15.5","5","22.6","19","294","15.5","5","","jacksonville-state","2023"
"8","Cole Fuller","TE","12","1","1","1.0","1","0.1","0","0","","0","0.0","1","1","1.0","1","","jacksonville-state","2023"
"9","Zion Webb","QB","12","132","708","5.4","7","59.0","0","0","","0","0.0","132","708","5.4","7","","jacksonville-state","2023"
"10","Jordan McCants","WR","12","0","0","","0","0.0","1","28","28.0","0","2.3","1","28","28.0","0","","jacksonville-state","2023"
"11","Logan Smothers","QB","12","85","322","3.8","7","26.8","0","0","","0","0.0","85","322","3.8","7","","jacksonville-state","2023"
"12","Malik Jackson","RB","12","146","897","6.1","7","74.8","15","82","5.5","0","6.8","161","979","6.1","7","","jacksonville-state","2023"
"13","Reggion Bennett","RB","10","27","60","2.2","0","6.0","0","0","","0","0.0","27","60","2.2","0","","jacksonville-state","2023"
"14","Brock Rechsteiner","WR","10","0","0","","0","0.0","1","5","5.0","0","0.5","1","5","5.0","0","","jacksonville-state","2023"
"15","Anwar Lewis","RB","9","93","452","4.9","3","50.2","11","96","8.7","0","10.7","104","548","5.3","3","","jacksonville-state","2023"
"16","PJ Wells","WR","9","0","0","","0","0.0","12","150","12.5","0","16.7","12","150","12.5","0","","jacksonville-state","2023"
"17","Jacob Barrick","TE","8","0","0","","0","0.0","3","32","10.7","0","4.0","3","32","10.7","0","","jacksonville-state","2023"
"18","Ron Wiggins","RB","8","92","468","5.1","6","58.5","9","77","8.6","0","9.6","101","545","5.4","6","","jacksonville-state","2023"
"19","J'Wan Evans","RB","7","21","60","2.9","4","8.6","2","7","3.5","0","1.0","23","67","2.9","4","","jacksonville-state","2023"
"20","Jayson Jones","WR","7","1","5","5.0","0","0.7","2","24","12.0","0","3.4","3","29","9.7","0","","jacksonville-state","2023"
"21","Carter Lambert","QB","6","0","0","","0","0.0","1","-1","-1.0","0","-0.2","1","-1","-1.0","0","","jacksonville-state","2023"
"22","Ashton Frye","QB","5","10","31","3.1","0","6.2","0","0","","0","0.0","10","31","3.1","0","","jacksonville-state","2023"
"23","Kenyon Sims","RB","4","4","8","2.0","0","2.0","0","0","","0","0.0","4","8","2.0","0","","jacksonville-state","2023"
"24","Jarod Bowie","WR","3","1","1","1.0","0","0.3","0","0","","0","0.0","1","1","1.0","0","","jacksonville-state","2023"
"25","Earl Woods III","QB","3","4","24","6.0","0","8.0","0","0","","0","0.0","4","24","6.0","0","","jacksonville-state","2023"
"26","Te'Sean Smoot","QB","2","4","18","4.5","0","9.0","0","0","","0","0.0","4","18","4.5","0","","jacksonville-state","2023"
