"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Zach Horton","TE","13","0","0","","0","0.0","27","275","10.2","6","21.2","27","275","10.2","6","","james-madison","2023"
"2","Elijah Sarratt","WR","13","1","1","1.0","1","0.1","82","1191","14.5","8","91.6","83","1192","14.4","9","","james-madison","2023"
"3","Jordan McCloud","QB","13","96","276","2.9","8","21.2","0","0","","0","0.0","96","276","2.9","8","","james-madison","2023"
"4","Kaelon Black","RB","13","142","637","4.5","1","49.0","27","254","9.4","4","19.5","169","891","5.3","5","","james-madison","2023"
"5","Kyi Wright","TE","13","0","0","","0","0.0","4","35","8.8","0","2.7","4","35","8.8","0","","james-madison","2023"
"6","Taji Hudson","WR","13","0","0","","0","0.0","8","88","11.0","1","6.8","8","88","11.0","1","","james-madison","2023"
"7","Reggie Brown","WR","13","0","0","","0","0.0","53","1054","19.9","9","81.1","53","1054","19.9","9","","james-madison","2023"
"8","Phoenix Sproles","WR","13","0","0","","0","0.0","52","442","8.5","5","34.0","52","442","8.5","5","","james-madison","2023"
"9","Ty Son Lawton","RB","12","126","568","4.5","5","47.3","19","174","9.2","1","14.5","145","742","5.1","6","","james-madison","2023"
"10","Omarion Dollison","WR","11","2","29","14.5","0","2.6","1","54","54.0","1","4.9","3","83","27.7","1","","james-madison","2023"
"11","Yamir Knight","WR","11","1","-1","-1.0","0","-0.1","8","73","9.1","0","6.6","9","72","8.0","0","","james-madison","2023"
"12","Sammy Malignaggi","RB","11","13","71","5.5","0","6.5","0","0","","0","0.0","13","71","5.5","0","","james-madison","2023"
"13","Maxwell Moss","WR","10","0","0","","0","0.0","2","23","11.5","1","2.3","2","23","11.5","1","","james-madison","2023"
"14","Latrele Palmer","RB","9","33","132","4.0","1","14.7","2","16","8.0","0","1.8","35","148","4.2","1","","james-madison","2023"
"15","Ke'Marion Baldwin","RB","4","3","7","2.3","0","1.8","0","0","","0","0.0","3","7","2.3","0","","james-madison","2023"
"16","Wayne Knight","RB","4","4","23","5.8","0","5.8","1","11","11.0","0","2.8","5","34","6.8","0","","james-madison","2023"
"17","Billy Atkins","QB","4","3","16","5.3","0","4.0","0","0","","0","0.0","3","16","5.3","0","","james-madison","2023"
"18","Alonza Barnett III","QB","2","5","29","5.8","1","14.5","0","0","","0","0.0","5","29","5.8","1","","james-madison","2023"
"19","Solomon Vanhorse","RB","1","0","0","","0","0.0","1","7","7.0","0","7.0","1","7","7.0","0","","james-madison","2023"
"20","Troy Lewis","WR","1","0","0","","0","0.0","1","5","5.0","0","5.0","1","5","5.0","0","","james-madison","2023"
"21","Brett Griffis","QB","1","2","5","2.5","0","5.0","0","0","","0","0.0","2","5","2.5","0","","james-madison","2023"
