"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Seth Porter","WR","13","0","0","","0","0.0","3","38","12.7","1","2.9","3","38","12.7","1","","kansas-state","2023"
"2","DJ Giddens","RB","13","223","1226","5.5","10","94.3","29","323","11.1","3","24.8","252","1549","6.1","13","","kansas-state","2023"
"3","Jack Blumer","P","13","1","30","30.0","0","2.3","0","0","","0","0.0","1","30","30.0","0","","kansas-state","2023"
"4","Jadon Jackson","WR","13","4","36","9.0","0","2.8","19","252","13.3","2","19.4","23","288","12.5","2","","kansas-state","2023"
"5","Will Swanson","TE","13","0","0","","0","0.0","5","66","13.2","1","5.1","5","66","13.2","1","","kansas-state","2023"
"6","Ben Sinnott","TE","12","0","0","","0","0.0","49","676","13.8","6","56.3","49","676","13.8","6","","kansas-state","2023"
"7","Christian Moore","TE","12","0","0","","0","0.0","1","2","2.0","1","0.2","1","2","2.0","1","","kansas-state","2023"
"8","RJ Garcia II","WR","12","0","0","","0","0.0","14","184","13.1","1","15.3","14","184","13.1","1","","kansas-state","2023"
"9","Phillip Brooks","WR","12","7","33","4.7","1","2.8","53","589","11.1","5","49.1","60","622","10.4","6","","kansas-state","2023"
"10","Will Howard","QB","12","81","351","4.3","9","29.3","1","8","8.0","1","0.7","82","359","4.4","10","","kansas-state","2023"
"11","Treshaun Ward","RB","11","124","643","5.2","5","58.5","17","129","7.6","2","11.7","141","772","5.5","7","","kansas-state","2023"
"12","Keagan Johnson","WR","11","8","26","3.3","0","2.4","24","227","9.5","2","20.6","32","253","7.9","2","","kansas-state","2023"
"13","Jayce Brown","WR","10","4","3","0.8","0","0.3","27","437","16.2","3","43.7","31","440","14.2","3","","kansas-state","2023"
"14","Garrett Oakley","TE","10","0","0","","0","0.0","11","154","14.0","2","15.4","11","154","14.0","2","","kansas-state","2023"
"15","Anthony Frias II","RB","10","13","42","3.2","0","4.2","2","5","2.5","0","0.5","15","47","3.1","0","","kansas-state","2023"
"16","Xavier Loyd","WR","8","0","0","","0","0.0","1","16","16.0","0","2.0","1","16","16.0","0","","kansas-state","2023"
"17","Avery Johnson","QB","8","52","296","5.7","7","37.0","0","0","","0","0.0","52","296","5.7","7","","kansas-state","2023"
"18","Erik Pizarro","WR","8","0","0","","0","0.0","1","5","5.0","0","0.6","1","5","5.0","0","","kansas-state","2023"
"19","La'James White","RB","7","3","14","4.7","0","2.0","0","0","","0","0.0","3","14","4.7","0","","kansas-state","2023"
"20","Tre Spivey","WR","2","0","0","","0","0.0","1","24","24.0","0","12.0","1","24","24.0","0","","kansas-state","2023"
"21","Joe Jackson","RB","2","4","1","0.3","0","0.5","0","0","","0","0.0","4","1","0.3","0","","kansas-state","2023"
