"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Torry Locklin","WR","13","9","40","4.4","0","3.1","4","40","10.0","1","3.1","13","80","6.2","1","","kansas","2023"
"2","Daniel Hishaw Jr.","RB","13","121","626","5.2","8","48.2","1","9","9.0","0","0.7","122","635","5.2","8","","kansas","2023"
"3","Devin Neal","RB","13","203","1280","6.3","16","98.5","25","217","8.7","1","16.7","228","1497","6.6","17","","kansas","2023"
"4","Douglas Emilien","WR","13","0","0","","0","0.0","6","61","10.2","0","4.7","6","61","10.2","0","","kansas","2023"
"5","Dylan McDuffie","RB","13","45","253","5.6","4","19.5","0","0","","0","0.0","45","253","5.6","4","","kansas","2023"
"6","Quentin Skinner","WR","13","2","8","4.0","0","0.6","29","587","20.2","2","45.2","31","595","19.2","2","","kansas","2023"
"7","Jared Casey","TE","13","0","0","","0","0.0","9","107","11.9","2","8.2","9","107","11.9","2","","kansas","2023"
"8","Mason Fairchild","TE","13","0","0","","0","0.0","27","451","16.7","3","34.7","27","451","16.7","3","","kansas","2023"
"9","Lawrence Arnold","WR","13","1","10","10.0","0","0.8","44","782","17.8","6","60.2","45","792","17.6","6","","kansas","2023"
"10","Luke Grimm","WR","13","1","-6","-6.0","0","-0.5","33","555","16.8","6","42.7","34","549","16.1","6","","kansas","2023"
"11","Trevor Wilson","WR","12","0","0","","0","0.0","11","195","17.7","2","16.3","11","195","17.7","2","","kansas","2023"
"12","Jason Bean","QB","12","47","280","6.0","3","23.3","0","0","","0","0.0","47","280","6.0","3","","kansas","2023"
"13","Trevor Kardell","TE","10","0","0","","0","0.0","6","69","11.5","1","6.9","6","69","11.5","1","","kansas","2023"
"14","Tanaka Scott","WR","9","0","0","","0","0.0","3","31","10.3","0","3.4","3","31","10.3","0","","kansas","2023"
"15","Sevion Morrison","RB","5","10","62","6.2","1","12.4","2","17","8.5","0","3.4","12","79","6.6","1","","kansas","2023"
"16","Cole Ballard","QB","4","20","75","3.8","0","18.8","0","0","","0","0.0","20","75","3.8","0","","kansas","2023"
"17","Jalon Daniels","QB","3","27","74","2.7","0","24.7","0","0","","0","0.0","27","74","2.7","0","","kansas","2023"
"18","Ben Easters","QB","1","1","3","3.0","0","3.0","0","0","","0","0.0","1","3","3.0","0","","kansas","2023"
