"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Barion Brown","WR","13","4","-2","-0.5","0","-0.2","50","628","12.6","4","48.3","54","626","11.6","4","","kentucky","2022"
"2","La'Vell Wright","RB","13","39","120","3.1","0","9.2","6","28","4.7","0","2.2","45","148","3.3","0","","kentucky","2022"
"3","Dane Key","WR","13","1","-2","-2.0","0","-0.2","37","519","14.0","6","39.9","38","517","13.6","6","","kentucky","2022"
"4","Izayah Cummings","TE","13","1","23","23.0","0","1.8","0","0","","0","0.0","1","23","23.0","0","","kentucky","2022"
"5","Jordan Dingle","TE","13","0","0","","0","0.0","20","220","11.0","3","16.9","20","220","11.0","3","","kentucky","2022"
"6","Chaucey Magwood","WR","12","0","0","","0","0.0","7","104","14.9","1","8.7","7","104","14.9","1","","kentucky","2022"
"7","Keaton Upshaw","TE","12","0","0","","0","0.0","4","50","12.5","0","4.2","4","50","12.5","0","","kentucky","2022"
"8","Kavosiey Smoke","RB","12","59","277","4.7","1","23.1","3","30","10.0","0","2.5","62","307","5.0","1","","kentucky","2022"
"9","DeMarcus Harris","WR","12","0","0","","0","0.0","4","90","22.5","0","7.5","4","90","22.5","0","","kentucky","2022"
"10","Will Levis","QB","11","72","-107","-1.5","2","-9.7","0","0","","0","0.0","72","-107","-1.5","2","","kentucky","2022"
"11","Tayvion Robinson","WR","11","8","38","4.8","0","3.5","40","497","12.4","3","45.2","48","535","11.1","3","","kentucky","2022"
"12","Josh Kattus","TE","11","0","0","","0","0.0","7","125","17.9","0","11.4","7","125","17.9","0","","kentucky","2022"
"13","Brenden Bates","TE","11","0","0","","0","0.0","10","99","9.9","1","9.0","10","99","9.9","1","","kentucky","2022"
"14","Jutahn McClain","RB","10","59","278","4.7","0","27.8","18","100","5.6","1","10.0","77","378","4.9","1","","kentucky","2022"
"15","Dekel Crowdus","WR","10","0","0","","0","0.0","4","82","20.5","0","8.2","4","82","20.5","0","","kentucky","2022"
"16","Justice Dingle","FB","9","0","0","","0","0.0","1","10","10.0","0","1.1","1","10","10.0","0","","kentucky","2022"
"17","Rahsaan Lewis","WR","9","0","0","","0","0.0","6","65","10.8","1","7.2","6","65","10.8","1","","kentucky","2022"
"18","Christopher Rodriguez Jr.","RB","8","175","904","5.2","6","113.0","5","41","8.2","0","5.1","180","945","5.3","6","","kentucky","2022"
"19","Chris Lewis","WR","8","0","0","","0","0.0","2","22","11.0","1","2.8","2","22","11.0","1","","kentucky","2022"
"20","Kaiya Sheron","QB","4","11","-24","-2.2","0","-6.0","0","0","","0","0.0","11","-24","-2.2","0","","kentucky","2022"
"21","Dee Beckwith","WR","3","5","21","4.2","0","7.0","0","0","","0","0.0","5","21","4.2","0","","kentucky","2022"
"22","Destin Wade","QB","1","17","23","1.4","0","23.0","0","0","","0","0.0","17","23","1.4","0","","kentucky","2022"
"23","Ramon Jefferson","RB","1","2","10","5.0","0","10.0","0","0","","0","0.0","2","10","5.0","0","","kentucky","2022"
