"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Jerome Jackson","TE","13","0","0","","0","0.0","15","120","8.0","1","9.2","15","120","8.0","1","","liberty","2022"
"2","Treon Sibley","WR","13","0","0","","0","0.0","11","186","16.9","3","14.3","11","186","16.9","3","","liberty","2022"
"3","Noah Frith","WR","13","0","0","","0","0.0","25","446","17.8","1","34.3","25","446","17.8","1","","liberty","2022"
"4","Michael Bollinger","TE","13","1","2","2.0","0","0.2","3","22","7.3","1","1.7","4","24","6.0","1","","liberty","2022"
"5","Austin Henderson","TE","13","0","0","","0","0.0","5","50","10.0","1","3.8","5","50","10.0","1","","liberty","2022"
"6","Demario Douglas","WR","13","5","105","21.0","1","8.1","79","993","12.6","6","76.4","84","1098","13.1","7","","liberty","2022"
"7","Bentley Hanshaw","TE","13","0","0","","0","0.0","6","117","19.5","1","9.0","6","117","19.5","1","","liberty","2022"
"8","Johnathan Bennett","QB","12","76","181","2.4","2","15.1","0","0","","0","0.0","76","181","2.4","2","","liberty","2022"
"9","Shedro Louis","RB","12","122","529","4.3","8","44.1","9","81","9.0","0","6.8","131","610","4.7","8","","liberty","2022"
"10","CJ Yarbrough","WR","11","0","0","","0","0.0","16","221","13.8","2","20.1","16","221","13.8","2","","liberty","2022"
"11","Khaleb Coleman","WR","11","0","0","","0","0.0","3","37","12.3","1","3.4","3","37","12.3","1","","liberty","2022"
"12","Jaivian Lofton","WR","10","0","0","","0","0.0","10","102","10.2","2","10.2","10","102","10.2","2","","liberty","2022"
"13","Dae Dae Hunter","RB","9","130","854","6.6","8","94.9","18","149","8.3","1","16.6","148","1003","6.8","9","","liberty","2022"
"14","Malik Caper","RB","9","18","32","1.8","1","3.6","2","1","0.5","0","0.1","20","33","1.7","1","","liberty","2022"
"15","Kaidon Salter","QB","8","69","285","4.1","2","35.6","0","0","","0","0.0","69","285","4.1","2","","liberty","2022"
"16","Caleb Snead","WR","8","0","0","","0","0.0","18","193","10.7","0","24.1","18","193","10.7","0","","liberty","2022"
"17","Cole Peterlin","WR","7","0","0","","0","0.0","2","25","12.5","0","3.6","2","25","12.5","0","","liberty","2022"
"18","TJ Green","RB","7","44","232","5.3","2","33.1","5","36","7.2","0","5.1","49","268","5.5","2","","liberty","2022"
"19","Nate Hampton","QB","5","13","19","1.5","0","3.8","0","0","","0","0.0","13","19","1.5","0","","liberty","2022"
"20","CJ Daniels","WR","4","0","0","","0","0.0","3","38","12.7","1","9.5","3","38","12.7","1","","liberty","2022"
"21","Charlie Brewer","QB","3","7","23","3.3","0","7.7","0","0","","0","0.0","7","23","3.3","0","","liberty","2022"
