"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Abraham Alce","FB","12","15","17","1.1","2","1.4","0","0","","0","0.0","15","17","1.1","2","","louisiana-monroe","2021"
"2","Boogie Knight","WR","12","1","-3","-3.0","0","-0.3","45","588","13.1","3","49.0","46","585","12.7","3","","louisiana-monroe","2021"
"3","Chandler Rogers","QB","12","139","367","2.6","1","30.6","0","0","","0","0.0","139","367","2.6","1","","louisiana-monroe","2021"
"4","Will Derrick","WR","12","0","0","","0","0.0","25","353","14.1","1","29.4","25","353","14.1","1","","louisiana-monroe","2021"
"5","Andrew Henry","RB","11","131","482","3.7","4","43.8","14","88","6.3","1","8.0","145","570","3.9","5","","louisiana-monroe","2021"
"6","Zachari Jackson","WR","11","0","0","","0","0.0","25","301","12.0","2","27.4","25","301","12.0","2","","louisiana-monroe","2021"
"7","Zach Rasmussen","TE","11","0","0","","0","0.0","6","94","15.7","3","8.5","6","94","15.7","3","","louisiana-monroe","2021"
"8","Malik Jackson","WR","11","80","451","5.6","3","41.0","10","40","4.0","0","3.6","90","491","5.5","3","","louisiana-monroe","2021"
"9","Jevin Frett","WR","11","1","-3","-3.0","0","-0.3","12","218","18.2","1","19.8","13","215","16.5","1","","louisiana-monroe","2021"
"10","Jared Sparks","WR","11","0","0","","0","0.0","30","336","11.2","1","30.5","30","336","11.2","1","","louisiana-monroe","2021"
"11","Jahquan Bloomfield","WR","10","0","0","","0","0.0","1","5","5.0","0","0.5","1","5","5.0","0","","louisiana-monroe","2021"
"12","Fred Lloyd Jr.","WR","10","0","0","","0","0.0","5","82","16.4","1","8.2","5","82","16.4","1","","louisiana-monroe","2021"
"13","Dariyan Wiley","WR","8","0","0","","0","0.0","9","82","9.1","1","10.3","9","82","9.1","1","","louisiana-monroe","2021"
"14","Coby Cavil","WR","7","0","0","","0","0.0","6","68","11.3","1","9.7","6","68","11.3","1","","louisiana-monroe","2021"
"15","Isaiah Phillips","RB","6","16","28","1.8","0","4.7","2","8","4.0","0","1.3","18","36","2.0","0","","louisiana-monroe","2021"
"16","Frederick Lloyd Jr.","WR","6","0","0","","0","0.0","8","114","14.3","1","19.0","8","114","14.3","1","","louisiana-monroe","2021"
"17","Kadyn Roach","RB","6","21","58","2.8","1","9.7","4","22","5.5","0","3.7","25","80","3.2","1","","louisiana-monroe","2021"
"18","Rhett Rodriguez","QB","6","35","45","1.3","0","7.5","0","0","","0","0.0","35","45","1.3","0","","louisiana-monroe","2021"
"19","Charles Norman","RB","5","3","6","2.0","0","1.2","1","1","1.0","0","0.2","4","7","1.8","0","","louisiana-monroe","2021"
"20","Jakyle Holmes","RB","4","13","105","8.1","1","26.3","2","10","5.0","0","2.5","15","115","7.7","1","","louisiana-monroe","2021"
"21","Jiya Wright","QB","4","33","127","3.8","1","31.8","0","0","","0","0.0","33","127","3.8","1","","louisiana-monroe","2021"
"22","Colby Suits","QB","3","4","-15","-3.8","0","-5.0","0","0","","0","0.0","4","-15","-3.8","0","","louisiana-monroe","2021"
