"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Noah Cain","RB","14","76","409","5.4","10","29.2","9","76","8.4","0","5.4","85","485","5.7","10","","louisiana-state","2022"
"2","Mason Taylor","TE","14","0","0","","0","0.0","38","414","10.9","3","29.6","38","414","10.9","3","","louisiana-state","2022"
"3","Malik Nabers","WR","14","1","5","5.0","0","0.4","72","1017","14.1","3","72.6","73","1022","14.0","3","","louisiana-state","2022"
"4","Kyren Lacy","WR","14","0","0","","0","0.0","24","268","11.2","0","19.1","24","268","11.2","0","","louisiana-state","2022"
"5","Jayden Daniels","QB","14","186","885","4.8","11","63.2","1","5","5.0","1","0.4","187","890","4.8","12","","louisiana-state","2022"
"6","Brian Thomas Jr.","WR","13","0","0","","0","0.0","31","361","11.6","5","27.8","31","361","11.6","5","","louisiana-state","2022"
"7","Jack Mashburn","TE","13","0","0","","0","0.0","2","12","6.0","0","0.9","2","12","6.0","0","","louisiana-state","2022"
"8","Jaray Jenkins","WR","13","0","0","","0","0.0","27","404","15.0","6","31.1","27","404","15.0","6","","louisiana-state","2022"
"9","Kole Taylor","TE","13","0","0","","0","0.0","5","55","11.0","0","4.2","5","55","11.0","0","","louisiana-state","2022"
"10","Jack Bech","WR","12","0","0","","0","0.0","16","200","12.5","1","16.7","16","200","12.5","1","","louisiana-state","2022"
"11","John Emery Jr.","RB","11","76","375","4.9","6","34.1","13","129","9.9","2","11.7","89","504","5.7","8","","louisiana-state","2022"
"12","Kayshon Boutte","WR","11","1","41","41.0","0","3.7","48","538","11.2","2","48.9","49","579","11.8","2","","louisiana-state","2022"
"13","Josh Williams","RB","11","97","532","5.5","6","48.4","21","132","6.3","0","12.0","118","664","5.6","6","","louisiana-state","2022"
"14","Nick Demas","RB","9","5","10","2.0","0","1.1","0","0","","0","0.0","5","10","2.0","0","","louisiana-state","2022"
"15","Armoni Goodwin","RB","7","45","267","5.9","5","38.1","4","19","4.8","0","2.7","49","286","5.8","5","","louisiana-state","2022"
"16","Garrett Nussmeier","QB","7","1","-13","-13.0","0","-1.9","0","0","","0","0.0","1","-13","-13.0","0","","louisiana-state","2022"
"17","Evan Francioni","WR","7","0","0","","0","0.0","1","14","14.0","0","2.0","1","14","14.0","0","","louisiana-state","2022"
"18","Derrick Davis Jr.","DB","5","11","57","5.2","1","11.4","0","0","","0","0.0","11","57","5.2","1","","louisiana-state","2022"
"19","Javen Nicholas","WR","4","0","0","","0","0.0","1","2","2.0","0","0.5","1","2","2.0","0","","louisiana-state","2022"
"20","Chris Hilton Jr.","WR","4","0","0","","0","0.0","7","109","15.6","0","27.3","7","109","15.6","0","","louisiana-state","2022"
"21","Walker Howard","QB","2","6","33","5.5","0","16.5","0","0","","0","0.0","6","33","5.5","0","","louisiana-state","2022"
"22","Landon Ibieta","WR","1","0","0","","0","0.0","2","15","7.5","0","15.0","2","15","7.5","0","","louisiana-state","2022"
