"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyler Harrell","WR","13","0","0","","0","0.0","18","523","29.1","6","40.2","18","523","29.1","6","","louisville","2021"
"2","Marshon Ford","TE","13","0","0","","0","0.0","49","550","11.2","2","42.3","49","550","11.2","2","","louisville","2021"
"3","Malik Cunningham","QB","13","173","1031","6.0","20","79.3","1","9","9.0","0","0.7","174","1040","6.0","20","","louisville","2021"
"4","Maurice Burkley","RB","13","22","102","4.6","1","7.8","1","6","6.0","0","0.5","23","108","4.7","1","","louisville","2021"
"5","Jalen Mitchell","RB","12","155","722","4.7","5","60.2","12","121","10.1","0","10.1","167","843","5.0","5","","louisville","2021"
"6","Ahmari Huggins-Bruce","WR","12","2","15","7.5","0","1.3","29","444","15.3","4","37.0","31","459","14.8","4","","louisville","2021"
"7","Jordan Watkins","WR","12","0","0","","0","0.0","35","529","15.1","4","44.1","35","529","15.1","4","","louisville","2021"
"8","Josh Johnson","WR","12","0","0","","0","0.0","16","125","7.8","1","10.4","16","125","7.8","1","","louisville","2021"
"9","Justin Marshall","WR","12","0","0","","0","0.0","23","322","14.0","1","26.8","23","322","14.0","1","","louisville","2021"
"10","Trevion Cooley","RB","12","86","431","5.0","1","35.9","12","173","14.4","2","14.4","98","604","6.2","3","","louisville","2021"
"11","Dez Melton","TE","11","0","0","","0","0.0","3","80","26.7","0","7.3","3","80","26.7","0","","louisville","2021"
"12","Duane Martin","TE","11","0","0","","0","0.0","1","8","8.0","0","0.7","1","8","8.0","0","","louisville","2021"
"13","Hassan Hall","RB","9","38","272","7.2","1","30.2","2","19","9.5","0","2.1","40","291","7.3","1","","louisville","2021"
"14","Isaac Martin","TE","9","0","0","","0","0.0","1","4","4.0","0","0.4","1","4","4.0","0","","louisville","2021"
"15","Shai Werts","WR","8","2","-9","-4.5","0","-1.1","4","23","5.8","0","2.9","6","14","2.3","0","","louisville","2021"
"16","Evan Conley","QB","5","3","26","8.7","0","5.2","0","0","","0","0.0","3","26","8.7","0","","louisville","2021"
"17","Josh Lifson","TE","5","0","0","","0","0.0","1","28","28.0","0","5.6","1","28","28.0","0","","louisville","2021"
"18","Jawhar Jordan","RB","4","14","94","6.7","0","23.5","1","24","24.0","0","6.0","15","118","7.9","0","","louisville","2021"
"19","Braden Smith","WR","4","1","3","3.0","0","0.8","11","68","6.2","1","17.0","12","71","5.9","1","","louisville","2021"
"20","Aidan Robbins","RB","3","2","41","20.5","1","13.7","0","0","","0","0.0","2","41","20.5","1","","louisville","2021"
"21","Elijah Downing","WR","2","0","0","","0","0.0","1","9","9.0","0","4.5","1","9","9.0","0","","louisville","2021"
"22","Brock Domann","QB","1","2","5","2.5","0","5.0","0","0","","0","0.0","2","5","2.5","0","","louisville","2021"
