"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Josiah Johnson","TE","12","0","0","","0","0.0","24","163","6.8","0","13.6","24","163","6.8","0","","massachusetts","2022"
"2","Jordan Mahoney","DB","12","1","5","5.0","0","0.4","0","0","","0","0.0","1","5","5.0","0","","massachusetts","2022"
"3","Jacquon Gibson","WR","12","0","0","","0","0.0","4","62","15.5","0","5.2","4","62","15.5","0","","massachusetts","2022"
"4","George Johnson","WR","12","7","4","0.6","0","0.3","28","402","14.4","1","33.5","35","406","11.6","1","","massachusetts","2022"
"5","Gregory Desrosiers","RB","12","44","210","4.8","2","17.5","8","24","3.0","0","2.0","52","234","4.5","2","","massachusetts","2022"
"6","Kay'ron Adams","RB","11","84","297","3.5","1","27.0","2","7","3.5","0","0.6","86","304","3.5","1","","massachusetts","2022"
"7","Jacob Orlando","TE","11","0","0","","0","0.0","3","21","7.0","0","1.9","3","21","7.0","0","","massachusetts","2022"
"8","Cam Sullivan-Brown","WR","10","0","0","","0","0.0","27","373","13.8","2","37.3","27","373","13.8","2","","massachusetts","2022"
"9","Isaac Ross","WR","10","4","22","5.5","0","2.2","21","195","9.3","1","19.5","25","217","8.7","1","","massachusetts","2022"
"10","Gino Campiotti","QB","10","102","390","3.8","3","39.0","0","0","","0","0.0","102","390","3.8","3","","massachusetts","2022"
"11","Ellis Merriweather","RB","10","150","575","3.8","3","57.5","8","48","6.0","0","4.8","158","623","3.9","3","","massachusetts","2022"
"12","Eni Falayi","TE","9","0","0","","0","0.0","2","12","6.0","0","1.3","2","12","6.0","0","","massachusetts","2022"
"13","Brady Olson","QB","9","34","46","1.4","0","5.1","0","0","","0","0.0","34","46","1.4","0","","massachusetts","2022"
"14","Onuma Dieke","WR","7","1","5","5.0","0","0.7","1","3","3.0","0","0.4","2","8","4.0","0","","massachusetts","2022"
"15","T.Y. Harding","WR","7","3","6","2.0","0","0.9","1","-3","-3.0","0","-0.4","4","3","0.8","0","","massachusetts","2022"
"16","Isaiah Holiness","WR","6","6","6","1.0","1","1.0","1","13","13.0","0","2.2","7","19","2.7","1","","massachusetts","2022"
"17","Garrett Dzuro","QB","5","31","46","1.5","0","9.2","0","0","","0","0.0","31","46","1.5","0","","massachusetts","2022"
"18","Rico Arnold","WR","4","0","0","","0","0.0","4","34","8.5","0","8.5","4","34","8.5","0","","massachusetts","2022"
"19","Tim Baldwin Jr.","RB","4","33","165","5.0","0","41.3","0","0","","0","0.0","33","165","5.0","0","","massachusetts","2022"
"20","Zamar Wise","QB","3","15","31","2.1","0","10.3","1","4","4.0","0","1.3","16","35","2.2","0","","massachusetts","2022"
"21","Jamir Roberts","WR","1","0","0","","0","0.0","1","45","45.0","0","45.0","1","45","45.0","0","","massachusetts","2022"
