"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Caden Prieskorn","TE","12","0","0","","0","0.0","4","46","11.5","0","3.8","4","46","11.5","0","","memphis","2021"
"2","Calvin Austin III","WR","12","1","69","69.0","1","5.8","74","1149","15.5","8","95.8","75","1218","16.2","9","","memphis","2021"
"3","Sean Dykes","TE","12","0","0","","0","0.0","48","657","13.7","7","54.8","48","657","13.7","7","","memphis","2021"
"4","Eddie Lewis","WR","12","0","0","","0","0.0","22","349","15.9","4","29.1","22","349","15.9","4","","memphis","2021"
"5","Joe Doyle","P","12","1","3","3.0","0","0.3","0","0","","0","0.0","1","3","3.0","0","","memphis","2021"
"6","Marquavius Weaver","RB","12","48","165","3.4","3","13.8","9","83","9.2","0","6.9","57","248","4.4","3","","memphis","2021"
"7","Koby Drake","WR","12","0","0","","0","0.0","8","125","15.6","0","10.4","8","125","15.6","0","","memphis","2021"
"8","Marcayll Jones","WR","12","0","0","","0","0.0","8","94","11.8","0","7.8","8","94","11.8","0","","memphis","2021"
"9","Seth Henigan","QB","11","80","147","1.8","0","13.4","1","8","8.0","0","0.7","81","155","1.9","0","","memphis","2021"
"10","Jason Ivory","WR","11","0","0","","0","0.0","29","413","14.2","3","37.5","29","413","14.2","3","","memphis","2021"
"11","Asa Martin","RB","10","34","108","3.2","2","10.8","14","150","10.7","2","15.0","48","258","5.4","4","","memphis","2021"
"12","Rodrigues Clark","RB","10","79","387","4.9","4","38.7","11","59","5.4","1","5.9","90","446","5.0","5","","memphis","2021"
"13","Brandon Thomas","RB","9","116","669","5.8","8","74.3","8","52","6.5","0","5.8","124","721","5.8","8","","memphis","2021"
"14","Gabriel Rogers","RB","9","6","32","5.3","0","3.6","15","179","11.9","1","19.9","21","211","10.0","1","","memphis","2021"
"15","Roc Taylor","WR","7","0","0","","0","0.0","8","117","14.6","0","16.7","8","117","14.6","0","","memphis","2021"
"16","Khi Mathieu","WR","6","0","0","","0","0.0","3","46","15.3","0","7.7","3","46","15.3","0","","memphis","2021"
"17","Cameron Fleming","RB","6","0","0","","0","0.0","1","14","14.0","0","2.3","1","14","14.0","0","","memphis","2021"
"18","Kylan Watkins","RB","4","15","49","3.3","0","12.3","4","13","3.3","0","3.3","19","62","3.3","0","","memphis","2021"
"19","Peter Parrish","QB","3","22","60","2.7","0","20.0","0","0","","0","0.0","22","60","2.7","0","","memphis","2021"
"20","Cameron Wright","WR","1","0","0","","0","0.0","1","31","31.0","0","31.0","1","31","31.0","0","","memphis","2021"
