"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Miles Marshall","WR","13","0","0","","0","0.0","24","390","16.3","2","30.0","24","390","16.3","2","","miami-oh","2022"
"2","Kevin Davis","RB","13","54","285","5.3","2","21.9","19","143","7.5","0","11.0","73","428","5.9","2","","miami-oh","2022"
"3","Mac Hippenhammer","WR","13","0","0","","0","0.0","54","769","14.2","9","59.2","54","769","14.2","9","","miami-oh","2022"
"4","Jack Coldiron","TE","12","0","0","","0","0.0","24","286","11.9","1","23.8","24","286","11.9","1","","miami-oh","2022"
"5","Jalen Walker","WR","12","2","-4","-2.0","0","-0.3","28","276","9.9","0","23.0","30","272","9.1","0","","miami-oh","2022"
"6","Kenny Tracy","RB","12","37","153","4.1","0","12.8","12","76","6.3","1","6.3","49","229","4.7","1","","miami-oh","2022"
"7","Luke Bolden","TE","12","0","0","","0","0.0","1","17","17.0","1","1.4","1","17","17.0","1","","miami-oh","2022"
"8","Keyon Mozee","RB","11","109","471","4.3","2","42.8","2","6","3.0","0","0.5","111","477","4.3","2","","miami-oh","2022"
"9","Tyre Shelton","RB","11","85","321","3.8","3","29.2","8","39","4.9","0","3.5","93","360","3.9","3","","miami-oh","2022"
"10","Reginald Virgil","WR","11","0","0","","0","0.0","1","28","28.0","0","2.5","1","28","28.0","0","","miami-oh","2022"
"11","Nate Muersch","TE","11","0","0","","0","0.0","9","93","10.3","1","8.5","9","93","10.3","1","","miami-oh","2022"
"12","Aveon Smith","QB","10","123","553","4.5","6","55.3","0","0","","0","0.0","123","553","4.5","6","","miami-oh","2022"
"13","Matt Bjorson","TE","10","0","0","","0","0.0","1","20","20.0","0","2.0","1","20","20.0","0","","miami-oh","2022"
"14","Scotty Nieman","TE","4","0","0","","0","0.0","1","9","9.0","0","2.3","1","9","9.0","0","","miami-oh","2022"
"15","Brett Gabbert","QB","4","39","55","1.4","1","13.8","0","0","","0","0.0","39","55","1.4","1","","miami-oh","2022"
"16","Jordan Brunson","RB","2","7","15","2.1","0","7.5","0","0","","0","0.0","7","15","2.1","0","","miami-oh","2022"
"17","Jaylon Bester","RB","2","10","17","1.7","0","8.5","0","0","","0","0.0","10","17","1.7","0","","miami-oh","2022"
"18","Henry Hesson","QB","2","2","17","8.5","0","8.5","0","0","","0","0.0","2","17","8.5","0","","miami-oh","2022"
