"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Daniel Barker","TE","12","2","1","0.5","0","0.1","21","239","11.4","2","19.9","23","240","10.4","2","","michigan-state","2022"
"2","Elijah Collins","RB","12","70","318","4.5","6","26.5","14","93","6.6","0","7.8","84","411","4.9","6","","michigan-state","2022"
"3","Germie Bernard","WR","12","1","3","3.0","0","0.3","7","128","18.3","2","10.7","8","131","16.4","2","","michigan-state","2022"
"4","Harold Joiner","DB","12","2","1","0.5","0","0.1","1","-4","-4.0","0","-0.3","3","-3","-1.0","0","","michigan-state","2022"
"5","Jalen Berger","RB","12","148","683","4.6","6","56.9","19","128","6.7","0","10.7","167","811","4.9","6","","michigan-state","2022"
"6","Jarek Broussard","RB","12","63","298","4.7","3","24.8","4","48","12.0","0","4.0","67","346","5.2","3","","michigan-state","2022"
"7","Tre Mosley","WR","12","0","0","","0","0.0","35","359","10.3","4","29.9","35","359","10.3","4","","michigan-state","2022"
"8","Payton Thorne","QB","12","60","42","0.7","1","3.5","0","0","","0","0.0","60","42","0.7","1","","michigan-state","2022"
"9","Jordon Simmons","RB","12","4","9","2.3","0","0.8","0","0","","0","0.0","4","9","2.3","0","","michigan-state","2022"
"10","Maliq Carr","TE","12","0","0","","0","0.0","16","209","13.1","2","17.4","16","209","13.1","2","","michigan-state","2022"
"11","Keon Coleman","WR","12","0","0","","0","0.0","58","798","13.8","7","66.5","58","798","13.8","7","","michigan-state","2022"
"12","Jayden Reed","WR","11","4","11","2.8","0","1.0","55","636","11.6","5","57.8","59","647","11.0","5","","michigan-state","2022"
"13","Tyler Hunt","TE","11","0","0","","0","0.0","15","98","6.5","0","8.9","15","98","6.5","0","","michigan-state","2022"
"14","Cade McDonald","WR","11","0","0","","0","0.0","3","31","10.3","0","2.8","3","31","10.3","0","","michigan-state","2022"
"15","Montorie Foster","WR","10","0","0","","0","0.0","7","98","14.0","1","9.8","7","98","14.0","1","","michigan-state","2022"
"16","Noah Kim","QB","5","1","5","5.0","0","1.0","0","0","","0","0.0","1","5","5.0","0","","michigan-state","2022"
"17","Christian Fitzpatrick","WR","5","0","0","","0","0.0","2","17","8.5","0","3.4","2","17","8.5","0","","michigan-state","2022"
"18","Katin Houser","QB","2","1","13","13.0","0","6.5","0","0","","0","0.0","1","13","13.0","0","","michigan-state","2022"
"19","Jaron Glover","WR","2","0","0","","0","0.0","1","2","2.0","0","1.0","1","2","2.0","0","","michigan-state","2022"
