"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Corey Crooms","WR","13","0","0","","0","0.0","28","376","13.4","0","28.9","28","376","13.4","0","","minnesota","2023"
"2","Daniel Jackson","WR","13","1","-5","-5.0","0","-0.4","59","831","14.1","8","63.9","60","826","13.8","8","","minnesota","2023"
"3","Elijah Spencer","WR","13","0","0","","0","0.0","9","65","7.2","3","5.0","9","65","7.2","3","","minnesota","2023"
"4","Jordan Nubin","RB","13","127","559","4.4","3","43.0","6","27","4.5","0","2.1","133","586","4.4","3","","minnesota","2023"
"5","Nick Kallerup","TE","13","0","0","","0","0.0","3","12","4.0","0","0.9","3","12","4.0","0","","minnesota","2023"
"6","Athan Kaliakmanis","QB","12","74","94","1.3","2","7.8","0","0","","0","0.0","74","94","1.3","2","","minnesota","2023"
"7","Brevyn Spann-Ford","TE","12","0","0","","0","0.0","25","239","9.6","2","19.9","25","239","9.6","2","","minnesota","2023"
"8","Jameson Geers","TE","12","0","0","","0","0.0","2","10","5.0","1","0.8","2","10","5.0","1","","minnesota","2023"
"9","Sean Tyler","RB","11","61","242","4.0","0","22.0","4","5","1.3","0","0.5","65","247","3.8","0","","minnesota","2023"
"10","Chris Autman-Bell","WR","9","0","0","","0","0.0","6","88","14.7","1","9.8","6","88","14.7","1","","minnesota","2023"
"11","Lemeke Brockington","WR","7","0","0","","0","0.0","5","73","14.6","1","10.4","5","73","14.6","1","","minnesota","2023"
"12","Darius Taylor","RB","6","138","799","5.8","5","133.2","11","92","8.4","0","15.3","149","891","6.0","5","","minnesota","2023"
"13","Zach Evans","RB","6","52","230","4.4","1","38.3","2","15","7.5","0","2.5","54","245","4.5","1","","minnesota","2023"
"14","Bryce Williams","RB","4","36","123","3.4","1","30.8","4","31","7.8","0","7.8","40","154","3.9","1","","minnesota","2023"
"15","Cole Kramer","QB","3","5","34","6.8","1","11.3","0","0","","0","0.0","5","34","6.8","1","","minnesota","2023"
