"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","J.J. Jernighan","RB","13","6","24","4.0","0","1.8","12","84","7.0","0","6.5","18","108","6.0","0","","mississippi-state","2021"
"2","Will Rogers","QB","13","62","-97","-1.6","0","-7.5","1","-4","-4.0","0","-0.3","63","-101","-1.6","0","","mississippi-state","2021"
"3","Makai Polk","WR","13","0","0","","0","0.0","105","1046","10.0","9","80.5","105","1046","10.0","9","","mississippi-state","2021"
"4","Jo'quavious Marks","RB","13","106","416","3.9","6","32.0","83","502","6.0","3","38.6","189","918","4.9","9","","mississippi-state","2021"
"5","Austin Williams","WR","13","0","0","","0","0.0","52","617","11.9","4","47.5","52","617","11.9","4","","mississippi-state","2021"
"6","Jamire Calvin","WR","13","0","0","","0","0.0","29","220","7.6","3","16.9","29","220","7.6","3","","mississippi-state","2021"
"7","Jaden Walley","WR","13","0","0","","0","0.0","55","628","11.4","6","48.3","55","628","11.4","6","","mississippi-state","2021"
"8","Dillon Johnson","RB","13","89","485","5.4","4","37.3","65","422","6.5","1","32.5","154","907","5.9","5","","mississippi-state","2021"
"9","Malik Heath","WR","11","0","0","","0","0.0","34","442","13.0","5","40.2","34","442","13.0","5","","mississippi-state","2021"
"10","Lideatrick Griffin","WR","10","0","0","","0","0.0","26","269","10.3","0","26.9","26","269","10.3","0","","mississippi-state","2021"
"11","Rara Thomas","WR","10","0","0","","0","0.0","18","252","14.0","5","25.2","18","252","14.0","5","","mississippi-state","2021"
"12","Christian Forde","WR","8","0","0","","0","0.0","19","247","13.0","0","30.9","19","247","13.0","0","","mississippi-state","2021"
"13","Caleb Ducking","WR","7","0","0","","0","0.0","9","83","9.2","0","11.9","9","83","9.2","0","","mississippi-state","2021"
"14","Omni Wells","RB","6","0","0","","0","0.0","2","43","21.5","0","7.2","2","43","21.5","0","","mississippi-state","2021"
"15","Rufus Harvey","WR","5","0","0","","0","0.0","5","39","7.8","1","7.8","5","39","7.8","1","","mississippi-state","2021"
"16","Chance Lovertich","QB","2","3","10","3.3","0","5.0","0","0","","0","0.0","3","10","3.3","0","","mississippi-state","2021"
"17","Carson Banks","WR","1","0","0","","0","0.0","1","23","23.0","0","23.0","1","23","23.0","0","","mississippi-state","2021"
"18","Brodie King","WR","1","0","0","","0","0.0","2","5","2.5","0","5.0","2","5","2.5","0","","mississippi-state","2021"
