"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Keke Chism","WR","14","2","15","7.5","0","1.1","46","575","12.5","4","41.1","48","590","12.3","4","","missouri","2021"
"2","Javian Hester","WR","14","0","0","","0","0.0","15","255","17.0","2","18.2","15","255","17.0","2","","missouri","2021"
"3","Chritauskie Dove","WR","14","0","0","","0","0.0","41","600","14.6","0","42.9","41","600","14.6","0","","missouri","2021"
"4","Dominic Lovett","WR","14","4","40","10.0","1","2.9","28","177","6.3","0","12.6","32","217","6.8","1","","missouri","2021"
"5","D'ionte Smith","WR","14","2","4","2.0","1","0.3","8","195","24.4","1","13.9","10","199","19.9","2","","missouri","2021"
"6","Dawson Downing","RB","14","38","221","5.8","1","15.8","8","77","9.6","0","5.5","46","298","6.5","1","","missouri","2021"
"7","Barrett Banister","WR","13","2","-4","-2.0","0","-0.3","37","279","7.5","1","21.5","39","275","7.1","1","","missouri","2021"
"8","Elijah Young","RB","13","50","237","4.7","1","18.2","16","96","6.0","1","7.4","66","333","5.0","2","","missouri","2021"
"9","Tyler Badie","RB","12","268","1604","6.0","14","133.7","54","330","6.1","4","27.5","322","1934","6.0","18","","missouri","2021"
"10","Messiah Swinson","TE","12","0","0","","0","0.0","5","46","9.2","0","3.8","5","46","9.2","0","","missouri","2021"
"11","Micah Wilson","WR","12","3","12","4.0","0","1.0","1","5","5.0","0","0.4","4","17","4.3","0","","missouri","2021"
"12","Daniel Parker","TE","11","0","0","","0","0.0","12","97","8.1","3","8.8","12","97","8.1","3","","missouri","2021"
"13","Connor Bazelak","QB","11","33","-23","-0.7","0","-2.1","0","0","","0","0.0","33","-23","-0.7","0","","missouri","2021"
"14","Niko Hea","TE","11","0","0","","0","0.0","18","145","8.1","2","13.2","18","145","8.1","2","","missouri","2021"
"15","Mookie Cooper","WR","10","8","13","1.6","0","1.3","18","199","11.1","1","19.9","26","212","8.2","1","","missouri","2021"
"16","Michael Cox","RB","9","18","150","8.3","2","16.7","0","0","","0","0.0","18","150","8.3","2","","missouri","2021"
"17","BJ Harris","RB","8","22","73","3.3","0","9.1","1","0","0.0","0","0.0","23","73","3.2","0","","missouri","2021"
"18","Chance Luper","WR","8","1","2","2.0","0","0.3","21","203","9.7","1","25.4","22","205","9.3","1","","missouri","2021"
"19","Brady Cook","QB","6","31","145","4.7","2","24.2","0","0","","0","0.0","31","145","4.7","2","","missouri","2021"
"20","Tyler Macon","QB","3","13","50","3.8","1","16.7","0","0","","0","0.0","13","50","3.8","1","","missouri","2021"
