"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Amir Hassan","RB","12","1","3","3.0","0","0.3","0","0","","0","0.0","1","3","3.0","0","","navy","2022"
"2","Daba Fofana","FB","12","186","769","4.1","6","64.1","0","0","","0","0.0","186","769","4.1","6","","navy","2022"
"3","Daniel Jones","RB","12","18","67","3.7","0","5.6","0","0","","0","0.0","18","67","3.7","0","","navy","2022"
"4","Jayden Umbarger","WR","12","4","12","3.0","0","1.0","16","265","16.6","2","22.1","20","277","13.9","2","","navy","2022"
"5","Kai Puailoa-Rojas","RB","12","3","25","8.3","0","2.1","4","31","7.8","0","2.6","7","56","8.0","0","","navy","2022"
"6","Maquel Haywood","RB","12","73","473","6.5","0","39.4","8","137","17.1","2","11.4","81","610","7.5","2","","navy","2022"
"7","Mark Walker","WR","12","0","0","","0","0.0","13","242","18.6","1","20.2","13","242","18.6","1","","navy","2022"
"8","Rayuan Lane","S","12","1","28","28.0","0","2.3","0","0","","0","0.0","1","28","28.0","0","","navy","2022"
"9","Vincent Terrell II","RB","12","72","238","3.3","2","19.8","9","221","24.6","2","18.4","81","459","5.7","4","","navy","2022"
"10","Kroy Myers","WR","11","0","0","","0","0.0","1","12","12.0","0","1.1","1","12","12.0","0","","navy","2022"
"11","Anton Hall","FB","10","89","390","4.4","3","39.0","1","62","62.0","1","6.2","90","452","5.0","4","","navy","2022"
"12","Xavier Arline","QB","9","96","376","3.9","3","41.8","0","0","","0","0.0","96","376","3.9","3","","navy","2022"
"13","Logan Point","FB","8","33","138","4.2","1","17.3","0","0","","0","0.0","33","138","4.2","1","","navy","2022"
"14","Tai Lavatai","QB","8","115","309","2.7","5","38.6","1","26","26.0","1","3.3","116","335","2.9","6","","navy","2022"
"15","Nathan Kent","WR","6","4","76","19.0","1","12.7","1","32","32.0","0","5.3","5","108","21.6","1","","navy","2022"
"16","Maasai Maynor","QB","3","10","-2","-0.2","1","-0.7","0","0","","0","0.0","10","-2","-0.2","1","","navy","2022"
