"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Alex Bullock","WR","12","0","0","","0","0.0","15","221","14.7","1","18.4","15","221","14.7","1","","nebraska","2023"
"2","Ty Hahn","WR","12","0","0","","0","0.0","4","36","9.0","0","3.0","4","36","9.0","0","","nebraska","2023"
"3","Tommi Hill","DB","12","1","-5","-5.0","0","-0.4","0","0","","0","0.0","1","-5","-5.0","0","","nebraska","2023"
"4","Emmett Johnson","RB","12","90","411","4.6","2","34.3","7","46","6.6","0","3.8","97","457","4.7","2","","nebraska","2023"
"5","Thomas Fidone III","TE","12","0","0","","0","0.0","25","260","10.4","4","21.7","25","260","10.4","4","","nebraska","2023"
"6","Nate Boerkircher","TE","12","1","11","11.0","0","0.9","5","51","10.2","0","4.3","6","62","10.3","0","","nebraska","2023"
"7","Luke Lindenmeyer","TE","12","1","-2","-2.0","0","-0.2","0","0","","0","0.0","1","-2","-2.0","0","","nebraska","2023"
"8","Janiran Bonner","FB","12","4","9","2.3","1","0.8","1","5","5.0","0","0.4","5","14","2.8","1","","nebraska","2023"
"9","Anthony Grant","RB","11","104","413","4.0","3","37.5","4","13","3.3","0","1.2","108","426","3.9","3","","nebraska","2023"
"10","Malachi Coleman","WR","11","0","0","","0","0.0","8","139","17.4","1","12.6","8","139","17.4","1","","nebraska","2023"
"11","Billy Kemp","WR","11","3","13","4.3","1","1.2","35","310","8.9","1","28.2","38","323","8.5","2","","nebraska","2023"
"12","Jaylen Lloyd","WR","10","4","11","2.8","0","1.1","6","237","39.5","3","23.7","10","248","24.8","3","","nebraska","2023"
"13","Josh Fleeks","WR","10","17","130","7.6","1","13.0","8","69","8.6","0","6.9","25","199","8.0","1","","nebraska","2023"
"14","Heinrich Haarberg","QB","10","120","477","4.0","5","47.7","2","12","6.0","0","1.2","122","489","4.0","5","","nebraska","2023"
"15","Marcus Washington","WR","6","0","0","","0","0.0","8","176","22.0","0","29.3","8","176","22.0","0","","nebraska","2023"
"16","Chubba Purdy","QB","6","29","180","6.2","1","30.0","0","0","","0","0.0","29","180","6.2","1","","nebraska","2023"
"17","Trevin Luben","RB","6","3","29","9.7","0","4.8","0","0","","0","0.0","3","29","9.7","0","","nebraska","2023"
"18","Jeff Sims","QB","5","42","189","4.5","1","37.8","0","0","","0","0.0","42","189","4.5","1","","nebraska","2023"
"19","Jaidyn Doss","WR","4","0","0","","0","0.0","2","20","10.0","0","5.0","2","20","10.0","0","","nebraska","2023"
"20","Rahmir Johnson","RB","3","12","65","5.4","0","21.7","3","9","3.0","0","3.0","15","74","4.9","0","","nebraska","2023"
"21","Gabe Ervin Jr.","RB","3","38","196","5.2","1","65.3","2","20","10.0","0","6.7","40","216","5.4","1","","nebraska","2023"
"22","Timmy Bleekrode","K","3","1","10","10.0","0","3.3","0","0","","0","0.0","1","10","10.0","0","","nebraska","2023"
"23","Isaiah Garcia-Castaneda","WR","1","0","0","","0","0.0","1","7","7.0","0","7.0","1","7","7.0","0","","nebraska","2023"
"24","Maurice Mazzccua","RB","1","1","6","6.0","0","6.0","0","0","","0","0.0","1","6","6.0","0","","nebraska","2023"
