"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Brendon Lewis","QB","12","120","495","4.1","4","41.3","0","0","","0","0.0","120","495","4.1","4","","nevada","2023"
"2","John Jackson III","WR","12","0","0","","0","0.0","35","267","7.6","0","22.3","35","267","7.6","0","","nevada","2023"
"3","Dalevon Campbell","WR","12","1","-1","-1.0","0","-0.1","31","594","19.2","2","49.5","32","593","18.5","2","","nevada","2023"
"4","Isaah Crocker","WR","12","0","0","","0","0.0","4","106","26.5","1","8.8","4","106","26.5","1","","nevada","2023"
"5","Jamaal Bell","WR","12","32","114","3.6","1","9.5","32","262","8.2","1","21.8","64","376","5.9","2","","nevada","2023"
"6","Spencer Curtis","WR","11","0","0","","0","0.0","30","373","12.4","1","33.9","30","373","12.4","1","","nevada","2023"
"7","Sean Dollars","RB","11","151","527","3.5","6","47.9","18","77","4.3","0","7.0","169","604","3.6","6","","nevada","2023"
"8","Kola Babalola","WR","11","0","0","","0","0.0","1","4","4.0","0","0.4","1","4","4.0","0","","nevada","2023"
"9","Jacques Badolato-Birdsell","RB","9","37","93","2.5","1","10.3","2","16","8.0","0","1.8","39","109","2.8","1","","nevada","2023"
"10","AJ Bianco","QB","8","42","183","4.4","1","22.9","0","0","","0","0.0","42","183","4.4","1","","nevada","2023"
"11","Cameron Zeidler","TE","7","0","0","","0","0.0","10","103","10.3","1","14.7","10","103","10.3","1","","nevada","2023"
"12","Jayden O'Rourke","TE","6","0","0","","0","0.0","1","12","12.0","0","2.0","1","12","12.0","0","","nevada","2023"
"13","Keleki Latu","TE","6","0","0","","0","0.0","14","179","12.8","0","29.8","14","179","12.8","0","","nevada","2023"
"14","Cross Patton","RB","5","13","34","2.6","0","6.8","3","0","0.0","0","0.0","16","34","2.1","0","","nevada","2023"
"15","Isaiah Essissima","DB","4","0","0","","0","0.0","2","67","33.5","0","16.8","2","67","33.5","0","","nevada","2023"
"16","Marshaun Brown","WR","4","0","0","","0","0.0","1","14","14.0","0","3.5","1","14","14.0","0","","nevada","2023"
"17","Ashton Hayes","RB","4","30","102","3.4","0","25.5","5","10","2.0","0","2.5","35","112","3.2","0","","nevada","2023"
"18","Nate Burleson II","WR","3","0","0","","0","0.0","2","18","9.0","0","6.0","2","18","9.0","0","","nevada","2023"
"19","Shane Illingworth","QB","1","10","-14","-1.4","0","-14.0","0","0","","0","0.0","10","-14","-1.4","0","","nevada","2023"
