"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Deuce Jones","WR","12","0","0","","0","0.0","5","73","14.6","0","6.1","5","73","14.6","0","","new-mexico","2022"
"2","Elijah Queen","TE","12","0","0","","0","0.0","10","96","9.6","0","8.0","10","96","9.6","0","","new-mexico","2022"
"3","Nate Jones","RB","11","118","544","4.6","2","49.5","4","6","1.5","0","0.5","122","550","4.5","2","","new-mexico","2022"
"4","Luke Wysong","WR","11","21","32","1.5","1","2.9","34","291","8.6","1","26.5","55","323","5.9","2","","new-mexico","2022"
"5","Andrew Erickson","WR","11","1","7","7.0","0","0.6","12","110","9.2","0","10.0","13","117","9.0","0","","new-mexico","2022"
"6","Trae Hall","WR","10","0","0","","0","0.0","8","83","10.4","0","8.3","8","83","10.4","0","","new-mexico","2022"
"7","Sherod White","RB","10","40","142","3.6","3","14.2","9","80","8.9","0","8.0","49","222","4.5","3","","new-mexico","2022"
"8","Christian Washington","RB","10","73","310","4.2","0","31.0","12","76","6.3","0","7.6","85","386","4.5","0","","new-mexico","2022"
"9","Zach Vigil","RB","9","3","0","0.0","0","0.0","0","0","","0","0.0","3","0","0.0","0","","new-mexico","2022"
"10","Connor Witthoft","TE","9","0","0","","0","0.0","3","23","7.7","0","2.6","3","23","7.7","0","","new-mexico","2022"
"11","Jaden Hullaby","TE","8","13","59","4.5","0","7.4","2","44","22.0","0","5.5","15","103","6.9","0","","new-mexico","2022"
"12","Miles Kendrick","QB","8","76","148","1.9","3","18.5","0","0","","0","0.0","76","148","1.9","3","","new-mexico","2022"
"13","Kade Zimmerman","WR","8","0","0","","0","0.0","1","3","3.0","0","0.4","1","3","3.0","0","","new-mexico","2022"
"14","Geordon Porter","WR","8","2","7","3.5","0","0.9","22","312","14.2","2","39.0","24","319","13.3","2","","new-mexico","2022"
"15","Chad Alexander","RB","8","7","16","2.3","0","2.0","1","1","1.0","0","0.1","8","17","2.1","0","","new-mexico","2022"
"16","Bobby Wooden","RB","8","7","62","8.9","0","7.8","6","30","5.0","0","3.8","13","92","7.1","0","","new-mexico","2022"
"17","Austin Erickson","WR","6","1","7","7.0","0","1.2","2","19","9.5","0","3.2","3","26","8.7","0","","new-mexico","2022"
"18","Justin Holaday","QB","5","50","135","2.7","1","27.0","1","-11","-11.0","0","-2.2","51","124","2.4","1","","new-mexico","2022"
"19","Jah'Mar Sanders","WR","4","2","25","12.5","1","6.3","2","5","2.5","0","1.3","4","30","7.5","1","","new-mexico","2022"
"20","CJ Montes","QB","4","22","4","0.2","1","1.0","0","0","","0","0.0","22","4","0.2","1","","new-mexico","2022"
"21","Christian Jourdain","WR","3","0","0","","0","0.0","2","18","9.0","0","6.0","2","18","9.0","0","","new-mexico","2022"
"22","Tristan White","WR","1","0","0","","0","0.0","1","0","0.0","0","0.0","1","0","0.0","0","","new-mexico","2022"
