"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Thayer Thomas","WR","13","1","-7","-7.0","0","-0.5","57","642","11.3","4","49.4","58","635","10.9","4","","north-carolina-state","2022"
"2","Cedric Seabrough","TE","13","0","0","","0","0.0","9","56","6.2","1","4.3","9","56","6.2","1","","north-carolina-state","2022"
"3","Christopher Dunn","K","13","1","1","1.0","0","0.1","0","0","","0","0.0","1","1","1.0","0","AA","north-carolina-state","2022"
"4","Darryl Jones","WR","13","0","0","","0","0.0","30","280","9.3","3","21.5","30","280","9.3","3","","north-carolina-state","2022"
"5","Delbert Mimms","RB","13","27","113","4.2","0","8.7","5","61","12.2","1","4.7","32","174","5.4","1","","north-carolina-state","2022"
"6","Demarcus Jones","RB","13","24","68","2.8","0","5.2","5","41","8.2","0","3.2","29","109","3.8","0","","north-carolina-state","2022"
"7","Keyon Lesane","WR","13","0","0","","0","0.0","31","342","11.0","2","26.3","31","342","11.0","2","","north-carolina-state","2022"
"8","Julian Gray","WR","13","5","50","10.0","0","3.8","11","105","9.5","0","8.1","16","155","9.7","0","","north-carolina-state","2022"
"9","Porter Rooks","WR","13","0","0","","0","0.0","19","151","7.9","1","11.6","19","151","7.9","1","","north-carolina-state","2022"
"10","Fredrick Seabrough","TE","13","0","0","","0","0.0","1","3","3.0","0","0.2","1","3","3.0","0","","north-carolina-state","2022"
"11","Chandler Zavala","OL","12","0","0","","0","0.0","1","0","0.0","0","0.0","1","0","0.0","0","","north-carolina-state","2022"
"12","Jordan Houston","RB","12","136","544","4.0","0","45.3","25","213","8.5","1","17.8","161","757","4.7","1","","north-carolina-state","2022"
"13","Christopher Toudle","TE","10","0","0","","0","0.0","11","130","11.8","1","13.0","11","130","11.8","1","","north-carolina-state","2022"
"14","Devin Carter","WR","9","0","0","","0","0.0","25","406","16.2","2","45.1","25","406","16.2","2","","north-carolina-state","2022"
"15","Jack Chambers","QB","9","43","117","2.7","1","13.0","1","-5","-5.0","0","-0.6","44","112","2.5","1","","north-carolina-state","2022"
"16","Terrell Timmons","WR","9","0","0","","0","0.0","3","79","26.3","1","8.8","3","79","26.3","1","","north-carolina-state","2022"
"17","Demie Sumo","RB","8","55","305","5.5","3","38.1","12","148","12.3","1","18.5","67","453","6.8","4","","north-carolina-state","2022"
"18","Jalen Coit","WR","7","0","0","","0","0.0","1","10","10.0","1","1.4","1","10","10.0","1","","north-carolina-state","2022"
"19","Michael Allen","RB","7","53","268","5.1","0","38.3","11","97","8.8","1","13.9","64","365","5.7","1","","north-carolina-state","2022"
"20","Devin Leary","QB","6","23","1","0.0","3","0.2","0","0","","0","0.0","23","1","0.0","3","","north-carolina-state","2022"
"21","Trent Pennix","TE","5","0","0","","0","0.0","8","111","13.9","2","22.2","8","111","13.9","2","","north-carolina-state","2022"
"22","MJ Morris","QB","5","49","88","1.8","1","17.6","0","3","","0","0.6","49","91","1.9","1","","north-carolina-state","2022"
"23","Jakolbe Baldwin","WR","5","0","0","","0","0.0","1","8","8.0","0","1.6","1","8","8.0","0","","north-carolina-state","2022"
"24","Anthony Smith","WR","4","0","0","","0","0.0","2","58","29.0","1","14.5","2","58","29.0","1","","north-carolina-state","2022"
"25","Ben Finley","QB","3","6","-8","-1.3","0","-2.7","0","0","","0","0.0","6","-8","-1.3","0","","north-carolina-state","2022"
"26","Devin Gardner","RB","2","7","14","2.0","0","7.0","0","0","","0","0.0","7","14","2.0","0","","north-carolina-state","2022"
