"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Var'keyes Gumms","TE","14","0","0","","0","0.0","34","458","13.5","5","32.7","34","458","13.5","5","","north-texas","2022"
"2","Damon Ward","WR","14","0","0","","0","0.0","26","378","14.5","3","27.0","26","378","14.5","3","","north-texas","2022"
"3","Roderic Burns","WR","14","1","3","3.0","0","0.2","40","676","16.9","1","48.3","41","679","16.6","1","","north-texas","2022"
"4","Austin Aune","QB","14","44","52","1.2","1","3.7","0","0","","0","0.0","44","52","1.2","1","","north-texas","2022"
"5","Jay Maclin","WR","14","0","0","","0","0.0","16","380","23.8","2","27.1","16","380","23.8","2","","north-texas","2022"
"6","Jake Roberts","TE","14","1","10","10.0","0","0.7","28","394","14.1","3","28.1","29","404","13.9","3","","north-texas","2022"
"7","Jyaire Shorter","WR","13","0","0","","0","0.0","23","628","27.3","11","48.3","23","628","27.3","11","","north-texas","2022"
"8","Zhighlil McMillan","WR","13","0","0","","0","0.0","1","16","16.0","0","1.2","1","16","16.0","0","","north-texas","2022"
"9","Kaylon Horton","WR","13","7","95","13.6","2","7.3","12","131","10.9","1","10.1","19","226","11.9","3","","north-texas","2022"
"10","Ikaika Ragsdale","RB","13","142","755","5.3","7","58.1","19","135","7.1","3","10.4","161","890","5.5","10","","north-texas","2022"
"11","Tommy Bush","WR","12","0","0","","0","0.0","3","34","11.3","1","2.8","3","34","11.3","1","","north-texas","2022"
"12","Ayo Adeyi","RB","12","112","807","7.2","4","67.3","2","12","6.0","0","1.0","114","819","7.2","4","","north-texas","2022"
"13","Jordan Smart","WR","11","1","4","4.0","0","0.4","21","331","15.8","1","30.1","22","335","15.2","1","","north-texas","2022"
"14","Isaiah Johnson","RB","10","54","246","4.6","3","24.6","8","44","5.5","2","4.4","62","290","4.7","5","","north-texas","2022"
"15","Oscar Adaway III","RB","9","118","583","4.9","5","64.8","5","29","5.8","1","3.2","123","612","5.0","6","","north-texas","2022"
"16","Keith Jackson","RB","5","10","52","5.2","0","10.4","0","0","","0","0.0","10","52","5.2","0","","north-texas","2022"
"17","Bryson Jackson","WR","5","0","0","","0","0.0","2","20","10.0","0","4.0","2","20","10.0","0","","north-texas","2022"
"18","Qualon Farrar","RB","4","10","49","4.9","0","12.3","1","1","1.0","0","0.3","11","50","4.5","0","","north-texas","2022"
"19","Stone Earle","QB","4","18","110","6.1","1","27.5","0","0","","0","0.0","18","110","6.1","1","","north-texas","2022"
"20","Grant Gunnell","QB","2","1","-5","-5.0","0","-2.5","0","0","","0","0.0","1","-5","-5.0","0","","north-texas","2022"
"21","Preston Landis","RB","1","8","60","7.5","1","60.0","0","0","","0","0.0","8","60","7.5","1","","north-texas","2022"
"22","Dorian Morris","WR","1","1","0","0.0","0","0.0","0","0","","0","0.0","1","0","0.0","0","","north-texas","2022"
