"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Andrew Clair","RB","12","63","349","5.5","1","29.1","10","45","4.5","0","3.8","73","394","5.4","1","","northwestern","2021"
"2","Charlie Mangieri","TE","12","0","0","","0","0.0","9","68","7.6","0","5.7","9","68","7.6","0","","northwestern","2021"
"3","Raymond Niro III","WR","12","2","-7","-3.5","0","-0.6","3","15","5.0","0","1.3","5","8","1.6","0","","northwestern","2021"
"4","Derek Adams","P","12","1","-5","-5.0","0","-0.4","0","0","","0","0.0","1","-5","-5.0","0","","northwestern","2021"
"5","Evan Hull","RB","12","196","1009","5.1","7","84.1","33","264","8.0","2","22.0","229","1273","5.6","9","","northwestern","2021"
"6","Marshall Lang","TE","12","0","0","","0","0.0","11","68","6.2","3","5.7","11","68","6.2","3","","northwestern","2021"
"7","Jacob Gill","WR","12","0","0","","0","0.0","8","85","10.6","1","7.1","8","85","10.6","1","","northwestern","2021"
"8","Malik Washington","WR","12","5","-2","-0.4","0","-0.2","44","578","13.1","2","48.2","49","576","11.8","2","","northwestern","2021"
"9","Thomas Gordon","TE","11","0","0","","0","0.0","2","3","1.5","0","0.3","2","3","1.5","0","","northwestern","2021"
"10","Stephan Robinson","WR","11","10","120","12.0","0","10.9","46","625","13.6","2","56.8","56","745","13.3","2","","northwestern","2021"
"11","Anthony Tyus III","RB","9","50","210","4.2","1","23.3","3","16","5.3","0","1.8","53","226","4.3","1","","northwestern","2021"
"12","Ryan Hilinski","QB","9","23","-67","-2.9","1","-7.4","0","0","","0","0.0","23","-67","-2.9","1","","northwestern","2021"
"13","Trey Pugh","TE","8","0","0","","0","0.0","7","34","4.9","2","4.3","7","34","4.9","2","","northwestern","2021"
"14","Genson Hooper Price","WR","8","0","0","","0","0.0","2","15","7.5","0","1.9","2","15","7.5","0","","northwestern","2021"
"15","Andrew Marty","QB","7","51","92","1.8","1","13.1","0","0","","0","0.0","51","92","1.8","1","","northwestern","2021"
"16","JJ Jefferson","WR","7","2","6","3.0","0","0.9","5","61","12.2","0","8.7","7","67","9.6","0","","northwestern","2021"
"17","Bryce Kirtz","WR","5","1","4","4.0","0","0.8","19","203","10.7","0","40.6","20","207","10.4","0","","northwestern","2021"
"18","Berkeley Holman","WR","5","0","0","","0","0.0","3","25","8.3","1","5.0","3","25","8.3","1","","northwestern","2021"
"19","Jordan Mosely","","4","0","0","","0","0.0","1","7","7.0","0","1.8","1","7","7.0","0","","northwestern","2021"
"20","Carl Richardson","QB","4","2","0","0.0","0","0.0","0","0","","0","0.0","2","0","0.0","0","","northwestern","2021"
"21","Wayne Dennis Jr.","WR","4","0","0","","0","0.0","2","16","8.0","0","4.0","2","16","8.0","0","","northwestern","2021"
"22","Marcus Cisco","RB","3","8","39","4.9","0","13.0","0","0","","0","0.0","8","39","4.9","0","","northwestern","2021"
"23","Hunter Johnson","QB","3","24","-22","-0.9","0","-7.3","0","0","","0","0.0","24","-22","-0.9","0","","northwestern","2021"
"24","Jake Arthurs","RB","2","4","1","0.3","1","0.5","0","0","","0","0.0","4","1","0.3","1","","northwestern","2021"
"25","Connor Newhouse","RB","2","1","25","25.0","0","12.5","0","0","","0","0.0","1","25","25.0","0","","northwestern","2021"
"26","Jordan Mosley","WR","1","0","0","","0","0.0","1","7","7.0","0","7.0","1","7","7.0","0","","northwestern","2021"
"27","CJ Johnson II","WR","1","1","-4","-4.0","0","-4.0","0","0","","0","0.0","1","-4","-4.0","0","","northwestern","2021"
