"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Xavier Johnson","WR","13","12","146","12.2","1","11.2","13","151","11.6","2","11.6","25","297","11.9","3","","ohio-state","2022"
"2","C.J. Stroud","QB","13","47","108","2.3","0","8.3","0","0","","0","0.0","47","108","2.3","0","H-3","ohio-state","2022"
"3","Mitch Rossi","RB","13","5","12","2.4","1","0.9","2","19","9.5","1","1.5","7","31","4.4","2","","ohio-state","2022"
"4","Marvin Harrison Jr.","WR","13","2","32","16.0","0","2.5","77","1263","16.4","14","97.2","79","1295","16.4","14","AA","ohio-state","2022"
"5","Emeka Egbuka","WR","13","11","87","7.9","2","6.7","74","1151","15.6","10","88.5","85","1238","14.6","12","","ohio-state","2022"
"6","Cade Stover","TE","13","0","0","","0","0.0","36","406","11.3","5","31.2","36","406","11.3","5","","ohio-state","2022"
"7","Jesse Mirco","P","13","1","22","22.0","0","1.7","0","0","","0","0.0","1","22","22.0","0","","ohio-state","2022"
"8","Gee Scott Jr.","TE","12","0","0","","0","0.0","5","28","5.6","1","2.3","5","28","5.6","1","","ohio-state","2022"
"9","Jayden Ballard","WR","12","0","0","","0","0.0","8","155","19.4","1","12.9","8","155","19.4","1","","ohio-state","2022"
"10","Julian Fleming","WR","11","0","0","","0","0.0","34","533","15.7","6","48.5","34","533","15.7","6","","ohio-state","2022"
"11","Miyan Williams","RB","11","128","825","6.4","14","75.0","5","27","5.4","0","2.5","133","852","6.4","14","","ohio-state","2022"
"12","Deamonte Trayanum","RB","11","15","92","6.1","0","8.4","1","14","14.0","0","1.3","16","106","6.6","0","","ohio-state","2022"
"13","Dallan Hayden","RB","10","111","553","5.0","5","55.3","4","23","5.8","0","2.3","115","576","5.0","5","","ohio-state","2022"
"14","TreVeyon Henderson","RB","8","107","571","5.3","6","71.4","4","28","7.0","1","3.5","111","599","5.4","7","","ohio-state","2022"
"15","Kyle McCord","QB","7","3","4","1.3","0","0.6","0","0","","0","0.0","3","4","1.3","0","","ohio-state","2022"
"16","Reis Stocksdale","WR","6","0","0","","0","0.0","1","12","12.0","0","2.0","1","12","12.0","0","","ohio-state","2022"
"17","Joe Royer","TE","5","0","0","","0","0.0","2","10","5.0","0","2.0","2","10","5.0","0","","ohio-state","2022"
"18","Kaleb Brown","WR","4","0","0","","0","0.0","1","5","5.0","0","1.3","1","5","5.0","0","","ohio-state","2022"
"19","Jaxon Smith-Njigba","WR","3","0","0","","0","0.0","5","43","8.6","0","14.3","5","43","8.6","0","","ohio-state","2022"
"20","Kyion Grayes","WR","2","0","0","","0","0.0","1","2","2.0","0","1.0","1","2","2.0","0","","ohio-state","2022"
"21","Devin Brown","QB","2","1","1","1.0","0","0.5","0","0","","0","0.0","1","1","1.0","0","","ohio-state","2022"
"22","TC Caffey","RB","2","10","66","6.6","1","33.0","0","0","","0","0.0","10","66","6.6","1","","ohio-state","2022"
"23","Kamryn Babb","WR","1","0","0","","0","0.0","1","8","8.0","1","8.0","1","8","8.0","1","","ohio-state","2022"
"24","Cayden Saunders","RB","1","2","6","3.0","0","6.0","0","0","","0","0.0","2","6","3.0","0","","ohio-state","2022"
