"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Alec Burton","TE","12","0","0","","0","0.0","7","54","7.7","0","4.5","7","54","7.7","0","","ohio","2021"
"2","Tyler Walton","WR","12","3","28","9.3","0","2.3","32","380","11.9","2","31.7","35","408","11.7","2","","ohio","2021"
"3","Ryan Luehrman","TE","12","0","0","","0","0.0","20","217","10.9","0","18.1","20","217","10.9","0","","ohio","2021"
"4","Miles Cross","WR","12","0","0","","0","0.0","11","124","11.3","0","10.3","11","124","11.3","0","","ohio","2021"
"5","Jonah Wieland","P","12","1","-6","-6.0","0","-0.5","0","0","","0","0.0","1","-6","-6.0","0","","ohio","2021"
"6","James Bostic","WR","12","0","0","","0","0.0","5","34","6.8","0","2.8","5","34","6.8","0","","ohio","2021"
"7","Jake Neatherton","RB","12","19","88","4.6","0","7.3","0","0","","0","0.0","19","88","4.6","0","","ohio","2021"
"8","De'Montre Tuggle","RB","12","138","804","5.8","7","67.0","16","156","9.8","2","13.0","154","960","6.2","9","","ohio","2021"
"9","Cameron Odom","WR","12","1","0","0.0","0","0.0","29","406","14.0","1","33.8","30","406","13.5","1","","ohio","2021"
"10","Armani Rogers","QB","12","92","552","6.0","7","46.0","2","2","1.0","0","0.2","94","554","5.9","7","","ohio","2021"
"11","Adam Luehrman","TE","12","0","0","","0","0.0","4","27","6.8","0","2.3","4","27","6.8","0","","ohio","2021"
"12","Phillip Cole","WR","11","1","1","1.0","0","0.1","0","0","","0","0.0","1","1","1.0","0","","ohio","2021"
"13","Isiah Cox","WR","10","4","56","14.0","1","5.6","30","362","12.1","4","36.2","34","418","12.3","5","","ohio","2021"
"14","JJ Conner","WR","10","0","0","","0","0.0","1","4","4.0","0","0.4","1","4","4.0","0","","ohio","2021"
"15","Kurtis Rourke","QB","10","74","327","4.4","3","32.7","1","38","38.0","0","3.8","75","365","4.9","3","","ohio","2021"
"16","O'Shaan Allison","RB","10","82","317","3.9","0","31.7","20","157","7.9","1","15.7","102","474","4.6","1","","ohio","2021"
"17","Chase Cokley","WR","9","0","0","","0","0.0","8","71","8.9","1","7.9","8","71","8.9","1","","ohio","2021"
"18","Jerome Buckner","WR","5","0","0","","0","0.0","9","109","12.1","0","21.8","9","109","12.1","0","","ohio","2021"
"19","Sieh Bangura","RB","4","12","93","7.8","2","23.3","5","68","13.6","0","17.0","17","161","9.5","2","","ohio","2021"
