"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Alan Bowman","QB","14","26","24","0.9","2","1.7","1","3","3.0","0","0.2","27","27","1.0","2","","oklahoma-state","2023"
"2","Braden Cassity","FB","14","0","0","","0","0.0","4","17","4.3","0","1.2","4","17","4.3","0","","oklahoma-state","2023"
"3","Brennan Presley","WR","14","11","41","3.7","2","2.9","101","991","9.8","6","70.8","112","1032","9.2","8","","oklahoma-state","2023"
"4","Rashod Owens","WR","14","0","0","","0","0.0","63","895","14.2","5","63.9","63","895","14.2","5","","oklahoma-state","2023"
"5","Ollie Gordon","RB","14","285","1732","6.1","21","123.7","39","330","8.5","1","23.6","324","2062","6.4","22","H-7,AA","oklahoma-state","2023"
"6","Josiah Johnson","TE","14","1","0","0.0","0","0.0","22","166","7.5","1","11.9","23","166","7.2","1","","oklahoma-state","2023"
"7","Jake Schultz","FB","14","0","0","","0","0.0","1","6","6.0","0","0.4","1","6","6.0","0","","oklahoma-state","2023"
"8","Jaden Nixon","RB","12","50","197","3.9","1","16.4","12","123","10.3","1","10.3","62","320","5.2","2","","oklahoma-state","2023"
"9","Blaine Green","WR","10","0","0","","0","0.0","13","102","7.8","0","10.2","13","102","7.8","0","","oklahoma-state","2023"
"10","Leon Johnson III","WR","10","0","0","","0","0.0","33","539","16.3","1","53.9","33","539","16.3","1","","oklahoma-state","2023"
"11","Jaden Bray","WR","10","1","-5","-5.0","0","-0.5","30","382","12.7","2","38.2","31","377","12.2","2","","oklahoma-state","2023"
"12","Elijah Collins","RB","10","30","142","4.7","2","14.2","2","19","9.5","0","1.9","32","161","5.0","2","","oklahoma-state","2023"
"13","Cale Cabbiness","WR","7","0","0","","0","0.0","1","10","10.0","0","1.4","1","10","10.0","0","","oklahoma-state","2023"
"14","Talyn Shettron","WR","7","0","0","","0","0.0","6","78","13.0","0","11.1","6","78","13.0","0","","oklahoma-state","2023"
"15","Garret Rangel","QB","5","6","21","3.5","0","4.2","0","0","","0","0.0","6","21","3.5","0","","oklahoma-state","2023"
"16","Gunnar Gundy","QB","4","15","49","3.3","1","12.3","0","0","","0","0.0","15","49","3.3","1","","oklahoma-state","2023"
"17","De'Zhaun Stribling","WR","4","0","0","","0","0.0","14","198","14.1","1","49.5","14","198","14.1","1","","oklahoma-state","2023"
"18","Sesi Vailahi","RB","3","6","27","4.5","0","9.0","2","12","6.0","0","4.0","8","39","4.9","0","","oklahoma-state","2023"
