"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Ahmarian Granger","WR","12","0","0","","0","0.0","15","174","11.6","0","14.5","15","174","11.6","0","","old-dominion","2022"
"2","Hayden Wolff","QB","12","62","-80","-1.3","1","-6.7","0","0","","0","0.0","62","-80","-1.3","1","","old-dominion","2022"
"3","Isaiah Spencer","TE","12","2","7","3.5","0","0.6","18","172","9.6","1","14.3","20","179","9.0","1","","old-dominion","2022"
"4","Isiah Paige","WR","12","2","16","8.0","0","1.3","16","151","9.4","1","12.6","18","167","9.3","1","","old-dominion","2022"
"5","Javon Harvey","WR","12","2","-6","-3.0","0","-0.5","30","558","18.6","4","46.5","32","552","17.3","4","","old-dominion","2022"
"6","Keshawn Wicks","RB","12","32","125","3.9","1","10.4","13","72","5.5","0","6.0","45","197","4.4","1","","old-dominion","2022"
"7","Blake Watson","RB","11","158","918","5.8","5","83.5","37","314","8.5","2","28.5","195","1232","6.3","7","","old-dominion","2022"
"8","Donta Anthony","TE","11","0","0","","0","0.0","4","20","5.0","0","1.8","4","20","5.0","0","","old-dominion","2022"
"9","Jordan Bly","WR","11","1","-5","-5.0","0","-0.5","22","225","10.2","0","20.5","23","220","9.6","0","","old-dominion","2022"
"10","Marqeese Dietz","WR","10","0","0","","0","0.0","5","65","13.0","0","6.5","5","65","13.0","0","","old-dominion","2022"
"11","Ali Jennings","WR","9","0","0","","0","0.0","54","959","17.8","9","106.6","54","959","17.8","9","","old-dominion","2022"
"12","Tariq Sims","RB","9","19","44","2.3","0","4.9","4","16","4.0","0","1.8","23","60","2.6","0","","old-dominion","2022"
"13","Obie Sanni","RB","9","18","61","3.4","0","6.8","1","0","0.0","0","0.0","19","61","3.2","0","","old-dominion","2022"
"14","Peter Kikwata","WR","8","0","0","","0","0.0","1","23","23.0","0","2.9","1","23","23.0","0","","old-dominion","2022"
"15","Marquez Bell","WR","7","1","2","2.0","0","0.3","3","27","9.0","0","3.9","4","29","7.3","0","","old-dominion","2022"
"16","D.J. Mack Jr.","QB","5","5","33","6.6","1","6.6","1","4","4.0","0","0.8","6","37","6.2","1","","old-dominion","2022"
"17","Zack Kuntz","TE","5","0","0","","0","0.0","12","144","12.0","2","28.8","12","144","12.0","2","","old-dominion","2022"
"18","Levi Wentz","WR","3","0","0","","0","0.0","1","42","42.0","0","14.0","1","42","42.0","0","","old-dominion","2022"
"19","Brendon Clark","QB","2","6","12","2.0","0","6.0","0","0","","0","0.0","6","12","2.0","0","","old-dominion","2022"
