"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Jesiah Irish","WR","13","8","44","5.5","0","3.4","3","46","15.3","0","3.5","11","90","8.2","0","","oregon-state","2022"
"2","Tyjon Lindsey","WR","13","2","21","10.5","1","1.6","30","317","10.6","1","24.4","32","338","10.6","2","","oregon-state","2022"
"3","Tre'Shaun Harrison","WR","13","1","-2","-2.0","0","-0.2","52","604","11.6","4","46.5","53","602","11.4","4","","oregon-state","2022"
"4","Silas Bolden","WR","13","9","105","11.7","2","8.1","23","305","13.3","4","23.5","32","410","12.8","6","","oregon-state","2022"
"5","Makiya Tongue","LB","13","0","0","","0","0.0","1","8","8.0","0","0.6","1","8","8.0","0","","oregon-state","2022"
"6","John Dunmore","WR","13","0","0","","0","0.0","9","95","10.6","0","7.3","9","95","10.6","0","","oregon-state","2022"
"7","Jake Overman","TE","13","0","0","","0","0.0","7","51","7.3","0","3.9","7","51","7.3","0","","oregon-state","2022"
"8","Damien Martinez","RB","13","161","982","6.1","7","75.5","4","61","15.3","0","4.7","165","1043","6.3","7","","oregon-state","2022"
"9","Jack Colletto","LB","12","27","103","3.8","6","8.6","3","46","15.3","0","3.8","30","149","5.0","6","","oregon-state","2022"
"10","Jamious Griffin","RB","12","86","488","5.7","4","40.7","4","25","6.3","0","2.1","90","513","5.7","4","","oregon-state","2022"
"11","Jack Velling","TE","11","0","0","","0","0.0","16","281","17.6","3","25.5","16","281","17.6","3","","oregon-state","2022"
"12","Anthony Gould","WR","10","2","11","5.5","0","1.1","27","457","16.9","3","45.7","29","468","16.1","3","","oregon-state","2022"
"13","Kanoa Shannon","RB","10","13","54","4.2","1","5.4","0","0","","0","0.0","13","54","4.2","1","","oregon-state","2022"
"14","Deshaun Fenwick","RB","10","114","553","4.9","7","55.3","4","15","3.8","0","1.5","118","568","4.8","7","","oregon-state","2022"
"15","Ben Gulbranson","QB","10","40","52","1.3","5","5.2","1","24","24.0","0","2.4","41","76","1.9","5","","oregon-state","2022"
"16","Jeremiah Noga","WR","6","0","0","","0","0.0","2","25","12.5","0","4.2","2","25","12.5","0","","oregon-state","2022"
"17","Isaiah Newell","RB","6","16","87","5.4","2","14.5","1","11","11.0","0","1.8","17","98","5.8","2","","oregon-state","2022"
"18","Jimmy Valsin III","WR","5","0","0","","0","0.0","1","8","8.0","0","1.6","1","8","8.0","0","","oregon-state","2022"
"19","Chance Nolan","QB","5","16","75","4.7","1","15.0","0","0","","0","0.0","16","75","4.7","1","","oregon-state","2022"
"20","Trey Lowe","RB","4","7","32","4.6","0","8.0","2","46","23.0","0","11.5","9","78","8.7","0","","oregon-state","2022"
"21","Tristan Gebbia","QB","4","1","-12","-12.0","0","-3.0","0","0","","0","0.0","1","-12","-12.0","0","","oregon-state","2022"
"22","Luke Musgrave","TE","2","0","0","","0","0.0","11","169","15.4","1","84.5","11","169","15.4","1","","oregon-state","2022"
