"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Liam Clifford","WR","13","0","0","","0","0.0","13","130","10.0","0","10.0","13","130","10.0","0","","penn-state","2023"
"2","Tyler Warren","TE","13","0","0","","0","0.0","34","422","12.4","7","32.5","34","422","12.4","7","","penn-state","2023"
"3","Treyson Potts","RB","13","25","155","6.2","2","11.9","4","57","14.3","1","4.4","29","212","7.3","3","","penn-state","2023"
"4","Theo Johnson","TE","13","0","0","","0","0.0","34","341","10.0","7","26.2","34","341","10.0","7","","penn-state","2023"
"5","Nicholas Singleton","RB","13","171","752","4.4","8","57.8","26","308","11.8","2","23.7","197","1060","5.4","10","","penn-state","2023"
"6","Malik McClain","WR","13","0","0","","0","0.0","6","71","11.8","1","5.5","6","71","11.8","1","","penn-state","2023"
"7","Keandre Lambert-Smith","WR","13","2","0","0.0","0","0.0","53","673","12.7","4","51.8","55","673","12.2","4","","penn-state","2023"
"8","Kaytron Allen","RB","13","172","902","5.2","6","69.4","14","81","5.8","1","6.2","186","983","5.3","7","","penn-state","2023"
"9","Drew Allar","QB","13","74","206","2.8","4","15.8","2","14","7.0","0","1.1","76","220","2.9","4","","penn-state","2023"
"10","Khalil Dinkins","TE","12","0","0","","0","0.0","5","57","11.4","2","4.8","5","57","11.4","2","","penn-state","2023"
"11","Kaden Saunders","WR","12","0","0","","0","0.0","6","56","9.3","1","4.7","6","56","9.3","1","","penn-state","2023"
"12","Dante Cephas","WR","12","0","0","","0","0.0","22","246","11.2","2","20.5","22","246","11.2","2","","penn-state","2023"
"13","Beau Pribula","QB","11","56","329","5.9","6","29.9","0","0","","0","0.0","56","329","5.9","6","","penn-state","2023"
"14","Malick Meiga","WR","9","0","0","","0","0.0","3","9","3.0","0","1.0","3","9","3.0","0","","penn-state","2023"
"15","Omari Evans","WR","9","0","0","","0","0.0","4","94","23.5","1","10.4","4","94","23.5","1","","penn-state","2023"
"16","Harrison Wallace III","WR","8","0","0","","0","0.0","19","228","12.0","1","28.5","19","228","12.0","1","","penn-state","2023"
"17","Cristian Driver","WR","6","0","0","","0","0.0","1","8","8.0","0","1.3","1","8","8.0","0","","penn-state","2023"
"18","Tank Smith","RB","3","9","71","7.9","0","23.7","0","0","","0","0.0","9","71","7.9","0","","penn-state","2023"
"19","Tyler Holzworth","RB","2","3","4","1.3","0","2.0","0","0","","0","0.0","3","4","1.3","0","","penn-state","2023"
