"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Jordan Addison","WR","14","7","56","8.0","1","4.0","100","1593","15.9","17","113.8","107","1649","15.4","18","AA","pittsburgh","2021"
"2","Vincent Davis","RB","14","142","593","4.2","4","42.4","23","125","5.4","0","8.9","165","718","4.4","4","","pittsburgh","2021"
"3","Shocky Jacques-Louis","WR","14","9","32","3.6","0","2.3","25","259","10.4","1","18.5","34","291","8.6","1","","pittsburgh","2021"
"4","Lucas Krull","TE","14","0","0","","0","0.0","38","451","11.9","6","32.2","38","451","11.9","6","","pittsburgh","2021"
"5","John Vardzel","WR","14","0","0","","0","0.0","1","6","6.0","0","0.4","1","6","6.0","0","","pittsburgh","2021"
"6","Gavin Bartholomew","TE","14","0","0","","0","0.0","28","326","11.6","4","23.3","28","326","11.6","4","","pittsburgh","2021"
"7","Daniel Carter","RB","14","8","29","3.6","1","2.1","2","13","6.5","1","0.9","10","42","4.2","2","","pittsburgh","2021"
"8","Jared Wayne","WR","13","0","0","","0","0.0","47","658","14.0","6","50.6","47","658","14.0","6","","pittsburgh","2021"
"9","Israel Abanikanda","RB","13","123","651","5.3","7","50.1","24","197","8.2","1","15.2","147","848","5.8","8","","pittsburgh","2021"
"10","Kenny Pickett","QB","13","97","241","2.5","5","18.5","0","0","","0","0.0","97","241","2.5","5","H-3","pittsburgh","2021"
"11","Jaden Bradley","WR","12","0","0","","0","0.0","9","129","14.3","0","10.8","9","129","14.3","0","","pittsburgh","2021"
"12","Jake Zilinskas","TE","12","0","0","","0","0.0","1","11","11.0","0","0.9","1","11","11.0","0","","pittsburgh","2021"
"13","Rodney Hammond Jr.","RB","12","102","504","4.9","5","42.0","8","57","7.1","2","4.8","110","561","5.1","7","","pittsburgh","2021"
"14","Tre Tipton","WR","12","0","0","","0","0.0","5","37","7.4","0","3.1","5","37","7.4","0","","pittsburgh","2021"
"15","Todd Sibley Jr.","RB","11","5","19","3.8","0","1.7","0","0","","0","0.0","5","19","3.8","0","","pittsburgh","2021"
"16","Melquise Stovall","WR","10","1","7","7.0","0","0.7","16","203","12.7","1","20.3","17","210","12.4","1","","pittsburgh","2021"
"17","Nick Patti","QB","9","4","36","9.0","2","4.0","0","0","","0","0.0","4","36","9.0","2","","pittsburgh","2021"
"18","Jaylon Barden","WR","8","0","0","","0","0.0","9","174","19.3","2","21.8","9","174","19.3","2","","pittsburgh","2021"
"19","Taysir Mack","WR","8","2","12","6.0","0","1.5","27","461","17.1","3","57.6","29","473","16.3","3","","pittsburgh","2021"
"20","A.J. Davis Jr.","RB","3","2","21","10.5","1","7.0","4","23","5.8","0","7.7","6","44","7.3","1","","pittsburgh","2021"
"21","Davis Beville","QB","3","7","-30","-4.3","0","-10.0","0","0","","0","0.0","7","-30","-4.3","0","","pittsburgh","2021"
