"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyrone Tracy Jr.","RB","14","17","138","8.1","0","9.9","28","198","7.1","0","14.1","45","336","7.5","0","","purdue","2022"
"2","Alex Maxwell","WR","14","0","0","","0","0.0","2","28","14.0","0","2.0","2","28","14.0","0","","purdue","2022"
"3","TJ Sheffield","WR","14","4","3","0.8","0","0.2","46","480","10.4","4","34.3","50","483","9.7","4","","purdue","2022"
"4","Paul Piferi","TE","14","0","0","","0","0.0","10","143","14.3","1","10.2","10","143","14.3","1","","purdue","2022"
"5","Mershawn Rice","WR","14","0","0","","0","0.0","23","283","12.3","1","20.2","23","283","12.3","1","","purdue","2022"
"6","Jack Sullivan","DE","14","1","5","5.0","0","0.4","0","0","","0","0.0","1","5","5.0","0","","purdue","2022"
"7","Deion Burks","WR","14","1","4","4.0","0","0.3","15","149","9.9","0","10.6","16","153","9.6","0","","purdue","2022"
"8","Jack Albers","QB","14","1","1","1.0","0","0.1","0","0","","0","0.0","1","1","1.0","0","","purdue","2022"
"9","Preston Terrell","WR","13","0","0","","0","0.0","2","12","6.0","0","0.9","2","12","6.0","0","","purdue","2022"
"10","Payne Durham","TE","13","1","4","4.0","0","0.3","56","560","10.0","8","43.1","57","564","9.9","8","","purdue","2022"
"11","Kobe Lewis","RB","13","43","146","3.4","0","11.2","7","56","8.0","0","4.3","50","202","4.0","0","","purdue","2022"
"12","Charlie Jones","WR","13","2","3","1.5","0","0.2","110","1361","12.4","12","104.7","112","1364","12.2","12","","purdue","2022"
"13","Devin Mockobee","RB","13","195","968","5.0","9","74.5","32","274","8.6","0","21.1","227","1242","5.5","9","","purdue","2022"
"14","Aidan O'Connell","QB","12","43","-81","-1.9","1","-6.8","0","0","","0","0.0","43","-81","-1.9","1","","purdue","2022"
"15","Dylan Downing","RB","12","93","351","3.8","4","29.3","12","100","8.3","0","8.3","105","451","4.3","4","","purdue","2022"
"16","Andrew Sowinski","WR","12","0","0","","0","0.0","9","96","10.7","0","8.0","9","96","10.7","0","","purdue","2022"
"17","Drew Biber","TE","11","0","0","","0","0.0","1","6","6.0","0","0.5","1","6","6.0","0","","purdue","2022"
"18","Ben Furtney","TE","8","0","0","","0","0.0","1","20","20.0","0","2.5","1","20","20.0","0","","purdue","2022"
"19","Abdur-Rahmaan Yaseen","WR","8","0","0","","0","0.0","4","34","8.5","0","4.3","4","34","8.5","0","","purdue","2022"
"20","Austin Burton","QB","6","18","28","1.6","0","4.7","0","0","","0","0.0","18","28","1.6","0","","purdue","2022"
"21","Collin Sullivan","WR","4","0","0","","0","0.0","1","6","6.0","0","1.5","1","6","6.0","0","","purdue","2022"
"22","King Doerue","RB","4","27","97","3.6","3","24.3","6","57","9.5","0","14.3","33","154","4.7","3","","purdue","2022"
"23","Michael Alaimo","QB","3","7","28","4.0","0","9.3","0","0","","0","0.0","7","28","4.0","0","","purdue","2022"
"24","Ben Buechel","TE","3","0","0","","0","0.0","1","12","12.0","0","4.0","1","12","12.0","0","","purdue","2022"
"25","Broc Thompson","WR","2","0","0","","0","0.0","3","28","9.3","0","14.0","3","28","9.3","0","","purdue","2022"
"26","Caleb Lahey","RB","1","3","6","2.0","0","6.0","0","0","","0","0.0","3","6","2.0","0","","purdue","2022"
