"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Adam Korsak","P","13","1","-8","-8.0","0","-0.6","0","0","","0","0.0","1","-8","-8.0","0","","rutgers","2021"
"2","Victor Konopka","TE","13","0","0","","0","0.0","4","52","13.0","0","4.0","4","52","13.0","0","","rutgers","2021"
"3","Shameen Jones","WR","13","3","14","4.7","0","1.1","35","334","9.5","0","25.7","38","348","9.2","0","","rutgers","2021"
"4","Noah Vedral","QB","13","102","297","2.9","2","22.8","0","0","","0","0.0","102","297","2.9","2","","rutgers","2021"
"5","Jovani Haskins","TE","13","0","0","","0","0.0","11","141","12.8","1","10.8","11","141","12.8","1","","rutgers","2021"
"6","Johnny Langan","QB","13","34","109","3.2","3","8.4","18","177","9.8","0","13.6","52","286","5.5","3","","rutgers","2021"
"7","Aaron Young","RB","13","56","208","3.7","5","16.0","12","85","7.1","1","6.5","68","293","4.3","6","","rutgers","2021"
"8","Isaiah Washington","WR","12","1","-5","-5.0","0","-0.4","19","179","9.4","0","14.9","20","174","8.7","0","","rutgers","2021"
"9","Isiah Pacheco","RB","12","167","647","3.9","5","53.9","13","25","1.9","0","2.1","180","672","3.7","5","","rutgers","2021"
"10","Matt Alaimo","TE","12","0","0","","0","0.0","5","50","10.0","0","4.2","5","50","10.0","0","","rutgers","2021"
"11","Kyle Monangai","RB","11","62","236","3.8","4","21.5","10","68","6.8","0","6.2","72","304","4.2","4","","rutgers","2021"
"12","Bo Melton","WR","11","9","51","5.7","0","4.6","55","618","11.2","3","56.2","64","669","10.5","3","","rutgers","2021"
"13","Raiqwon O'Neal","OL","11","1","7","7.0","1","0.6","0","0","","0","0.0","1","7","7.0","1","","rutgers","2021"
"14","Brandon Sanders","WR","10","3","12","4.0","0","1.2","16","183","11.4","1","18.3","19","195","10.3","1","","rutgers","2021"
"15","Joshua Youngblood","WR","9","0","0","","0","0.0","6","52","8.7","1","5.8","6","52","8.7","1","","rutgers","2021"
"16","Jamier Wright-Collins","RB","8","15","95","6.3","0","11.9","5","23","4.6","0","2.9","20","118","5.9","0","","rutgers","2021"
"17","Parker Day","RB","8","2","6","3.0","0","0.8","0","0","","0","0.0","2","6","3.0","0","","rutgers","2021"
"18","Christian Dremel","WR","7","1","8","8.0","0","1.1","2","8","4.0","0","1.1","3","16","5.3","0","","rutgers","2021"
"19","Aron Cruickshank","WR","7","6","30","5.0","0","4.3","20","244","12.2","2","34.9","26","274","10.5","2","","rutgers","2021"
"20","Cole Snyder","QB","6","15","42","2.8","0","7.0","0","0","","0","0.0","15","42","2.8","0","","rutgers","2021"
"21","Evan Simon","QB","6","8","6","0.8","0","1.0","0","0","","0","0.0","8","6","0.8","0","","rutgers","2021"
"22","Gavin Wimsatt","QB","4","9","68","7.6","0","17.0","0","0","","0","0.0","9","68","7.6","0","","rutgers","2021"
