"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Noah Smith","WR","12","27","102","3.8","2","8.5","79","782","9.9","6","65.2","106","884","8.3","8","","sam-houston-state","2023"
"2","MarKendrick Beall","OL","12","0","0","","0","0.0","1","2","2.0","0","0.2","1","2","2.0","0","","sam-houston-state","2023"
"3","Issiah Nixon","LB","12","7","12","1.7","2","1.0","0","0","","0","0.0","7","12","1.7","2","","sam-houston-state","2023"
"4","Malik Phillips","WR","12","3","9","3.0","0","0.8","35","430","12.3","1","35.8","38","439","11.6","1","","sam-houston-state","2023"
"5","Al'Vonte Woodard","WR","11","0","0","","0","0.0","31","339","10.9","2","30.8","31","339","10.9","2","","sam-houston-state","2023"
"6","Shane Johnson","WR","11","0","0","","0","0.0","6","62","10.3","0","5.6","6","62","10.3","0","","sam-houston-state","2023"
"7","Jay Rockwell","WR","11","0","0","","0","0.0","7","42","6.0","1","3.8","7","42","6.0","1","","sam-houston-state","2023"
"8","Keegan Shoemaker","QB","11","93","254","2.7","1","23.1","1","1","1.0","0","0.1","94","255","2.7","1","","sam-houston-state","2023"
"9","Jordan Yates","WR","10","2","-1","-0.5","0","-0.1","1","13","13.0","0","1.3","3","12","4.0","0","","sam-houston-state","2023"
"10","Simeon Evans","WR","10","1","9","9.0","0","0.9","22","188","8.5","0","18.8","23","197","8.6","0","","sam-houston-state","2023"
"11","John Gentry","RB","10","119","392","3.3","3","39.2","35","261","7.5","2","26.1","154","653","4.2","5","","sam-houston-state","2023"
"12","Jax Sherrard","TE","10","1","5","5.0","0","0.5","12","147","12.3","1","14.7","13","152","11.7","1","","sam-houston-state","2023"
"13","Jordan Morris","DB","8","0","0","","0","0.0","1","10","10.0","0","1.3","1","10","10.0","0","","sam-houston-state","2023"
"14","Adrian Murdaugh","RB","8","26","121","4.7","2","15.1","8","40","5.0","0","5.0","34","161","4.7","2","","sam-houston-state","2023"
"15","Elijah Sohn","TE","8","0","0","","0","0.0","15","159","10.6","2","19.9","15","159","10.6","2","","sam-houston-state","2023"
"16","Trapper Pannell","TE","6","12","15","1.3","3","2.5","0","0","","0","0.0","12","15","1.3","3","","sam-houston-state","2023"
"17","Thomas Jewett","TE","5","0","0","","0","0.0","9","42","4.7","0","8.4","9","42","4.7","0","","sam-houston-state","2023"
"18","Zach Hrbacek","RB","5","37","93","2.5","0","18.6","7","43","6.1","0","8.6","44","136","3.1","0","","sam-houston-state","2023"
"19","Tobias Weaver","RB","4","17","35","2.1","0","8.8","1","4","4.0","0","1.0","18","39","2.2","0","","sam-houston-state","2023"
"20","Ife Adeyi","WR","3","0","0","","0","0.0","7","74","10.6","0","24.7","7","74","10.6","0","","sam-houston-state","2023"
"21","Charles Crawford","RB","3","7","11","1.6","0","3.7","1","18","18.0","0","6.0","8","29","3.6","0","","sam-houston-state","2023"
"22","Landon Brown","RB","2","9","17","1.9","0","8.5","3","13","4.3","0","6.5","12","30","2.5","0","","sam-houston-state","2023"
"23","Grant Gunnell","QB","1","4","-4","-1.0","0","-4.0","0","0","","0","0.0","4","-4","-1.0","0","","sam-houston-state","2023"
