"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Derrick Deese","TE","12","0","0","","0","0.0","47","730","15.5","4","60.8","47","730","15.5","4","","san-jose-state","2021"
"2","Isaiah Hamilton","WR","12","0","0","","0","0.0","31","414","13.4","2","34.5","31","414","13.4","2","","san-jose-state","2021"
"3","Kairee Robinson","RB","12","64","280","4.4","1","23.3","21","159","7.6","1","13.3","85","439","5.2","2","","san-jose-state","2021"
"4","Jack Snyder","T","12","1","1","1.0","1","0.1","0","0","","0","0.0","1","1","1.0","1","","san-jose-state","2021"
"5","Jermaine Braddock","WR","12","0","0","","0","0.0","27","390","14.4","2","32.5","27","390","14.4","2","","san-jose-state","2021"
"6","Jaime Navarro","OL","12","0","0","","0","0.0","1","-6","-6.0","0","-0.5","1","-6","-6.0","0","","san-jose-state","2021"
"7","Shamar Garrett","RB","11","17","59","3.5","1","5.4","11","52","4.7","0","4.7","28","111","4.0","1","","san-jose-state","2021"
"8","Nick Nash","QB","11","68","385","5.7","1","35.0","4","36","9.0","0","3.3","72","421","5.8","1","","san-jose-state","2021"
"9","Tyler Nevens","RB","11","167","766","4.6","7","69.6","8","42","5.3","1","3.8","175","808","4.6","8","","san-jose-state","2021"
"10","Malikhi Miller","WR","10","0","1","","0","0.1","9","198","22.0","2","19.8","9","199","22.1","2","","san-jose-state","2021"
"11","Charles Ross","WR","9","0","0","","0","0.0","25","305","12.2","2","33.9","25","305","12.2","2","","san-jose-state","2021"
"12","Dominick Mazotti","TE","9","0","0","","0","0.0","8","135","16.9","0","15.0","8","135","16.9","0","","san-jose-state","2021"
"13","Isaiah Holiness","WR","8","1","54","54.0","0","6.8","5","35","7.0","0","4.4","6","89","14.8","0","","san-jose-state","2021"
"14","Nick Starkel","QB","7","15","-81","-5.4","1","-11.6","0","-9","","0","-1.3","15","-90","-6.0","1","","san-jose-state","2021"
"15","Jackson Canaan","TE","4","0","0","","0","0.0","2","9","4.5","0","2.3","2","9","4.5","0","","san-jose-state","2021"
"16","Skylar Loving-Black","TE","3","0","0","","0","0.0","1","23","23.0","0","7.7","1","23","23.0","0","","san-jose-state","2021"
"17","Kenyon Sims","RB","3","4","26","6.5","0","8.7","0","0","","0","0.0","4","26","6.5","0","","san-jose-state","2021"
"18","Sam Olson","TE","2","0","0","","0","0.0","4","102","25.5","1","51.0","4","102","25.5","1","","san-jose-state","2021"
"19","Natano Woods","QB","2","4","-1","-0.3","0","-0.5","0","0","","0","0.0","4","-1","-0.3","0","","san-jose-state","2021"
"20","Jamar Simpson","WR","2","0","0","","0","0.0","2","21","10.5","0","10.5","2","21","10.5","0","","san-jose-state","2021"
"21","Taariq Johnson","WR","1","0","0","","0","0.0","1","0","0.0","0","0.0","1","0","0.0","0","","san-jose-state","2021"
"22","Walker Eget","QB","1","1","-15","-15.0","0","-15.0","0","0","","0","0.0","1","-15","-15.0","0","","san-jose-state","2021"
