"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Carter Bradley","QB","13","68","65","1.0","2","5.0","0","0","","1","0.0","68","65","1.0","3","","south-alabama","2022"
"2","Caullin Lacy","WR","13","1","2","2.0","0","0.2","64","812","12.7","6","62.5","65","814","12.5","6","","south-alabama","2022"
"3","Omni Wells","RB","13","57","242","4.2","0","18.6","14","73","5.2","0","5.6","71","315","4.4","0","","south-alabama","2022"
"4","Devin Voisin","WR","13","0","0","","0","0.0","64","867","13.5","5","66.7","64","867","13.5","5","","south-alabama","2022"
"5","Marco Lee","RB","13","67","247","3.7","4","19.0","0","0","","0","0.0","67","247","3.7","4","","south-alabama","2022"
"6","Jalen Wayne","WR","13","0","0","","0","0.0","58","817","14.1","9","62.8","58","817","14.1","9","","south-alabama","2022"
"7","Lincoln Sefcik","TE","13","0","0","","0","0.0","13","111","8.5","1","8.5","13","111","8.5","1","","south-alabama","2022"
"8","Damarcus Thomas","TE","12","1","0","0.0","0","0.0","24","227","9.5","3","18.9","25","227","9.1","3","","south-alabama","2022"
"9","La'Damian Webb","RB","12","210","1067","5.1","13","88.9","21","213","10.1","2","17.8","231","1280","5.5","15","","south-alabama","2022"
"10","Todd Justice","TE","11","2","34","17.0","0","3.1","1","15","15.0","0","1.4","3","49","16.3","0","","south-alabama","2022"
"11","Braylon McReynolds","RB","11","59","326","5.5","0","29.6","21","226","10.8","1","20.5","80","552","6.9","1","","south-alabama","2022"
"12","Jacob Hopper","TE","11","0","0","","0","0.0","2","21","10.5","0","1.9","2","21","10.5","0","","south-alabama","2022"
"13","Jay'juan Townsend","WR","8","0","0","","0","0.0","4","62","15.5","0","7.8","4","62","15.5","0","","south-alabama","2022"
"14","Jamaal Pritchett","WR","8","0","0","","0","0.0","2","24","12.0","0","3.0","2","24","12.0","0","","south-alabama","2022"
"15","Christian Wortham","WR","6","0","0","","0","0.0","1","-3","-3.0","0","-0.5","1","-3","-3.0","0","","south-alabama","2022"
"16","Desmond Trotter","QB","5","6","27","4.5","0","5.4","0","0","","0","0.0","6","27","4.5","0","","south-alabama","2022"
"17","Terrion Avery","RB","3","21","82","3.9","0","27.3","1","14","14.0","0","4.7","22","96","4.4","0","","south-alabama","2022"
"18","Tanner McGee","QB","1","1","-11","-11.0","0","-11.0","0","0","","0","0.0","1","-11","-11.0","0","","south-alabama","2022"
