"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Brian Battie","RB","12","175","1185","6.8","8","98.8","14","91","6.5","0","7.6","189","1276","6.8","8","","south-florida","2022"
"2","Jimmy Horn Jr.","WR","11","9","95","10.6","1","8.6","37","551","14.9","3","50.1","46","646","14.0","4","","south-florida","2022"
"3","Chris Carter","TE","11","0","0","","0","0.0","3","9","3.0","1","0.8","3","9","3.0","1","","south-florida","2022"
"4","Sean Atkins","WR","11","2","9","4.5","0","0.8","19","238","12.5","3","21.6","21","247","11.8","3","","south-florida","2022"
"5","Michel Dukes","RB","11","54","188","3.5","5","17.1","8","72","9.0","0","6.5","62","260","4.2","5","","south-florida","2022"
"6","Omarion Dollison","WR","11","1","-5","-5.0","0","-0.5","12","176","14.7","0","16.0","13","171","13.2","0","","south-florida","2022"
"7","Yusuf Terry","WR","10","0","0","","0","0.0","7","57","8.1","0","5.7","7","57","8.1","0","","south-florida","2022"
"8","Christopher Mottillo","TE","10","0","0","","0","0.0","3","37","12.3","1","3.7","3","37","12.3","1","","south-florida","2022"
"9","Jayson Littlejohn","TE","10","0","0","","0","0.0","2","34","17.0","2","3.4","2","34","17.0","2","","south-florida","2022"
"10","Holden Willis","WR","10","0","0","","0","0.0","6","69","11.5","1","6.9","6","69","11.5","1","","south-florida","2022"
"11","Khafre Brown","WR","9","0","0","","0","0.0","4","61","15.3","0","6.8","4","61","15.3","0","","south-florida","2022"
"12","Xavier Weaver","WR","9","1","1","1.0","0","0.1","53","718","13.5","6","79.8","54","719","13.3","6","","south-florida","2022"
"13","Gunnar Greenwald","TE","8","0","0","","0","0.0","4","37","9.3","0","4.6","4","37","9.3","0","","south-florida","2022"
"14","K'wan Powell","RB","8","24","123","5.1","1","15.4","0","0","","0","0.0","24","123","5.1","1","","south-florida","2022"
"15","Gerry Bohanon","QB","7","60","386","6.4","3","55.1","0","0","","0","0.0","60","386","6.4","3","","south-florida","2022"
"16","Dequan Stanley","CB","7","0","0","","0","0.0","1","73","73.0","1","10.4","1","73","73.0","1","","south-florida","2022"
"17","Jason Albritton","RB","6","12","72","6.0","1","12.0","0","0","","0","0.0","12","72","6.0","1","","south-florida","2022"
"18","Katravis Marsh","QB","6","20","22","1.1","0","3.7","0","0","","0","0.0","20","22","1.1","0","","south-florida","2022"
"19","Garret Reynolds","WR","6","0","0","","0","0.0","2","14","7.0","0","2.3","2","14","7.0","0","","south-florida","2022"
"20","Andrew Stokes","P","6","2","-35","-17.5","0","-5.8","0","0","","0","0.0","2","-35","-17.5","0","","south-florida","2022"
"21","Kelley Joiner Jr.","RB","5","12","44","3.7","0","8.8","7","45","6.4","0","9.0","19","89","4.7","0","","south-florida","2022"
"22","Mychael Hamilton","RB","5","10","27","2.7","0","5.4","0","0","","0","0.0","10","27","2.7","0","","south-florida","2022"
"23","Jaren Mangham","RB","4","24","104","4.3","3","26.0","4","24","6.0","0","6.0","28","128","4.6","3","","south-florida","2022"
"24","Byrum Brown","QB","4","31","179","5.8","3","44.8","0","0","","0","0.0","31","179","5.8","3","","south-florida","2022"
"25","Ajou Ajou","WR","1","0","0","","0","0.0","2","9","4.5","0","9.0","2","9","4.5","0","","south-florida","2022"
