"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Brenden Rice","WR","14","0","0","","0","0.0","39","611","15.7","4","43.6","39","611","15.7","4","","southern-california","2022"
"2","Tahj Washington","WR","14","0","0","","0","0.0","50","785","15.7","6","56.1","50","785","15.7","6","","southern-california","2022"
"3","Raleek Brown","RB","14","42","227","5.4","3","16.2","16","175","10.9","3","12.5","58","402","6.9","6","","southern-california","2022"
"4","Malcolm Epps","TE","14","0","0","","0","0.0","3","18","6.0","2","1.3","3","18","6.0","2","","southern-california","2022"
"5","Kyron Ware-Hudson","WR","14","0","0","","0","0.0","15","152","10.1","3","10.9","15","152","10.1","3","","southern-california","2022"
"6","Caleb Williams","QB","14","113","382","3.4","10","27.3","0","-2","","0","-0.1","113","380","3.4","10","H-1,Maxwell,AA,Camp","southern-california","2022"
"7","Austin Jones","RB","14","135","705","5.2","5","50.4","25","267","10.7","1","19.1","160","972","6.1","6","","southern-california","2022"
"8","John Jackson III","WR","13","0","0","","0","0.0","1","3","3.0","0","0.2","1","3","3.0","0","","southern-california","2022"
"9","Lake McRee","TE","13","0","0","","0","0.0","10","106","10.6","2","8.2","10","106","10.6","2","","southern-california","2022"
"10","Josh Falo","TE","12","1","5","5.0","0","0.4","4","30","7.5","2","2.5","5","35","7.0","2","","southern-california","2022"
"11","Kyle Ford","WR","12","0","0","","0","0.0","20","365","18.3","2","30.4","20","365","18.3","2","","southern-california","2022"
"12","Mario Williams","WR","12","1","10","10.0","0","0.8","40","631","15.8","5","52.6","41","641","15.6","5","","southern-california","2022"
"13","Terrell Bynum","WR","12","0","0","","0","0.0","16","159","9.9","1","13.3","16","159","9.9","1","","southern-california","2022"
"14","Jordan Addison","WR","11","4","33","8.3","0","3.0","59","875","14.8","8","79.5","63","908","14.4","8","","southern-california","2022"
"15","CJ Williams","WR","11","0","0","","0","0.0","4","34","8.5","0","3.1","4","34","8.5","0","","southern-california","2022"
"16","Travis Dye","RB","10","145","884","6.1","9","88.4","21","202","9.6","0","20.2","166","1086","6.5","9","","southern-california","2022"
"17","Darwin Barlow","RB","8","16","96","6.0","3","12.0","3","34","11.3","0","4.3","19","130","6.8","3","","southern-california","2022"
"18","Michael Jackson III","WR","8","2","72","36.0","0","9.0","17","236","13.9","4","29.5","19","308","16.2","4","","southern-california","2022"
"19","Miller Moss","QB","5","3","9","3.0","0","1.8","0","0","","0","0.0","3","9","3.0","0","","southern-california","2022"
"20","Gary Bryant Jr.","WR","3","0","0","","0","0.0","2","15","7.5","0","5.0","2","15","7.5","0","","southern-california","2022"
