"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyler Lavine","RB","13","142","642","4.5","10","49.4","16","122","7.6","0","9.4","158","764","4.8","10","","southern-methodist","2022"
"2","RJ Maryland","TE","13","0","0","","0","0.0","28","296","10.6","6","22.8","28","296","10.6","6","","southern-methodist","2022"
"3","Gage Haskin","TE","13","0","0","","0","0.0","4","65","16.3","0","5.0","4","65","16.3","0","","southern-methodist","2022"
"4","Austin Upshaw","WR","13","5","-3","-0.6","0","-0.2","18","180","10.0","1","13.8","23","177","7.7","1","","southern-methodist","2022"
"5","Tanner Mordecai","QB","12","59","100","1.7","2","8.3","0","0","","0","0.0","59","100","1.7","2","","southern-methodist","2022"
"6","Roderick Daniels Jr.","WR","12","16","102","6.4","1","8.5","22","243","11.0","3","20.3","38","345","9.1","4","","southern-methodist","2022"
"7","Rashee Rice","WR","12","0","0","","0","0.0","96","1355","14.1","10","112.9","96","1355","14.1","10","","southern-methodist","2022"
"8","Dylan Goffney","WR","12","0","0","","0","0.0","18","369","20.5","2","30.8","18","369","20.5","2","","southern-methodist","2022"
"9","Teddy Knox","WR","12","1","-1","-1.0","0","-0.1","4","3","0.8","0","0.3","5","2","0.4","0","","southern-methodist","2022"
"10","Kelvontay Dixon","WR","12","0","0","","0","0.0","26","377","14.5","3","31.4","26","377","14.5","3","","southern-methodist","2022"
"11","TJ McDaniel","RB","12","43","208","4.8","4","17.3","8","23","2.9","0","1.9","51","231","4.5","4","","southern-methodist","2022"
"12","Jordan Kerley","WR","10","0","0","","0","0.0","37","588","15.9","6","58.8","37","588","15.9","6","","southern-methodist","2022"
"13","Camar Wheaton","RB","10","62","322","5.2","2","32.2","7","36","5.1","0","3.6","69","358","5.2","2","","southern-methodist","2022"
"14","Ben Redding","TE","9","1","4","4.0","0","0.4","13","107","8.2","4","11.9","14","111","7.9","4","","southern-methodist","2022"
"15","Velton Gardner","RB","8","70","368","5.3","1","46.0","8","22","2.8","0","2.8","78","390","5.0","1","","southern-methodist","2022"
"16","Preston Stone","QB","6","14","63","4.5","2","10.5","0","0","","0","0.0","14","63","4.5","2","","southern-methodist","2022"
"17","Carter Campbell","WR","5","0","0","","0","0.0","1","4","4.0","0","0.8","1","4","4.0","0","","southern-methodist","2022"
"18","Kevin Jennings","QB","4","5","8","1.6","0","2.0","0","0","","0","0.0","5","8","1.6","0","","southern-methodist","2022"
"19","Tre Siggers","RB","4","60","229","3.8","4","57.3","5","22","4.4","0","5.5","65","251","3.9","4","","southern-methodist","2022"
"20","Jake Bailey","WR","4","0","0","","0","0.0","12","205","17.1","1","51.3","12","205","17.1","1","","southern-methodist","2022"
"21","Brandon Epton Jr.","RB","4","5","11","2.2","0","2.8","0","0","","0","0.0","5","11","2.2","0","","southern-methodist","2022"
"22","Nolan Matthews-Harris","TE","3","0","0","","0","0.0","2","28","14.0","0","9.3","2","28","14.0","0","","southern-methodist","2022"
"23","Beau Corrales","WR","3","0","0","","0","0.0","6","71","11.8","0","23.7","6","71","11.8","0","","southern-methodist","2022"
"24","Kelvontay Dixon","WR","1","0","0","","0","0.0","2","1","0.5","0","1.0","2","1","0.5","0","","southern-methodist","2022"
