"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Antavious Willis","RB","13","22","86","3.9","0","6.6","8","34","4.3","0","2.6","30","120","4.0","0","","southern-mississippi","2022"
"2","Cole Cavallo","TE","13","0","0","","0","0.0","19","163","8.6","1","12.5","19","163","8.6","1","","southern-mississippi","2022"
"3","Mason Hunt","P","13","1","-4","-4.0","0","-0.3","0","0","","0","0.0","1","-4","-4.0","0","","southern-mississippi","2022"
"4","Jason Brownlee","WR","13","0","0","","0","0.0","55","891","16.2","8","68.5","55","891","16.2","8","","southern-mississippi","2022"
"5","Frank Gore Jr.","RB","13","228","1382","6.1","9","106.3","19","219","11.5","0","16.8","247","1601","6.5","9","","southern-mississippi","2022"
"6","Chandler Pittman","WR","12","22","47","2.1","0","3.9","5","74","14.8","1","6.2","27","121","4.5","1","","southern-mississippi","2022"
"7","Latreal Jones","WR","12","0","0","","0","0.0","10","124","12.4","0","10.3","10","124","12.4","0","","southern-mississippi","2022"
"8","Jake Lange","QB","12","5","-23","-4.6","0","-1.9","0","0","","0","0.0","5","-23","-4.6","0","","southern-mississippi","2022"
"9","Zay Franks","WR","11","0","0","","0","0.0","1","58","58.0","1","5.3","1","58","58.0","1","","southern-mississippi","2022"
"10","Demarcus Jones","WR","11","1","5","5.0","0","0.5","3","56","18.7","0","5.1","4","61","15.3","0","","southern-mississippi","2022"
"11","Jakarius Caston","WR","10","1","9","9.0","0","0.9","31","446","14.4","5","44.6","32","455","14.2","5","","southern-mississippi","2022"
"12","Janari Dean","RB","10","62","191","3.1","3","19.1","6","35","5.8","0","3.5","68","226","3.3","3","","southern-mississippi","2022"
"13","Jalen May","WR","9","0","0","","0","0.0","2","87","43.5","1","9.7","2","87","43.5","1","","southern-mississippi","2022"
"14","Luke Baker","TE","9","0","0","","0","0.0","2","22","11.0","0","2.4","2","22","11.0","0","","southern-mississippi","2022"
"15","Tiaquelin Mims","WR","9","1","-3","-3.0","0","-0.3","25","384","15.4","3","42.7","26","381","14.7","3","","southern-mississippi","2022"
"16","Zach Wilcke","QB","8","45","53","1.2","0","6.6","0","0","","0","0.0","45","53","1.2","0","","southern-mississippi","2022"
"17","Richard Mays Jr.","WR","7","0","0","","0","0.0","1","46","46.0","0","6.6","1","46","46.0","0","","southern-mississippi","2022"
"18","Trey Lowe III","QB","7","31","-11","-0.4","0","-1.6","0","0","","0","0.0","31","-11","-0.4","0","","southern-mississippi","2022"
"19","Kenyon Clay","RB","5","21","46","2.2","2","9.2","2","9","4.5","0","1.8","23","55","2.4","2","","southern-mississippi","2022"
"20","Dajon Richard","RB","5","8","15","1.9","0","3.0","0","0","","0","0.0","8","15","1.9","0","","southern-mississippi","2022"
"21","Ty Keyes","QB","3","13","60","4.6","1","20.0","0","0","","0","0.0","13","60","4.6","1","","southern-mississippi","2022"
"22","Jimmy Haywood","RB","2","4","12","3.0","0","6.0","0","0","","0","0.0","4","12","3.0","0","","southern-mississippi","2022"
"23","Davis Dalton","WR","1","0","0","","0","0.0","1","27","27.0","0","27.0","1","27","27.0","0","","southern-mississippi","2022"
"24","Brandon Hayes","WR","1","0","0","","0","0.0","1","23","23.0","0","23.0","1","23","23.0","0","","southern-mississippi","2022"
