"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Ashton Daniels","QB","12","109","292","2.7","3","24.3","0","0","","0","0.0","109","292","2.7","3","","stanford","2023"
"2","Tiger Bachmeier","WR","12","2","29","14.5","1","2.4","36","409","11.4","2","34.1","38","438","11.5","3","","stanford","2023"
"3","Sam Roush","TE","12","1","1","1.0","0","0.1","28","288","10.3","0","24.0","29","289","10.0","0","","stanford","2023"
"4","Justin Lamson","QB","12","120","334","2.8","5","27.8","0","0","","0","0.0","120","334","2.8","5","","stanford","2023"
"5","Jayson Raines","WR","12","0","0","","0","0.0","3","22","7.3","0","1.8","3","22","7.3","0","","stanford","2023"
"6","Elic Ayomanor","WR","12","0","0","","0","0.0","62","1013","16.3","6","84.4","62","1013","16.3","6","","stanford","2023"
"7","E.J. Smith","RB","12","53","218","4.1","1","18.2","33","242","7.3","0","20.2","86","460","5.3","1","","stanford","2023"
"8","Bryce Farrell","WR","12","21","62","3.0","3","5.2","22","192","8.7","1","16.0","43","254","5.9","4","","stanford","2023"
"9","Mudia Reuben","WR","10","2","11","5.5","0","1.1","15","199","13.3","0","19.9","17","210","12.4","0","","stanford","2023"
"10","Ryan Butler","RB","10","18","60","3.3","0","6.0","1","4","4.0","0","0.4","19","64","3.4","0","","stanford","2023"
"11","Lukas Ungar","TE","9","0","0","","0","0.0","1","0","0.0","0","0.0","1","0","0.0","0","","stanford","2023"
"12","Casey Filkins","RB","8","38","215","5.7","1","26.9","6","41","6.8","0","5.1","44","256","5.8","1","","stanford","2023"
"13","Sedrick Irvin","RB","8","26","113","4.3","1","14.1","2","9","4.5","0","1.1","28","122","4.4","1","","stanford","2023"
"14","Benjamin Yurosek","TE","6","11","53","4.8","0","8.8","16","239","14.9","1","39.8","27","292","10.8","1","","stanford","2023"
"15","Caleb Hampton","RB","3","1","2","2.0","0","0.7","0","0","","0","0.0","1","2","2.0","0","","stanford","2023"
"16","Jackson Harris","WR","3","0","0","","0","0.0","3","67","22.3","0","22.3","3","67","22.3","0","","stanford","2023"
"17","John Humphreys","WR","2","0","0","","0","0.0","5","71","14.2","1","35.5","5","71","14.2","1","","stanford","2023"
"18","Ari Patu","QB","2","4","37","9.3","0","18.5","0","0","","0","0.0","4","37","9.3","0","","stanford","2023"
"19","Beau Nelson","QB","1","1","6","6.0","0","6.0","0","0","","0","0.0","1","6","6.0","0","","stanford","2023"
