"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Damien Alford","WR","13","0","0","","0","0.0","20","429","21.5","2","33.0","20","429","21.5","2","","syracuse","2022"
"2","Oronde Gadsden II","WR","13","0","0","","0","0.0","61","975","16.0","6","75.0","61","975","16.0","6","","syracuse","2022"
"3","Devaughn Cooper","WR","13","0","0","","0","0.0","36","490","13.6","3","37.7","36","490","13.6","3","","syracuse","2022"
"4","Maximilian Mang","TE","13","0","0","","0","0.0","5","31","6.2","0","2.4","5","31","6.2","0","","syracuse","2022"
"5","LeQuint Allen","RB","13","41","274","6.7","1","21.1","17","117","6.9","1","9.0","58","391","6.7","2","","syracuse","2022"
"6","Sean Tucker","RB","12","206","1060","5.1","11","88.3","36","248","6.9","2","20.7","242","1308","5.4","13","","syracuse","2022"
"7","Courtney Jackson","WR","12","2","-2","-1.0","0","-0.2","15","201","13.4","1","16.8","17","199","11.7","1","","syracuse","2022"
"8","Garrett Shrader","QB","12","150","444","3.0","9","37.0","0","0","","0","0.0","150","444","3.0","9","","syracuse","2022"
"9","Trebor Pena","WR","11","2","8","4.0","0","0.7","22","203","9.2","0","18.5","24","211","8.8","0","","syracuse","2022"
"10","D'Marcus Adams","WR","9","0","0","","0","0.0","6","180","30.0","2","20.0","6","180","30.0","2","","syracuse","2022"
"11","Juwuan Price","RB","9","8","39","4.9","0","4.3","0","0","","0","0.0","8","39","4.9","0","","syracuse","2022"
"12","Umari Hatcher","WR","8","0","0","","0","0.0","3","42","14.0","1","5.3","3","42","14.0","1","","syracuse","2022"
"13","C.J. Hayes","WR","8","0","0","","0","0.0","1","5","5.0","0","0.6","1","5","5.0","0","","syracuse","2022"
"14","Dan Villari","TE","7","0","0","","0","0.0","1","22","22.0","0","3.1","1","22","22.0","0","","syracuse","2022"
"15","Carlos Del Rio-Wilson","QB","7","25","43","1.7","0","6.1","0","0","","0","0.0","25","43","1.7","0","","syracuse","2022"
"16","Isaiah Jones","WR","3","0","0","","0","0.0","4","60","15.0","1","20.0","4","60","15.0","1","","syracuse","2022"
"17","Anthony Queeley","WR","3","0","0","","0","0.0","1","12","12.0","0","4.0","1","12","12.0","0","","syracuse","2022"
