"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Walker Merrill","WR","13","0","0","","0","0.0","8","116","14.5","3","8.9","8","116","14.5","3","","tennessee","2022"
"2","Jabari Small","RB","13","157","734","4.7","13","56.5","12","106","8.8","2","8.2","169","840","5.0","15","","tennessee","2022"
"3","Ramel Keyton","WR","13","0","0","","0","0.0","31","562","18.1","5","43.2","31","562","18.1","5","","tennessee","2022"
"4","Jacob Warren","TE","13","0","0","","0","0.0","12","163","13.6","0","12.5","12","163","13.6","0","","tennessee","2022"
"5","Jaylen Wright","RB","13","146","875","6.0","10","67.3","2","8","4.0","0","0.6","148","883","6.0","10","","tennessee","2022"
"6","Princeton Fant","TE","13","6","17","2.8","5","1.3","22","241","11.0","3","18.5","28","258","9.2","8","","tennessee","2022"
"7","Squirrel White","WR","12","1","5","5.0","0","0.4","30","481","16.0","2","40.1","31","486","15.7","2","","tennessee","2022"
"8","Jalin Hyatt","WR","12","1","0","0.0","0","0.0","67","1267","18.9","15","105.6","68","1267","18.6","15","AA","tennessee","2022"
"9","Bru McCoy","WR","12","1","3","3.0","0","0.3","52","667","12.8","4","55.6","53","670","12.6","4","","tennessee","2022"
"10","Jimmy Holiday","WR","12","0","0","","0","0.0","6","106","17.7","1","8.8","6","106","17.7","1","","tennessee","2022"
"11","Hendon Hooker","QB","11","104","430","4.1","5","39.1","0","0","","0","0.0","104","430","4.1","5","H-5","tennessee","2022"
"12","Dylan Sampson","RB","10","58","397","6.8","6","39.7","3","24","8.0","0","2.4","61","421","6.9","6","","tennessee","2022"
"13","Hunter Salmon","TE","10","0","0","","0","0.0","2","13","6.5","0","1.3","2","13","6.5","0","","tennessee","2022"
"14","Jimmy Calloway","WR","9","0","0","","0","0.0","2","20","10.0","0","2.2","2","20","10.0","0","","tennessee","2022"
"15","Joe Milton","QB","9","18","77","4.3","0","8.6","0","0","","0","0.0","18","77","4.3","0","","tennessee","2022"
"16","Cedric Tillman","WR","6","0","0","","0","0.0","37","417","11.3","3","69.5","37","417","11.3","3","","tennessee","2022"
"17","Jack Jancek","WR","5","0","0","","0","0.0","3","44","14.7","0","8.8","3","44","14.7","0","","tennessee","2022"
"18","Justin Williams-Thomas","RB","4","11","37","3.4","0","9.3","0","0","","0","0.0","11","37","3.4","0","","tennessee","2022"
"19","Grant Frerking","WR","4","0","0","","0","0.0","1","4","4.0","0","1.0","1","4","4.0","0","","tennessee","2022"
"20","Patrick Wilk","RB","3","10","44","4.4","0","14.7","0","0","","0","0.0","10","44","4.4","0","","tennessee","2022"
"21","Tayven Jackson","QB","3","4","10","2.5","1","3.3","0","0","","0","0.0","4","10","2.5","1","","tennessee","2022"
"22","Navy Shuler","QB","1","1","-18","-18.0","0","-18.0","0","0","","0","0.0","1","-18","-18.0","0","","tennessee","2022"
