"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Major Everhart","WR","12","7","26","3.7","0","2.2","20","197","9.9","0","16.4","27","223","8.3","0","","texas-christian","2023"
"2","Jojo Earle","WR","12","3","12","4.0","0","1.0","16","239","14.9","2","19.9","19","251","13.2","2","","texas-christian","2023"
"3","John Paul Richardson","WR","12","3","12","4.0","0","1.0","46","536","11.7","3","44.7","49","548","11.2","3","","texas-christian","2023"
"4","Jared Wiley","TE","12","0","0","","0","0.0","47","520","11.1","8","43.3","47","520","11.1","8","","texas-christian","2023"
"5","Blake Nowell","WR","12","0","0","","0","0.0","11","105","9.5","1","8.8","11","105","9.5","1","","texas-christian","2023"
"6","Jordy Sandy","P","12","1","-8","-8.0","0","-0.7","0","0","","0","0.0","1","-8","-8.0","0","","texas-christian","2023"
"7","Emani Bailey","RB","12","223","1209","5.4","8","100.8","25","184","7.4","1","15.3","248","1393","5.6","9","","texas-christian","2023"
"8","D'Andre Rogers","TE","12","0","0","","0","0.0","7","78","11.1","1","6.5","7","78","11.1","1","","texas-christian","2023"
"9","Corey Wren","RB","12","9","27","3.0","0","2.3","1","5","5.0","0","0.4","10","32","3.2","0","","texas-christian","2023"
"10","Trent Battle","RB","12","10","25","2.5","0","2.1","4","68","17.0","0","5.7","14","93","6.6","0","","texas-christian","2023"
"11","Trey Sanders","RB","12","48","176","3.7","6","14.7","5","20","4.0","0","1.7","53","196","3.7","6","","texas-christian","2023"
"12","Savion Williams","WR","11","11","62","5.6","0","5.6","41","573","14.0","4","52.1","52","635","12.2","4","","texas-christian","2023"
"13","Josh Hoover","QB","10","20","5","0.3","2","0.5","0","0","","0","0.0","20","5","0.3","2","","texas-christian","2023"
"14","Jaylon Robinson","WR","10","2","-2","-1.0","0","-0.2","32","397","12.4","1","39.7","34","395","11.6","1","","texas-christian","2023"
"15","Cam Cook","RB","9","16","58","3.6","0","6.4","0","0","","0","0.0","16","58","3.6","0","","texas-christian","2023"
"16","Jack Bech","WR","8","3","-3","-1.0","0","-0.4","12","146","12.2","0","18.3","15","143","9.5","0","","texas-christian","2023"
"17","Warren Thompson","WR","8","0","0","","0","0.0","19","246","12.9","2","30.8","19","246","12.9","2","","texas-christian","2023"
"18","Chase Curtis","TE","8","0","0","","0","0.0","15","132","8.8","1","16.5","15","132","8.8","1","","texas-christian","2023"
"19","Brant Ahlfinger","RB","8","1","2","2.0","0","0.3","0","0","","0","0.0","1","2","2.0","0","","texas-christian","2023"
"20","Dylan Wright","WR","7","0","0","","0","0.0","11","187","17.0","2","26.7","11","187","17.0","2","","texas-christian","2023"
"21","Chandler Morris","QB","7","45","249","5.5","3","35.6","0","0","","0","0.0","45","249","5.5","3","","texas-christian","2023"
"22","Jordyn Bailey","WR","4","0","0","","0","0.0","5","103","20.6","1","25.8","5","103","20.6","1","","texas-christian","2023"
"23","DJ Allen","WR","3","0","0","","0","0.0","2","10","5.0","0","3.3","2","10","5.0","0","","texas-christian","2023"
"24","Grant Tisdale","QB","1","1","2","2.0","0","2.0","0","0","","0","0.0","1","2","2.0","0","","texas-christian","2023"
"25","Franklin Estrada","RB","1","1","4","4.0","0","4.0","0","0","","0","0.0","1","4","4.0","0","","texas-christian","2023"
