"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","B.J. Daniels","RB","14","37","199","5.4","1","14.2","2","14","7.0","0","1.0","39","213","5.5","1","","texas-san-antonio","2021"
"2","Sincere McCormick","RB","14","298","1479","5.0","15","105.6","22","184","8.4","0","13.1","320","1663","5.2","15","","texas-san-antonio","2021"
"3","De'Corian Clark","WR","14","2","9","4.5","0","0.6","52","755","14.5","7","53.9","54","764","14.1","7","","texas-san-antonio","2021"
"4","Frank Harris","QB","14","109","566","5.2","6","40.4","3","36","12.0","1","2.6","112","602","5.4","7","","texas-san-antonio","2021"
"5","Oscar Cardenas","TE","14","0","0","","0","0.0","16","233","14.6","2","16.6","16","233","14.6","2","","texas-san-antonio","2021"
"6","Joshua Cephus","WR","14","2","11","5.5","0","0.8","71","803","11.3","6","57.4","73","814","11.2","6","","texas-san-antonio","2021"
"7","Zakhari Franklin","WR","13","0","0","","0","0.0","81","1027","12.7","12","79.0","81","1027","12.7","12","","texas-san-antonio","2021"
"8","Tre'von Bradley","WR","13","1","7","7.0","0","0.5","6","96","16.0","1","7.4","7","103","14.7","1","","texas-san-antonio","2021"
"9","Sheldon Jones","WR","13","0","0","","0","0.0","1","7","7.0","0","0.5","1","7","7.0","0","","texas-san-antonio","2021"
"10","Leroy Watson","TE","13","0","0","","0","0.0","7","65","9.3","1","5.0","7","65","9.3","1","","texas-san-antonio","2021"
"11","Cade Stoever","WR","11","0","0","","0","0.0","3","89","29.7","0","8.1","3","89","29.7","0","","texas-san-antonio","2021"
"12","Tykee Ogle-Kellogg","WR","11","0","0","","0","0.0","12","158","13.2","1","14.4","12","158","13.2","1","","texas-san-antonio","2021"
"13","Gavin Sharp","TE","9","0","0","","0","0.0","3","39","13.0","0","4.3","3","39","13.0","0","","texas-san-antonio","2021"
"14","Dan Dishman","TE","8","0","0","","0","0.0","2","20","10.0","0","2.5","2","20","10.0","0","","texas-san-antonio","2021"
"15","Brenden Brady","RB","8","65","308","4.7","4","38.5","4","37","9.3","0","4.6","69","345","5.0","4","","texas-san-antonio","2021"
"16","Josh Adkins","QB","7","9","-22","-2.4","0","-3.1","0","0","","0","0.0","9","-22","-2.4","0","","texas-san-antonio","2021"
"17","Jaylon Lott","RB","4","7","18","2.6","0","4.5","0","0","","0","0.0","7","18","2.6","0","","texas-san-antonio","2021"
"18","Julon Williams","WR","3","0","0","","0","0.0","1","0","0.0","0","0.0","1","0","0.0","0","","texas-san-antonio","2021"
"19","Kaedric Cobbs","RB","3","3","19","6.3","0","6.3","1","-2","-2.0","0","-0.7","4","17","4.3","0","","texas-san-antonio","2021"
"20","Isaiah Davis","WR","3","0","0","","0","0.0","1","7","7.0","0","2.3","1","7","7.0","0","","texas-san-antonio","2021"
"21","Justin Rodriguez","RB","2","2","4","2.0","0","2.0","1","9","9.0","0","4.5","3","13","4.3","0","","texas-san-antonio","2021"
"22","Kevorian Barnes","RB","2","6","16","2.7","0","8.0","0","0","","0","0.0","6","16","2.7","0","","texas-san-antonio","2021"
"23","Eddie Lee Marburger","QB","2","1","3","3.0","0","1.5","0","0","","0","0.0","1","3","3.0","0","","texas-san-antonio","2021"
