"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","TJ Finley","QB","13","78","69","0.9","5","5.3","0","0","","0","0.0","78","69","0.9","5","","texas-state","2023"
"2","Kole Wilson","WR","13","2","-7","-3.5","0","-0.5","66","747","11.3","8","57.5","68","740","10.9","8","","texas-state","2023"
"3","Donerio Davenport","RB","13","90","458","5.1","2","35.2","11","102","9.3","2","7.8","101","560","5.5","4","","texas-state","2023"
"4","Ashtyn Hawkins","WR","13","1","-2","-2.0","0","-0.2","55","874","15.9","3","67.2","56","872","15.6","3","","texas-state","2023"
"5","Ismail Mahdi","RB","13","223","1331","6.0","10","102.4","20","275","13.8","1","21.2","243","1606","6.6","11","","texas-state","2023"
"6","Jahmyl Jeter","RB","13","42","176","4.2","9","13.5","1","9","9.0","0","0.7","43","185","4.3","9","","texas-state","2023"
"7","Titus Lyons","TE","12","0","0","","0","0.0","5","26","5.2","0","2.2","5","26","5.2","0","","texas-state","2023"
"8","Julian Ortega-Jones","WR","12","0","0","","0","0.0","3","27","9.0","0","2.3","3","27","9.0","0","","texas-state","2023"
"9","Joey Hobert","WR","11","1","-1","-1.0","0","-0.1","76","895","11.8","8","81.4","77","894","11.6","8","","texas-state","2023"
"10","Drew Donley","WR","10","0","0","","0","0.0","11","169","15.4","1","16.9","11","169","15.4","1","","texas-state","2023"
"11","Sean Shaw Jr.","WR","10","0","0","","0","0.0","12","101","8.4","0","10.1","12","101","8.4","0","","texas-state","2023"
"12","Damarius Good","RB","9","11","105","9.5","0","11.7","0","0","","0","0.0","11","105","9.5","0","","texas-state","2023"
"13","Chris Dawn Jr.","WR","9","0","0","","0","0.0","9","86","9.6","0","9.6","9","86","9.6","0","","texas-state","2023"
"14","Konner Fox","TE","8","0","0","","0","0.0","10","117","11.7","1","14.6","10","117","11.7","1","","texas-state","2023"
"15","Malik Hornsby","QB","7","35","229","6.5","6","32.7","1","2","2.0","0","0.3","36","231","6.4","6","","texas-state","2023"
"16","Calvin Hill","RB","7","31","98","3.2","0","14.0","4","28","7.0","0","4.0","35","126","3.6","0","","texas-state","2023"
"17","Nash Jones","OL","5","1","3","3.0","1","0.6","0","0","","0","0.0","1","3","3.0","1","","texas-state","2023"
"18","Beau Corrales","WR","4","0","0","","0","0.0","2","43","21.5","0","10.8","2","43","21.5","0","","texas-state","2023"
"19","Langston Anderson","WR","2","0","0","","0","0.0","1","21","21.0","0","10.5","1","21","21.0","0","","texas-state","2023"
