"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Xavier White","WR","13","4","3","0.8","0","0.2","39","556","14.3","1","42.8","43","559","13.0","1","","texas-tech","2023"
"2","Tahj Brooks","RB","13","290","1538","5.3","10","118.3","29","72","2.5","0","5.5","319","1610","5.0","10","","texas-tech","2023"
"3","Bryson Donnell","RB","13","4","15","3.8","0","1.2","0","0","","0","0.0","4","15","3.8","0","","texas-tech","2023"
"4","Loic Fouonji","WR","13","0","0","","0","0.0","6","85","14.2","2","6.5","6","85","14.2","2","","texas-tech","2023"
"5","Drae McCray","WR","13","1","4","4.0","0","0.3","29","255","8.8","2","19.6","30","259","8.6","2","","texas-tech","2023"
"6","Jerand Bradley","WR","12","0","0","","0","0.0","36","431","12.0","4","35.9","36","431","12.0","4","","texas-tech","2023"
"7","J.J. Sparkman","WR","12","0","0","","0","0.0","2","9","4.5","0","0.8","2","9","4.5","0","","texas-tech","2023"
"8","Baylor Cupp","TE","12","0","0","","0","0.0","11","114","10.4","2","9.5","11","114","10.4","2","","texas-tech","2023"
"9","Jayden York","TE","12","0","0","","0","0.0","3","30","10.0","1","2.5","3","30","10.0","1","","texas-tech","2023"
"10","Nehemiah Martinez","WR","11","13","68","5.2","0","6.2","2","32","16.0","0","2.9","15","100","6.7","0","","texas-tech","2023"
"11","Coy Eakin","WR","10","1","-1","-1.0","0","-0.1","36","416","11.6","2","41.6","37","415","11.2","2","","texas-tech","2023"
"12","Jordan Brown","WR","10","0","0","","0","0.0","22","256","11.6","1","25.6","22","256","11.6","1","","texas-tech","2023"
"13","Cam'Ron Valdez","RB","10","52","286","5.5","1","28.6","3","27","9.0","0","2.7","55","313","5.7","1","","texas-tech","2023"
"14","Myles Price","WR","10","0","0","","0","0.0","43","410","9.5","5","41.0","43","410","9.5","5","","texas-tech","2023"
"15","Behren Morton","QB","10","46","3","0.1","4","0.3","0","0","","0","0.0","46","3","0.1","4","","texas-tech","2023"
"16","Mason Tharp","TE","8","0","0","","0","0.0","18","178","9.9","4","22.3","18","178","9.9","4","","texas-tech","2023"
"17","Tyler Shough","QB","4","48","149","3.1","2","37.3","0","0","","0","0.0","48","149","3.1","2","","texas-tech","2023"
"18","Jake Strong","QB","3","6","61","10.2","0","20.3","0","0","","0","0.0","6","61","10.2","0","","texas-tech","2023"
"19","Brady Boyd","WR","3","0","0","","0","0.0","5","41","8.2","0","13.7","5","41","8.2","0","","texas-tech","2023"
