"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Gunnar Watson","QB","14","51","-106","-2.1","1","-7.6","0","0","","0","0.0","51","-106","-2.1","1","","troy","2023"
"2","Will Crowder","QB","14","6","-4","-0.7","0","-0.3","0","0","","0","0.0","6","-4","-0.7","0","","troy","2023"
"3","Peyton Higgins","WR","14","1","3","3.0","0","0.2","12","167","13.9","0","11.9","13","170","13.1","0","","troy","2023"
"4","Marcus Rogers","WR","14","0","0","","0","0.0","2","9","4.5","0","0.6","2","9","4.5","0","","troy","2023"
"5","Kimani Vidal","RB","14","297","1661","5.6","14","118.6","18","201","11.2","1","14.4","315","1862","5.9","15","","troy","2023"
"6","Jabre Barber","WR","14","3","16","5.3","0","1.1","75","999","13.3","5","71.4","78","1015","13.0","5","","troy","2023"
"7","Asa Martin","RB","14","25","114","4.6","0","8.1","11","82","7.5","1","5.9","36","196","5.4","1","","troy","2023"
"8","Devonte Ross","WR","14","1","2","2.0","0","0.1","40","428","10.7","3","30.6","41","430","10.5","3","","troy","2023"
"9","Deshon Stoudemire","WR","14","0","0","","0","0.0","43","569","13.2","1","40.6","43","569","13.2","1","","troy","2023"
"10","Derrick Graham","OL","14","1","2","2.0","1","0.1","0","0","","0","0.0","1","2","2.0","1","","troy","2023"
"11","Clayton Ollendieck","TE","14","0","0","","0","0.0","11","138","12.5","2","9.9","11","138","12.5","2","","troy","2023"
"12","Chris Lewis","WR","14","1","1","1.0","0","0.1","32","735","23.0","10","52.5","33","736","22.3","10","","troy","2023"
"13","Damien Taylor","RB","13","67","346","5.2","1","26.6","4","9","2.3","1","0.7","71","355","5.0","2","","troy","2023"
"14","Landon Parker","WR","13","0","0","","0","0.0","8","128","16.0","1","9.8","8","128","16.0","1","","troy","2023"
"15","Ethan Conner","TE","10","0","0","","0","0.0","16","168","10.5","4","16.8","16","168","10.5","4","","troy","2023"
"16","Jarris Williams","RB","10","14","69","4.9","1","6.9","1","0","0.0","0","0.0","15","69","4.6","1","","troy","2023"
"17","Brody Dalton","TE","9","0","0","","0","0.0","5","88","17.6","0","9.8","5","88","17.6","0","","troy","2023"
"18","Deyunkrea Lewis","TE","6","0","0","","0","0.0","1","4","4.0","0","0.7","1","4","4.0","0","","troy","2023"
"19","Jordan Lovett","RB","4","13","48","3.7","0","12.0","1","-1","-1.0","0","-0.3","14","47","3.4","0","","troy","2023"
"20","Tae Meadows","RB","1","1","5","5.0","1","5.0","0","0","","0","0.0","1","5","5.0","1","","troy","2023"
