"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Tyrick James","TE","14","1","3","3.0","0","0.2","25","284","11.4","4","20.3","26","287","11.0","4","","tulane","2022"
"2","Tyjae Spears","RB","14","229","1581","6.9","19","112.9","22","256","11.6","2","18.3","251","1837","7.3","21","","tulane","2022"
"3","Shae Wyatt","WR","14","0","0","","0","0.0","35","692","19.8","7","49.4","35","692","19.8","7","","tulane","2022"
"4","Duece Watts","WR","14","1","1","1.0","0","0.1","33","657","19.9","8","46.9","34","658","19.4","8","","tulane","2022"
"5","Jha'Quan Jackson","WR","14","1","8","8.0","0","0.6","33","554","16.8","3","39.6","34","562","16.5","3","","tulane","2022"
"6","Nick Anderson","LB","14","1","3","3.0","0","0.2","0","0","","0","0.0","1","3","3.0","0","","tulane","2022"
"7","Michael Pratt","QB","13","129","478","3.7","10","36.8","0","0","","1","0.0","129","478","3.7","11","","tulane","2022"
"8","Lawrence Keys III","WR","13","5","43","8.6","1","3.3","30","296","9.9","2","22.8","35","339","9.7","3","","tulane","2022"
"9","Alex Bauman","TE","12","0","0","","0","0.0","8","112","14.0","1","9.3","8","112","14.0","1","","tulane","2022"
"10","Will Wallace","TE","12","0","0","","0","0.0","4","22","5.5","0","1.8","4","22","5.5","0","","tulane","2022"
"11","Shaadie Clayton-Johnson","RB","12","57","333","5.8","2","27.8","7","29","4.1","0","2.4","64","362","5.7","2","","tulane","2022"
"12","Reggie Brown","TE","12","0","0","","0","0.0","4","16","4.0","1","1.3","4","16","4.0","1","","tulane","2022"
"13","Bryce Bohanon","WR","11","0","0","","0","0.0","4","65","16.3","0","5.9","4","65","16.3","0","","tulane","2022"
"14","Iverson Celestine","RB","11","77","306","4.0","0","27.8","4","26","6.5","0","2.4","81","332","4.1","0","","tulane","2022"
"15","Dea Dea McDougle","WR","10","7","43","6.1","1","4.3","23","236","10.3","1","23.6","30","279","9.3","2","","tulane","2022"
"16","Luke Besh","WR","9","0","0","","0","0.0","2","18","9.0","0","2.0","2","18","9.0","0","","tulane","2022"
"17","Josh Coltrin","RB","6","5","18","3.6","0","3.0","0","0","","0","0.0","5","18","3.6","0","","tulane","2022"
"18","Kai Horton","QB","4","6","-20","-3.3","0","-5.0","1","-4","-4.0","0","-1.0","7","-24","-3.4","0","","tulane","2022"
"19","Justin Ibieta","QB","4","3","15","5.0","1","3.8","0","0","","0","0.0","3","15","5.0","1","","tulane","2022"
"20","Lucas Barisas","RB","2","8","41","5.1","0","20.5","0","0","","0","0.0","8","41","5.1","0","","tulane","2022"
"21","Phat Watts","WR","2","1","5","5.0","0","2.5","1","5","5.0","0","2.5","2","10","5.0","0","","tulane","2022"
"22","Trevor Evans","WR","2","0","0","","0","0.0","2","20","10.0","0","10.0","2","20","10.0","0","","tulane","2022"
"23","Chris Brazzell II","WR","2","0","0","","0","0.0","1","11","11.0","0","5.5","1","11","11.0","0","","tulane","2022"
"24","Lucas Desjardins","WR","1","0","0","","0","0.0","1","8","8.0","0","8.0","1","8","8.0","0","","tulane","2022"
"25","Michael Lavergne","WR","1","0","0","","0","0.0","1","9","9.0","0","9.0","1","9","9.0","0","","tulane","2022"
"26","George Arata","RB","1","3","12","4.0","0","12.0","0","0","","0","0.0","3","12","4.0","0","","tulane","2022"
"27","Tate Jernigan","RB","1","4","9","2.3","0","9.0","0","0","","0","0.0","4","9","2.3","0","","tulane","2022"
"28","Charles Schibler","RB","1","2","6","3.0","0","6.0","0","0","","0","0.0","2","6","3.0","0","","tulane","2022"
"29","Cameron Carroll","RB","1","3","3","1.0","0","3.0","0","0","","0","0.0","3","3","1.0","0","","tulane","2022"
