"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","TJ Harden","RB","13","156","827","5.3","8","63.6","19","142","7.5","1","10.9","175","969","5.5","9","","ucla","2023"
"2","Ryan Cragun","WR","13","0","0","","0","0.0","11","109","9.9","0","8.4","11","109","9.9","0","","ucla","2023"
"3","Moliki Matavao","TE","13","0","0","","0","0.0","14","283","20.2","2","21.8","14","283","20.2","2","","ucla","2023"
"4","Colson Yankoff","RB","13","13","83","6.4","1","6.4","2","-5","-2.5","0","-0.4","15","78","5.2","1","","ucla","2023"
"5","Logan Loya","WR","13","0","0","","0","0.0","59","655","11.1","5","50.4","59","655","11.1","5","","ucla","2023"
"6","J. Michael Sturdivant","WR","13","0","0","","0","0.0","36","597","16.6","4","45.9","36","597","16.6","4","","ucla","2023"
"7","Hudson Habermehl","TE","13","0","0","","0","0.0","9","148","16.4","3","11.4","9","148","16.4","3","","ucla","2023"
"8","Josiah Norwood","WR","12","0","0","","0","0.0","12","178","14.8","2","14.8","12","178","14.8","2","","ucla","2023"
"9","Carsen Ryan","RB","12","0","0","","0","0.0","13","205","15.8","3","17.1","13","205","15.8","3","","ucla","2023"
"10","Carson Steele","RB","12","167","847","5.1","6","70.6","17","163","9.6","2","13.6","184","1010","5.5","8","","ucla","2023"
"11","Keegan Jones","WR","12","14","152","10.9","2","12.7","8","77","9.6","0","6.4","22","229","10.4","2","","ucla","2023"
"12","Kyle Ford","WR","12","0","0","","0","0.0","22","236","10.7","1","19.7","22","236","10.7","1","","ucla","2023"
"13","Anthony Adkins","RB","11","30","178","5.9","1","16.2","0","0","","0","0.0","30","178","5.9","1","","ucla","2023"
"14","Ethan Garbers","QB","11","35","127","3.6","0","11.5","1","5","5.0","0","0.5","36","132","3.7","0","","ucla","2023"
"15","Ezavier Staples","WR","10","0","0","","0","0.0","1","16","16.0","0","1.6","1","16","16.0","0","","ucla","2023"
"16","Braden Pegan","WR","9","0","0","","0","0.0","1","7","7.0","0","0.8","1","7","7.0","0","","ucla","2023"
"17","Kam Brown","WR","9","0","0","","0","0.0","13","163","12.5","1","18.1","13","163","12.5","1","","ucla","2023"
"18","Dante Moore","QB","9","45","-84","-1.9","0","-9.3","0","0","","0","0.0","45","-84","-1.9","0","","ucla","2023"
"19","Collin Schlee","QB","7","42","425","10.1","3","60.7","0","0","","0","0.0","42","425","10.1","3","","ucla","2023"
"20","Chase Griffin","QB","3","2","3","1.5","0","1.0","0","0","","0","0.0","2","3","1.5","0","","ucla","2023"
"21","Justyn Martin","QB","2","3","19","6.3","0","9.5","0","0","","0","0.0","3","19","6.3","0","","ucla","2023"
"22","Josiah Gonzales","DB","2","3","5","1.7","0","2.5","0","0","","0","0.0","3","5","1.7","0","","ucla","2023"
"23","Isaiah Carlson","RB","1","1","0","0.0","0","0.0","0","0","","0","0.0","1","0","0.0","0","","ucla","2023"
"24","Minaya Olivo","RB","1","1","0","0.0","0","0.0","0","0","","0","0.0","1","0","0.0","0","","ucla","2023"
"25","Brian Kowall","RB","1","1","2","2.0","0","2.0","0","0","","0","0.0","1","2","2.0","0","","ucla","2023"
"26","Troy Leigber","RB","1","1","9","9.0","0","9.0","0","0","","0","0.0","1","9","9.0","0","","ucla","2023"
