"rk","player","pos","g","att","yds","y_a","td","y_g","rec","yds_2","y_r","td_2","y_g_2","plays","yds_3","avg","td_3","awards","Team","Year"
"1","Charlie Vincent","RB","14","17","60","3.5","1","4.3","0","0","","0","0.0","17","60","3.5","1","","utah","2022"
"2","Devaughn Vele","WR","14","2","-4","-2.0","0","-0.3","55","695","12.6","5","49.6","57","691","12.1","5","","utah","2022"
"3","Jack Bouwmeester","P","14","1","14","14.0","0","1.0","0","0","","0","0.0","1","14","14.0","0","","utah","2022"
"4","Jaylen Dixon","WR","14","10","118","11.8","4","8.4","33","344","10.4","3","24.6","43","462","10.7","7","","utah","2022"
"5","Logan Kendall","TE","14","0","0","","0","0.0","5","43","8.6","1","3.1","5","43","8.6","1","","utah","2022"
"6","Micah Bernard","RB","14","106","533","5.0","4","38.1","34","314","9.2","1","22.4","140","847","6.1","5","","utah","2022"
"7","Money Parks","WR","14","6","36","6.0","0","2.6","26","414","15.9","2","29.6","32","450","14.1","2","","utah","2022"
"8","Thomas Yassmin","TE","13","0","0","","0","0.0","13","301","23.2","6","23.2","13","301","23.2","6","","utah","2022"
"9","Cameron Rising","QB","13","77","465","6.0","6","35.8","1","9","9.0","0","0.7","78","474","6.1","6","","utah","2022"
"10","Makai Cope","WR","13","0","0","","0","0.0","7","75","10.7","1","5.8","7","75","10.7","1","","utah","2022"
"11","Dalton Kincaid","TE","12","0","0","","0","0.0","70","890","12.7","8","74.2","70","890","12.7","8","","utah","2022"
"12","Ja'Quinden Jackson","RB","12","78","531","6.8","9","44.3","1","8","8.0","0","0.7","79","539","6.8","9","","utah","2022"
"13","Solomon Enis","WR","12","0","0","","0","0.0","12","101","8.4","1","8.4","12","101","8.4","1","","utah","2022"
"14","Taniela Pututau","TE","11","0","0","","0","0.0","2","17","8.5","0","1.5","2","17","8.5","0","","utah","2022"
"15","Bryson Barnes","QB","10","20","116","5.8","0","11.6","0","0","","0","0.0","20","116","5.8","0","","utah","2022"
"16","Tavion Thomas","RB","10","142","687","4.8","7","68.7","6","43","7.2","0","4.3","148","730","4.9","7","","utah","2022"
"17","Munir McClain","TE","9","0","0","","0","0.0","2","18","9.0","0","2.0","2","18","9.0","0","","utah","2022"
"18","Jaylon Glover","RB","9","78","360","4.6","4","40.0","1","6","6.0","0","0.7","79","366","4.6","4","","utah","2022"
"19","Nate Johnson","QB","4","5","51","10.2","2","12.8","1","5","5.0","0","1.3","6","56","9.3","2","","utah","2022"
"20","Brant Kuithe","TE","4","0","0","","0","0.0","19","206","10.8","3","51.5","19","206","10.8","3","","utah","2022"
"21","Tiquan Gilmore","WR","4","2","0","0.0","0","0.0","0","0","","0","0.0","2","0","0.0","0","","utah","2022"
"22","Chris Curry","RB","3","12","81","6.8","1","27.0","0","0","","0","0.0","12","81","6.8","1","","utah","2022"
